u,x,phi,A0prime,f3,f4,N4,tilde_f3,JAres,alpha4,alpha6,alpha7,Codd,K_even,omega3_numerator,odd_ang_margin_lb,hessian_rank_v1_v4_c2,hessian_sigma_min
0.5515470887294105,1.813081820998608,0.5099683614615382,0.0,0.8696351332635233,-0.4681422406211756,-0.0033285647463966,0.0,-8.819984673169579e-17,1.828616101977668,-0.0354289599132067,0.1632495529450394,0.0603959747124606,0.7619108160677,0.7684395085251329,0.6529982117801577,3,0.0494328668158935
0.5515901879932578,1.8129401533375773,0.51003169500535,0.0,0.8360418424230436,-0.4812620154702262,-0.0037121176397223,0.0,-4.759647537211365e-17,1.8173776350885655,-0.035431827733936,0.1632873684291376,0.061693038607633,0.7620251472816244,0.7848153447253845,0.6531494737165506,3,0.0494574445900805
0.5516310138786281,1.8128059787081217,0.5100916952047506,0.0,0.8053650117332374,-0.4932374999742211,-0.0040638105781653,0.0,1.1817803680091998e-17,1.807123518298203,-0.0354345432390456,0.1633231994456194,0.0628776365949037,0.7621335737502176,0.7997622087848739,0.6532927977824777,3,0.0494807405048861
0.551674102593381,1.812664388810478,0.5101550287485624,8.764586454929317e-266,0.7743113225193495,-0.5053534846817362,-0.0044217838708263,0.0,-2.1684043449710093e-19,1.7967551597704603,-0.0354374081507154,0.1633610272200087,0.0640768509632849,0.7622481428110988,0.8148834160570151,0.653444108880035,3,0.0495053430019257
0.5517171858885281,1.8125228388336725,0.5102183622923743,8.783299651190595e-207,0.7447391292462792,-0.5168834590303469,-0.004765179414215,0.0,-4.96564594998361e-17,1.7868970587380073,-0.0354402715676046,0.1633988613078942,0.0652188244728107,0.7623628338531482,0.8292718897212861,0.653595445231577,3,0.0495299582018347
0.5517602637623723,1.8123813287697568,0.5102816958361861,3.206962439970529e-169,0.7167686288734574,-0.5277795972407257,-0.0050930194980238,0.0,-2.8579569266717897e-16,1.777592211015272,-0.0354431334890764,0.1634367017108131,0.0662988110642038,0.7624776467717078,0.8428676480100947,0.6537468068432524,3,0.0495545861109615
0.5518010693773471,1.8122473034138933,0.5103416960355868,2.2403969663956312e-144,0.6918565386227548,-0.5374742703356502,-0.0053883705096547,0.0,-1.0907073855204176e-16,1.76932658804302,-0.0354458434030965,0.1634725563401959,0.0672604758750409,0.762586529261255,0.8549622833468165,0.6538902253607836,3,0.0495779295433175
0.55184413668905,1.812105871052272,0.5104050295793986,5.265143343476428e-125,0.6673495919035733,-0.5469989826073054,-0.0056831153534589,0.0,-4.7271214720367993e-17,1.7612229696272623,-0.0354487024106147,0.1635104090452223,0.0682061300964103,0.7627015792787846,0.8668423341664938,0.6540416361808893,3,0.0496025822187517
0.5518871985744533,1.811964478580116,0.5104683631232104,3.224844428332716e-110,0.6443484492947832,-0.555927504457773,-0.0059627942971841,0.0,8.749511531958021e-17,1.7536414965958598,-0.0354515599208421,0.1635482680698123,0.0690933919618597,0.762816750887445,0.8779765355475888,0.6541930722792492,3,0.0496272476204434
0.5519302550318635,1.8118231259894768,0.5105316966670223,1.4676237492621474e-98,0.6224514599607963,-0.5644191468835964,-0.0062305773543259,0.0,1.6208822478658291e-16,1.7464411881904491,-0.0354544159331443,0.1635861334155025,0.0699379324246361,0.7629320440190661,0.8885643495337374,0.65434453366201,3,0.049651925754532
0.5519710403514172,1.8116892497898824,0.5105916968664228,1.389632483871472e-89,0.602736119658297,-0.5720565419274035,-0.006473467474976,0.0,2.228035464457712e-16,1.739975849175328,-0.0354571202466923,0.1636220116804755,0.0706981657697907,0.7630413810807916,0.8980854283442204,0.6544880467219022,3,0.0496753167893599
0.5520140862336689,1.8115479748404424,0.5106550304102346,9.981909328945694e-82,0.5830230787174114,-0.5796837275508523,-0.0067186361135195,0.0,6.47268696973846e-17,1.7335315602538957,-0.035459973340163,0.1636598893400869,0.0714580875881622,0.7631569105387911,0.9075918957080744,0.6546395573603476,3,0.0497000197339901
0.5520571266829422,1.8114067397490925,0.5107183639540465,3.875234042119793e-75,0.5644488337928657,-0.5868599794370153,-0.0069524747466667,0.0,2.2258670601127406e-16,1.7274826130161332,-0.0354628249338415,0.1636977733253279,0.0721738251674578,0.763272561236829,0.9165341857930688,0.6547910933013116,3,0.0497247354280617
0.5521001616975472,1.811265544507887,0.5107816974978583,1.5627292676270515e-69,0.5470251135141523,-0.5935805366282573,-0.0071751750920156,0.0,1.8886801844697487e-16,1.721833592733927,-0.035465675027095,0.1637356636377346,0.0728448821812263,0.7633883330459791,0.9249062704101754,0.6549426545509386,3,0.0497494638766211
0.552140926696711,1.8111318173472333,0.510841697697259,6.075825707040346e-65,0.5315903361485954,-0.5995227190754924,-0.0073760536093034,0.0,1.4734307524078003e-16,1.7168553246680192,-0.0354683737308196,0.1637715655609814,0.0734389555678457,0.7634981232362172,0.9323062804002882,0.6550862622439256,3,0.049772902598247
0.5521839511231705,1.8109906996861256,0.5109050312410708,1.0317256972555892e-60,0.5162361730205749,-0.6054234719290644,-0.0075784866515482,0.0,2.474149357611921e-16,1.7119266431670233,-0.0354712209003804,0.1638094681991204,0.0740295981374754,0.7636141306404572,0.939652470147357,0.6552378727964818,3,0.0497976559017845
0.5522269701099883,1.810849621851732,0.5109683647848826,5.321093872023134e-57,0.5016446920876529,-0.6110222993547036,-0.0077722461425984,0.0,8.890457814381136e-18,1.70726245461143,-0.0354740665676557,0.1638473771689536,0.074590663851907,0.7637302588738554,0.946620921284786,0.6553895086758145,3,0.0498224219766633
0.5522699836554787,1.810708583836104,0.5110316983286944,1.0242821236549293e-53,0.4878077289203247,-0.6163223705451311,-0.0079577536938576,0.0,-1.2305694657710475e-16,1.702860258569542,-0.0354769107320152,0.1638852924720169,0.0751224479258084,0.7638465078494752,0.9532155628425872,0.6555411698880679,3,0.0498472008293447
0.5523107283093418,1.8105750055970549,0.5110916985280951,6.176825227801826e-51,0.475387630830254,-0.6210707766645327,-0.0081262675937533,0.0,-4.889751797909625e-17,1.6989292049419482,-0.0354796038165968,0.163921218076216,0.0755995004368284,0.7639567497411164,0.959121860676584,0.655684872304864,3,0.0498706873233415
0.5523537312537297,1.81043404510042,0.5111550320719069,2.6876515953653646e-48,0.4629965922031439,-0.6257981457321067,-0.0082969143254447,0.0,-1.115644035487584e-16,1.695030162089905,-0.0354824450524189,0.1639591457168199,0.0760751096675806,0.7640732335455396,0.9649998244247516,0.6558365828672797,3,0.0498954910744691
0.552396728751828,1.8102931243991205,0.5112183656157187,6.426215578404197e-46,0.4513360551864158,-0.6302360860416716,-0.008460549919484,0.0,-2.1911725905932042e-16,1.6913858980399812,-0.0354852847834706,0.163997079695181,0.0765223075034818,0.7641898378068346,0.9705155459725916,0.6559883187807241,3,0.0499203076204855
