L,K_direct_median,K_direct_p95,K_direct_max,M_direct_median,M_direct_p95,M_direct_max,kinetic_D_max,kinetic_Bantisym_max,static_Bantisym_max
6.0,2.396923144585405e-13,1.4040401782076562e-12,5.615419240712072e-11,3.353329931799468e-08,1.1646891540533484,1.9983451624638953,9.436895709313833e-16,6.217248937900877e-15,15838548.02819428
12.0,8.049116928532385e-14,7.034040017117601e-13,4.0472514228895307e-11,2.2069127158930957e-08,1.1255026684875296,1.9981450178810738,2.9143354396410364e-16,1.7763568394002505e-15,10285065.810147218
42.0,1.6986412276764895e-14,1.0657308369133026e-13,5.125899704694348e-13,1.8097927691661387e-08,1.0794031447338304,1.9994023775848244,2.0816681711721685e-17,1.6653345369377348e-16,1219282.7400825443
1000.0,1.1796119636642288e-16,2.3869795029440866e-15,1.0914728381549834e-14,1.2255118429535146e-08,1.0340558158103337,1.9972257371410744,4.446922973085077e-21,1.6263032587282567e-18,1182075.3481592792
100000.0,8.131516293641283e-20,1.352201283225886e-16,6.552049850821569e-16,4.2274014697137374e-09,1.0118916808840546,1.9997213096124458,6.0584517520973685e-27,1.4558378780933287e-22,753564.6213268898
