u,x,phi,f,h,phiprime,A0prime,X,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,alpha1,alpha2,alpha4,alpha5,alpha6,alpha7,Codd,K_ZK_exact,even_scalar_cr2_ZK_exact,all_local_even_gates_ZK_exact
0.57,1.7543859649122808,0.5378890941575232,0.4228145905989974,0.4786469618596017,-0.5072471482400152,0.0467275136361374,-0.06157785252232726,0.0,0.006545106369948579,-0.39461881200317483,0.22493272284180965,,-0.0002741735986335758,-0.49328047111267925,-0.23496725223943618,0.2048426103924815,0.2659945137219007,0.0,-0.030959699667299508,1.8666281664694784,-0.5319890274438014,0.0,-0.0130025023400889,,-0.0039102758247989795,-0.20565709728522646,0.24636130386920124,0.2659945137219007,-0.0037358535325929068,0.2662147430320383,0.0735441556937716,-0.0682430831525878,-0.03855444315949946,,1.9052630934352537,2.2332798605461672,0.10435561513698205,-0.21657672259355926,0.0,,0.063966031250249,0.0012190696073302088,-0.08296029702990294,1.8192436549026985,-0.30582974491199316,-0.0319830156251245,-0.0668196357099324,14.9863366024215,0.2659945137219007,0.01599150781256225,1.8192436549026985,-0.30582974491199316,-0.0367720778468858,0.1817000357517612,0.0816047626016778,-0.0079003189278642,-5.597435186722383,False
0.5700181900864029,1.7543299799755878,0.5379174942124291,0.4227989748898633,0.4786288784643614,-0.507313434414489,0.0469659270702456,-0.06159162031318973,0.0,0.006617614831108085,-0.39459147805273953,0.22492432014314115,,-0.0002769497068771942,-0.49336627763202234,-0.23496735180793,0.20487319386968048,0.26599440100550464,0.0,-0.031303835742893825,1.8665678087584217,-0.5319888020110093,0.0,-0.0131943769549487,,-0.003897859821340924,-0.20568232708432116,0.2463815452785652,0.26599440100550464,-0.003723749838463235,0.26835339245180756,0.073550796221408,-0.06899064799288103,-0.03888535488373536,,1.8993886873513195,2.233202046084745,0.10488440442953938,-0.21766136480060372,0.0,,0.06428491883416008,0.0012314983223109725,-0.0833804100271527,1.8194678374339728,-0.3058176948669624,-0.03214245941708004,-0.06715528640939153,14.767316216432851,0.2659944010055046,0.01607122970854002,1.8194678374339728,-0.3058176948669624,-0.036775398110704,0.181730028605761,0.0816040789873665,-0.0079891405987981,-5.55111153023947,False
0.5700363801728058,1.7542739986118978,0.537945896166031,0.422783358993327,0.47861079051465194,-0.5073797355769957,0.047205082425439,-0.06160539204428409,0.0,0.006692494943288436,-0.39456414388192085,0.22491591632443228,,-0.00027974808315223143,-0.4934536612628736,-0.23496745244980724,0.20490437310814383,0.26599428707408307,0.0,-0.031659216480155114,1.8665074463734912,-0.5319885741481661,0.0,-0.0133878912681512,,-0.0038852522334474984,-0.2057078256847542,0.24640212765869401,0.26599428707408307,-0.003711462975399579,0.27053178710889836,0.07355747450444,-0.06976158712646123,-0.03921878007223991,,1.893661499596569,2.233124978242929,0.10541484866426414,-0.21874929295516685,0.0,,0.0646047563724827,0.0012440291550154417,-0.08380177923472032,1.8196920014234,-0.3058056692363011,-0.03230237818624135,-0.06749195552299705,14.55032040447854,0.26599428707408307,0.016151189093120674,1.8196920014234,-0.3058056692363011,-0.03677873725222,0.1817601205977152,0.0816034218808445,-0.008077571593537,-5.506128360570163,False
0.5700545702592087,1.7542180208208689,0.5379743000188675,0.4227677428972878,0.47859269795400755,-0.5074460517243004,0.0474449947367381,-0.061619167707870806,0.0,0.00676507180934317,-0.3945368094618172,0.22490751136919548,,-0.00028256897766931743,-0.4935407017970794,-0.23496755417568965,0.20493526242486323,0.26599417191561514,0.0,-0.032003727450827565,1.8664470792307852,-0.5319883438312303,0.0,-0.0135830684130905,,-0.0038724503418463407,-0.2057333836354584,0.2464226817196961,0.26599417191561514,-0.00369899035264721,0.27271947450489764,0.0735641910652094,-0.07051036890675018,-0.039554754402645366,,1.887996399987928,2.2330486701495698,0.10594698240212634,-0.2198405777567266,0.0,,0.06492556455514285,0.001256663505610542,-0.08422449202478306,1.819916133311432,-0.3057936687854771,-0.03246278227757143,-0.06782966479921321,14.335523543617263,0.2659941719156151,0.016231391138785713,1.819916133311432,-0.3057936687854771,-0.0367820955326047,0.181790313042529,0.0816027917639311,-0.0081656059715985,-5.462440373721976,False
0.5700727603456116,1.7541620466021588,0.5380027057714772,0.42275212663541084,0.4785746009433276,-0.5075123828557986,0.047685650983354,-0.06163294732483432,0.0,0.006834935984919529,-0.39450947487447596,0.22489910532419022,,-0.0002854124672473368,-0.4936272300862051,-0.23496765695555852,0.2049657839405113,0.2659940555640863,0.0,-0.032335430406073874,1.8663867075692235,-0.5319881111281726,0.0,-0.0137799053157353,,-0.0038594544690639097,-0.20575898240871626,0.24644317518449,0.2659940555640863,-0.0036863323019262913,0.27490265023651705,0.0735709458629734,-0.07123301058675362,-0.03989327199665714,,1.8823548206455856,2.232973118937468,0.10648077680486352,-0.220935158452463,0.0,,0.06524732527949714,0.0012694012897882846,-0.0846485308538495,1.82014025097233,-0.30578169320527554,-0.03262366263974857,-0.06816839542976882,14.122996343812146,0.26599405556408634,0.016311831319874286,1.82014025097233,-0.30578169320527554,-0.0367854729314867,0.1818206058628596,0.0816021885339325,-0.008253244251422,-5.419999424456824,False
0.5700909504320145,1.7541060759554254,0.538031113424399,0.42273651020192937,0.47855649945595546,-0.5075787289869781,0.0479270501515366,-0.06164673089582876,0.0,0.006906426088652914,-0.3944821401062336,0.22489069818161783,,-0.0002882786577624863,-0.4937150323570271,-0.2349677607944764,0.2049967603899536,0.26599393801376875,0.0,-0.032674850276612766,1.8663263313490503,-0.5319878760275375,0.0,-0.0139784099724007,,-0.003846263647245917,-0.20578481730125925,0.24646394998492885,0.26599393801376875,-0.003673487914418037,0.27710870410992383,0.0735777390949586,-0.07197176999107292,-0.04023434450018912,,1.876808678967832,2.232898318617829,0.10701622969967844,-0.22203302905050482,0.0,,0.06557003645756092,0.0012822430519612124,-0.08507383721512052,1.8203643342126368,-0.30576974131939677,-0.03278501822878046,-0.06850814536225491,13.912532140845354,0.26599393801376875,0.01639250911439023,1.8203643342126368,-0.30576974131939677,-0.0367888695474793,0.1818509995699732,0.0816016119740631,-0.0083404842541153,-5.378761824446225,False
0.5701091405184174,1.7540501088803275,0.538059522978172,0.4227208935830406,0.47853839342518717,-0.5076450901203318,0.0481692017458112,-0.06166051841318886,0.0,0.006977722963713986,-0.39445480512317344,0.22488228992213224,,-0.0002911677215274855,-0.49380336051937995,-0.23496786570510508,0.20502784668185173,0.265993819250332,0.0,-0.033013381025810404,1.8662659504701558,-0.531987638500664,0.0,-0.0141786008582567,,-0.0038328756931667184,-0.20581080654068806,0.24648486118721216,0.265993819250332,-0.0036604551145782782,0.2793313145823383,0.0735845711791478,-0.0727089322279202,-0.040578000164743944,,1.871344012676738,2.232824288912494,0.10755336363557334,-0.22313423574930435,0.0,,0.0658937116611283,0.0012951899178506318,-0.08550045256707975,1.8205883877367977,-0.3057578150089124,-0.03294685583056415,-0.06884892891193888,13.704161984291668,0.265993819250332,0.016473427915282075,1.8205883877367977,-0.3057578150089124,-0.0367922855895739,0.1818814952213438,0.0816010628071371,-0.0084273211650949,-5.338687974443279,False
0.5701273306048203,1.7539941453765229,0.5380879344333349,0.422705276784396,0.47852028287780496,-0.5077114662462802,0.0484121034367184,-0.06167430987835641,0.0,0.007048215913139551,-0.39442746993898814,0.22487388055352828,,-0.00029407981340545675,-0.4938919769048835,-0.23496797168256306,0.2050589307405441,0.2659936992793053,0.0,-0.033348133085807426,1.8662055649717797,-0.5319873985586105,0.0,-0.01438048364502,,-0.0038192899190563874,-0.20583692655066707,0.24650586698295918,0.2659936992793053,-0.003647233262985609,0.28155798922579967,0.0735914422824402,-0.07343855338064492,-0.040924246971882336,,1.8659151901842124,2.2327509943881583,0.10809217208875539,-0.22423876217704958,0.0,,0.06621834536589144,0.001308242353965098,-0.08592837814138983,1.8208124168060449,-0.3057459091388104,-0.03310917268294572,-0.06919074042970189,13.497812558218648,0.2659936992793053,0.01655458634147286,1.8208124168060449,-0.3057459091388104,-0.0367957211412201,0.181912093253649,0.0816005397402838,-0.0085137532634713,-5.299737844799021,False
0.5701455206912233,1.753938185443669,0.538116347790427,0.4226896598019616,0.4785021677958243,-0.507777857380373,0.0486557556011982,-0.061688105293110106,0.0,0.007118875767379656,-0.39440013454440054,0.22486547007050575,,-0.0002970151021601808,-0.4939812739164578,-0.23496807873026743,0.2050901944862772,0.2659935780968236,0.0,-0.033683699623572476,1.8661451748272466,-0.5319871561936472,0.0,-0.0145840661732882,,-0.003805505386445091,-0.205863218913503,0.24652703969247616,0.2659935780968236,-0.0036338214791150655,0.28380225463827624,0.0735983526231436,-0.07417009026799429,-0.04127309633530227,,1.8605688012203707,2.232678390542803,0.10863265410632716,-0.2253466027283259,0.0,,0.06654393500901816,0.0013214009671267386,-0.08635760038228733,1.8210364669889776,-0.30573401724775157,-0.03327196750450908,-0.06953357736658394,13.29346883551489,0.2659935780968236,0.01663598375225454,1.8210364669889776,-0.30573401724775157,-0.0367991763115718,0.1819427942309027,0.0816000411490507,-0.0085997783435085,-5.261873664590691,False
0.5701637107776262,1.753882229081425,0.5381447630499877,0.42267404264026326,0.4784840481992526,-0.5078442635339474,0.0489001590218551,-0.061701904663103005,0.0,0.0071868965538793225,-0.3943727989497852,0.22485705847896828,,-0.00029997373745982436,-0.4940701112325471,-0.23496818684468687,0.20512110954421556,0.265993455706888,0.0,-0.03400680348850318,1.8660847800650717,-0.531986911413776,0.0,-0.0147893586024691,,-0.0037915208730411203,-0.20588956158286564,0.24654816442496363,0.265993455706888,-0.003620218611191383,0.2860391027911138,0.073605302442053,-0.07487622497770108,-0.041624563292156705,,1.8552275250227712,2.23260648139686,0.10917481197353082,-0.22645776107577775,0.0,,0.06687048147108057,0.001334666416671697,-0.08678815707687855,1.82126051888104,-0.3057221394240231,-0.033435240735540286,-0.06987744076604414,13.09120969808996,0.265993455706888,0.016717620367770143,1.82126051888104,-0.3057221394240231,-0.0368026512210265,0.1819735987728961,0.0815995671822598,-0.0086853936458477,-5.225059815969433,False
