u,x,phi,f,h,phiprime,A0prime,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,F_tensor,G_tensor,H_tensor,G4,G4phi,G3X,mu,P1,K_scalar,photon_factor
0.71,1.4084507042253522,0.8483535178768147,0.2927048531030057,0.3891074914487804,-1.2775796889114128,0.0,-0.08515833976944095,-2.4102695517014228,-0.2920611942246009,0.16874066724251321,8.89382794993033,5.286438748106713e-11,-0.561162080545769,-0.21683040156106215,-0.3313701263058763,0.2882437128282457,0.5818717309717643,8.670740928879516,1.995601993806517,-0.5764874256564914,0.747700498910027,0.217417228050405,0.0,-0.11032509016451561,-0.29128356490494145,0.3755073996609574,0.2882437128282457,-0.08585663815555036,-1.2892360928637867,0.08506217035695089,0.12182213061015709,0.02945494962428069,0.0,-0.031125890025785363,1.1435973530182335,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4815634196865022,-0.16874066724251324,0.0,0.0,0.0,1.0,1.0,1.0,0.5,-4.298172200803512e-10,-0.4005701010945615,3.461657453384987,0.5048718636971719,0.009743727394343704,-0.01550199876158287
0.7099591913192917,1.4085316624209565,0.8482500769847284,0.292737617606872,0.3889391512092136,-1.2778351324921335,0.0,-0.08525071076861318,-2.408920238566737,-0.29210662956397226,0.16871360386070008,8.903979150550303,-4.619170921306202e-07,-0.5612768049187483,-0.21688945859033312,-0.33089872004676296,0.2881652266625872,0.5824376891875882,8.664847821637602,1.9956890539175793,-0.5763304533251744,0.7487516843917446,0.2177200818114588,0.0,-0.1104798608491979,-0.29133275760848454,0.37570600723451714,0.2881652266625872,-0.08593988660879812,-1.2882319269028253,0.08503875131612652,0.1220676620117468,0.029527098099256292,0.0,-0.030999093802042132,1.1434173984665852,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4818010775066668,-0.16871360386689638,0.0,0.0,0.0,0.9999999999632734,0.9999999999632734,0.9999999999632734,0.4999999999816367,5.325368838666221e-07,-0.4010376840307453,3.462751347477879,0.5048709812215388,0.0097419624798043,-0.01532509549354466
0.7099183873294364,1.4086126206165608,0.8481466154460245,0.2927703941537707,0.3887710426887766,-1.2780897451814108,0.0,-0.08534303075927327,-2.407568658995406,-0.2921520740815403,0.1686865816660583,8.906598173635132,-1.8463758335633806e-06,-0.5613892100564811,-0.21694849042691844,-0.3304270255648921,0.28808681655403257,0.583003148292712,8.658952559605916,1.9957760751457292,-0.5761736331080651,0.7498026913998124,0.2180228653362333,0.0,-0.11063460815792,-0.29138187033658886,0.3759044829666221,0.28808681655403257,-0.08602306394203758,-1.2872281158892118,0.08501535785478496,0.1223225921809038,0.029599280075452775,0.0,-0.03087425107975328,1.1432376819452896,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4820384493978445,-0.16868658171559286,0.0,0.0,0.0,0.9999999997063516,0.9999999997063516,0.9999999997063516,0.4999999998531758,2.1276391726764824e-06,-0.4015087475054255,3.4638448548813616,0.5048711894765364,0.009742379246721278,-0.015148484234919324
0.7098775880296249,1.408693578812165,0.8480431333279725,0.2928031827269134,0.3886031660079583,-1.2783435269032275,0.0,-0.08543529968397126,-2.406216514198984,-0.29219752763599555,0.16865960067505548,8.90869470249772,-4.151568753287131e-06,-0.5615000076008667,-0.21700749688642715,-0.3299550434257964,0.28800848253134936,0.5835681080260222,8.653057158920536,1.9958630566425042,-0.5760169650626987,0.7508535172537313,0.2183255778089281,0.0,-0.11078933170410352,-0.2914309029923104,0.37610282622496954,0.28800848253134936,-0.086106170120241,-1.286224954957845,0.0849919899728687,0.12257930553186848,0.029671495238516248,0.0,-0.030750234485749317,1.1430582039174926,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4822755345782546,-0.1686596008421143,0.0,0.0,0.0,0.9999999990094912,0.9999999990094912,0.9999999990094912,0.4999999995047456,4.78275473629849e-06,-0.4019832851123248,3.464937971832717,0.5048710971565616,0.009742195303632073,-0.014972165202642662
0.7098367934190487,1.4087745370077691,0.8479396306978527,0.2928359833094964,0.3884355212864436,-1.2785964774970993,0.0,-0.08552751749103174,-2.404863320832334,-0.2922429900861461,0.16863266090412282,8.911845002433989,-7.375612827629854e-06,-0.5616089609481999,-0.2170664777845693,-0.3294827740918397,0.28793022462320844,0.5841325681662439,8.647161237045072,1.9959499975607606,-0.5758604492464169,0.7519041593205474,0.2186282185763756,0.0,-0.11094403110813897,-0.2914798554615095,0.37630103639733803,0.28793022462320844,-0.08618920511421875,-1.2852223863184111,0.08496864767030085,0.12284037633496224,0.029743743400918392,0.0,-0.0306274230907837,1.1428789648453048,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4825123322669893,-0.16863266129982984,0.0,0.0,0.0,0.9999999976534378,0.9999999976534378,0.9999999976534378,0.4999999988267189,8.494645372299303e-06,-0.4024612870276517,3.4660306945703288,0.5048711731310342,0.009742348608630658,-0.014796138698482397
0.7097960034968995,1.4088554952033738,0.8478361076229552,0.2928687958847011,0.3882681086431061,-1.2788485968736854,0.0,-0.08561968411660409,-2.403509245584343,-0.2922884612860851,0.16860576236965413,8.914525297387197,-1.1516664489698513e-05,-0.5617162164823799,-0.21712543293716097,-0.32901021808569164,0.2878520428581818,0.5846965284093395,8.641264586571232,1.996036897021665,-0.5757040857163636,0.7529546148571131,0.2189307869352589,0.0,-0.11109870597411121,-0.2915287276337743,0.37649911286749393,0.2878520428581818,-0.08627216888252943,-1.2842203777614634,0.08494533094698457,0.12310426205826501,0.029816024351276917,0.0,-0.030505587793714817,1.1426999651897887,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4827488416840322,-0.1686057631419644,0.0,0.0,0.0,0.9999999954194314,0.9999999954194314,0.9999999954194314,0.4999999977097157,1.3260381632989492e-05,-0.4029427443142226,3.467123019276406,0.5048711354122855,0.0097422754051395,-0.014620404982936819
0.7097552182623691,1.408936453398978,0.8477325641705784,0.2929016204356944,0.3881009281960095,-1.2790998849264408,0.0,-0.08571179951598118,-2.4021543130075873,-0.2923339411014406,0.16857890508800435,8.916908750416773,-1.657288211105368e-05,-0.5618217161701968,-0.2171843621601234,-0.32853737591521953,0.2877739372647399,0.5852599885824048,8.63536760584498,1.9961237542256725,-0.5755478745294798,0.754004881285443,0.2192332822050413,0.0,-0.1112533559304287,-0.2915775194085988,0.37669705503482775,0.2877739372647399,-0.08635506140304079,-1.2832189866028028,0.08492203980280273,0.1233716167922846,0.029888337865768447,0.0,-0.03038482403692022,1.1425212054109526,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4829850620502645,-0.1685789064215985,0.0,0.0,0.0,0.9999999920891992,0.9999999920891992,0.9999999920891992,0.4999999960445996,1.907697464135572e-05,-0.403427647964694,3.4682149422697464,0.5048711026456755,0.00974221320215174,-0.01444496432509157
0.7097144377146496,1.4090174115945824,0.847629000408031,0.2929344569456282,0.3879339800624122,-1.27935034150076,0.0,-0.08580386362427612,-2.400798419231757,-0.2923794293829087,0.1685520890754908,8.920061905138343,-2.2542425320881635e-05,-0.5619254385881733,-0.21724326526948418,-0.3280642480821025,0.28769590787125443,0.585822948375119,8.629470059949217,1.9962105682717788,-0.5753918157425089,0.7550549558469584,0.2195357036877836,0.0,-0.11140798057880648,-0.29162623066479976,0.37689486226571434,0.28769590787125443,-0.08643788263330464,-1.2822181766210115,0.08489877423761812,0.12364270274925235,0.02996068374392393,0.0,-0.03026516911481103,1.142342685967763,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4832209925874633,-0.16855209119166903,0.0,0.0,0.0,0.99999998744496,0.99999998744496,0.99999998744496,0.49999999372248,2.5941454838840034e-05,-0.4039159889839424,3.4693064596917913,0.5048711216140946,0.009742255783229292,-0.014269817021793307
0.7096736618529329,1.4090983697901869,0.8475254164026309,0.2929673053976391,0.387767264358763,-1.2795999665344056,0.0,-0.0858958763900116,-2.399441575302524,-0.2924249259937473,0.16852531434839071,8.922747737505647,-2.94234719187681e-05,-0.5620274271208244,-0.21730214208137844,-0.32759083513559367,0.28761795470599427,0.5863854075691259,8.623571759543125,1.9962973383452762,-0.5752359094119885,0.7561048358979073,0.2198380506970078,0.0,-0.1115625795378553,-0.2916748613013095,0.377092533960041,0.28761795470599427,-0.08652063254440212,-1.281217918406778,0.08487553425127235,0.12391708294730028,0.030033061767247606,0.0,-0.030146557456247614,1.1421644073181314,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.483456632518319,-0.16852531750496777,0.0,0.0,0.0,0.9999999812694192,0.9999999812694192,0.9999999812694192,0.4999999906347096,3.385086702034647e-05,-0.404407758442774,3.470397567832824,0.5048711122605685,0.009742243251717686,-0.014094963333568411
0.7096328906764117,1.409179327985791,0.8474218122217024,0.2930001657748503,0.3876007812006986,-1.2798487599075918,0.0,-0.08598783775075075,-2.3980838405510667,-0.2924704307877664,0.16849858092294115,8.92522815166306,-3.7214164624862285e-05,-0.5621276390184073,-0.21736099241205226,-0.32711713759211114,0.28754007779712365,0.5869473658716375,8.61767314067794,1.9963840635674526,-0.5750801555942473,0.7571545186949945,0.2201403225315493,0.0,-0.11171715241145215,-0.2917234112097114,0.37729006950308563,0.28754007779712365,-0.08660331109639272,-1.2802182747243354,0.08485231984358606,0.12419524889918206,0.030105471724603382,0.0,-0.03002906018617768,1.1419863699189052,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.4836919810664433,-0.16849858541414092,0.0,0.0,0.0,0.9999999733457718,0.9999999733457718,0.9999999733457718,0.4999999866728859,4.2802256333880426e-05,-0.4049029474135848,3.471488262870858,0.5048711631746728,0.009742353003573845,-0.013920403510485846
