u,x,K11,K12,K13,K21,K22,K23,K31,K32,K33,R11,R12,R13,R21,R22,R23,R31,R32,R33,G11,G12,G13,G21,G22,G23,G31,G32,G33,S11,S12,S13,S21,S22,S23,S31,S32,S33,M11,M12,M13,M21,M22,M23,M31,M32,M33
0.5515230871346237,1.813160724051259,1.3709053658935788e-06,-4.221086468572342e-05,-0.0,-4.2212401514766376e-05,0.1049366418611217,-0.0,-0.0,-0.0,0.01308631740087933,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.17691390872054e-07,-8.9756147217007e-06,0.0,-8.9756147217007e-06,0.022718097971280958,0.0,0.0,0.0,0.0028402742926584962,7.231967303657216e-18,0.00014082090385396433,0.0,-0.00014082090385269744,1.3269663146076027e-12,0.0,0.0,0.0,-2.4069635173873394e-13,0.0002254953038521292,-0.015181766841046034,-0.0,-0.015181766841035583,14.405523946120605,-0.0,-0.0,-0.0,1.7466257880499132
0.5515496675495626,1.8130733437712376,1.3713206214749103e-06,-4.1535951904147535e-05,-0.0,-4.153585277588993e-05,0.10464754809278096,-0.0,-0.0,-0.0,0.013084540906732604,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.175822526471267e-07,-8.969506350088354e-06,0.0,-8.969506350088354e-06,0.022708875690778018,0.0,0.0,0.0,0.0028396249074472057,6.442532596816208e-18,0.0001415896403748067,0.0,-0.00014158964037498556,2.577382751667301e-13,0.0,0.0,0.0,9.880984919163893e-15,0.00017916575015211936,-0.005568352423490741,-0.0,-0.005568352423491478,14.009074662446451,-0.0,-0.0,-0.0,1.7453098155803062
0.5515762479645013,1.8129859719129144,1.3710864499245955e-06,-4.1629707789961234e-05,-0.0,-4.162971982329878e-05,0.1046685029396375,-0.0,-0.0,-0.0,0.013082764714137256,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.174700092448036e-07,-8.963376678391046e-06,0.0,-8.963376678391046e-06,0.02269976410319153,0.0,0.0,0.0,0.0028389756267720124,2.013397315623472e-18,0.00014125346979034894,0.0,-0.00014125346979026657,-7.269185253733212e-14,0.0,0.0,0.0,-3.3306690738754696e-16,0.00018169698091453473,-0.003132897800610145,-0.0,-0.0031328978006109776,13.926108061382472,-0.0,-0.0,-0.0,1.7451963653749099
0.5516028283794402,1.81289860847507,1.3708348500628825e-06,-4.154218520665633e-05,-0.0,-4.154218634665614e-05,0.10458765719632085,-0.0,-0.0,-0.0,0.013080988823464944,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.173586353930172e-07,-8.957264841360943e-06,0.0,-8.957264841360943e-06,0.0226906119386976,0.0,0.0,0.0,0.002838326451726018,-6.602621823847271e-19,0.00014091459529930937,0.0,-0.0001409145952993104,6.764033777528766e-14,0.0,0.0,0.0,-2.6922908347160046e-15,0.00018411620869258663,-0.0043575709174004384,-0.0,-0.004357570917400612,13.957082444225584,-0.0,-0.0,-0.0,1.7451173668534314
0.5516294087943789,1.8128112534564889,1.370649671721038e-06,-4.155312027971818e-05,-0.0,-4.155311257724016e-05,0.1045418897295611,-0.0,-0.0,-0.0,0.013079213233890873,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.172472847309579e-07,-8.9511593075108e-06,0.0,-8.9511593075108e-06,0.022681424828335968,0.0,0.0,0.0,0.0028376773804746945,1.2760551350386035e-18,0.00014071549317028336,0.0,-0.0001407154931703472,-6.2450045135165055e-15,0.0,0.0,0.0,5.703770789011742e-15,0.00018245347878579482,-0.004391291692500382,-0.0,-0.004391291692500384,13.949592913274293,-0.0,-0.0,-0.0,1.7449018516218486
0.5516559892093178,1.812723906855953,1.3704526358074114e-06,-4.148267866051458e-05,-0.0,-4.1482684392742355e-05,0.10452364672055862,-0.0,-0.0,-0.0,0.013077437945720319,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.171356339362582e-07,-8.945058546182364e-06,0.0,-8.945058546182364e-06,0.022672306592032856,0.0,0.0,0.0,0.002837028413949683,-4.171637265227429e-19,0.00014043212300691342,0.0,-0.00014043212300682528,-6.082634396165076e-14,0.0,0.0,0.0,4.052314039881821e-15,0.0001818872173867583,-0.003826518115031188,-0.0,-0.003826518115031098,13.927480447436157,-0.0,-0.0,-0.0,1.744736803006207
0.5516825696242565,1.8126365686722463,1.3702264029954135e-06,-4.148453855742173e-05,-0.0,-4.148453555293789e-05,0.10446873240501582,-0.0,-0.0,-0.0,0.013075662959013608,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.170241020612829e-07,-8.938969284751708e-06,0.0,-8.938969284751708e-06,0.02266317212898337,0.0,0.0,0.0,0.0028363795524882903,3.5321273900504324e-19,0.00014012676450678705,0.0,-0.00014012676450677746,3.0503377601576176e-14,0.0,0.0,0.0,4.579669976578771e-16,0.00018292263431007608,-0.004071240321063,-0.0,-0.004071240321063197,13.929785377390003,-0.0,-0.0,-0.0,1.7446060735032574
0.5517091500391954,1.8125492389041515,1.3700168486174401e-06,-4.144277023122171e-05,-0.0,-4.1442768331653916e-05,0.10442229609619674,-0.0,-0.0,-0.0,0.013073888273419567,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.169127404979483e-07,-8.932888498791313e-06,0.0,-8.932888498791313e-06,0.022654014959754255,0.0,0.0,0.0,0.0028357307954378057,7.199780051661553e-19,0.0001398846747294746,0.0,-0.00013988467472945577,-2.1163626406917047e-14,0.0,0.0,0.0,1.9567680809018384e-15,0.0001828984174511771,-0.00437643580626825,-0.0,-0.004376435806268348,13.934816822891024,-0.0,-0.0,-0.0,1.7444489055222274
0.5517357304541342,1.8124619175504533,1.3698283010070813e-06,-4.145288613979588e-05,-0.0,-4.1452890534972135e-05,0.10440657847952674,-0.0,-0.0,-0.0,0.013072113888866803,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.168012444038913e-07,-8.926812828609922e-06,0.0,-8.926812828609922e-06,0.02264488719853534,0.0,0.0,0.0,0.002835082142767789,3.6507120026660345e-19,0.00013963063920217992,0.0,-0.00013963063920216937,-6.050715484207103e-15,0.0,0.0,0.0,-3.83026943495679e-15,0.00018180992727116578,-0.0037726975356856553,-0.0,-0.0037726975356855447,13.91362071004383,-0.0,-0.0,-0.0,1.7442629743710651
0.551762310869073,1.8123746046099345,1.3696024363444963e-06,-4.134917991124965e-05,-0.0,-4.134917752897867e-05,0.1043596306062485,-0.0,-0.0,-0.0,0.013070339805504042,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.166896805276728e-07,-8.920748612670246e-06,0.0,-8.920748612670246e-06,0.022635779962862222,0.0,0.0,0.0,0.002834433595069586,2.0582900618279498e-19,0.00013927622962858045,0.0,-0.00013927622962858375,1.7985612998927536e-14,0.0,0.0,0.0,-9.409140133698202e-15,0.00018289909850187385,-0.003922772247412821,-0.0,-0.003922772247412919,13.916986576221776,-0.0,-0.0,-0.0,1.7440882921896423
0.5517888912840118,1.8122873000813804,1.369382987314368e-06,-4.141444596489913e-05,-0.0,-4.1414442812257734e-05,0.10429946947962915,-0.0,-0.0,-0.0,0.013068566023060514,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.165785015157991e-07,-8.914695628196862e-06,0.0,-8.914695628196862e-06,0.02262660868259877,0.0,0.0,0.0,0.002833785151857922,5.35748339138345e-19,0.00013905990614319767,0.0,-0.00013905990614311012,-4.714284518314571e-14,0.0,0.0,0.0,-3.469446951953614e-16,0.0001834243923221872,-0.004565875727662674,-0.0,-0.004565875727662762,13.933798182963475,-0.0,-0.0,-0.0,1.7440643767348785
0.5518154716989506,1.8122000039635744,1.369202335907557e-06,-4.133619860044974e-05,-0.0,-4.13362088829265e-05,0.10429239560689675,-0.0,-0.0,-0.0,0.01306679254110086,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.164671053260709e-07,-8.908644330429725e-06,0.0,-8.908644330429725e-06,0.022617484458901473,0.0,0.0,0.0,0.00283313681221617,1.1833050273142576e-18,0.0001388155433784337,0.0,-0.00013881554337843272,-1.3947176746853529e-14,0.0,0.0,0.0,7.951972413877684e-15,0.00018188643399908922,-0.0037127242633885785,-0.0,-0.003712724263388377,13.907328510848298,-0.0,-0.0,-0.0,1.743691042309179
0.5518420521138894,1.812112716255302,1.3689880829194844e-06,-4.1257738342561124e-05,-0.0,-4.125772454563695e-05,0.10426394906399708,-0.0,-0.0,-0.0,0.013065019360219818,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.163555924623024e-07,-8.902605106667524e-06,0.0,-8.902605106667524e-06,0.02260838723924962,0.0,0.0,0.0,0.0028324885778468257,-5.975817442879089e-19,0.0001384503478410128,0.0,-0.00013845034784105542,7.28583859910259e-15,0.0,0.0,0.0,3.913536161803677e-15,0.00018240037352008445,-0.003919124823229722,-0.0,-0.003919124823229919,13.917728386041523,-0.0,-0.0,-0.0,1.7437231516083425
0.5518686325288282,1.812025436955348,1.3687702493239218e-06,-4.14469364063611e-05,-0.0,-4.144694350061826e-05,0.10424662123038826,-0.0,-0.0,-0.0,0.013063246479887134,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.162443433872188e-07,-8.896578152869525e-06,0.0,-8.896578152869525e-06,0.02259925019616924,0.0,0.0,0.0,0.002831840447597109,7.707999820014133e-19,0.0001382367431543316,0.0,-0.0001382367431543374,9.853229343548264e-15,0.0,0.0,0.0,-2.3592239273284576e-15,0.00018328130568552307,-0.004436159512644148,-0.0,-0.004436159512644335,13.938459717033403,-0.0,-0.0,-0.0,1.743432186487652
0.551895212943767,1.811938166062496,1.368584316711408e-06,-4.115310267645945e-05,-0.0,-4.115311047131489e-05,0.10423865296904128,-0.0,-0.0,-0.0,0.013061473900091696,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.161330873503217e-07,-8.890553791805485e-06,0.0,-8.890553791805485e-06,0.02259011955908135,0.0,0.0,0.0,0.0028311924216291055,-1.5712461171567271e-19,0.0001379627519616202,0.0,-0.00013796275196165775,-2.2093438190040615e-14,0.0,0.0,0.0,-1.2753686995381486e-14,0.00018212991477476755,-0.003793739948709465,-0.0,-0.0037937399487094447,13.922171016957227,-0.0,-0.0,-0.0,1.7434069924245745
