L,max_h0_quadratic,max_P20_asym,max_P02_asym,max_P11_asym,max_time_first_sym_res,max_radial_first_sym_res,higher_operator_keys,max_high_order,max_S_sym,max_R_abs,K_maxabs,G_maxabs,S_maxabs,M_maxabs
6,4.547473508864641e-13,3.143270532746101e-09,2.2737367544323206e-13,0.0,0.0,0.001251220703125,[],0.0,0.001251220703125,0.0,1798.7908687043537,42139232.878344774,335427427.92271876,16966061890803.281
12,4.547473508864641e-13,3.4927438719023485e-09,7.105427357601002e-15,0.0,0.0,0.0010137557983398438,[],0.0,0.0010139942169189453,0.0,899.3954343521766,21069616.439172387,248682321.35102224,8468358091702.317
20,4.547473508864641e-13,1.1062297744501848e-09,1.4210854715202004e-14,0.0,0.0,0.005615234375,[],0.0,0.005615234375,0.0,539.6372606113061,12641769.863503434,176287312.07039285,5067921274081.633
42,4.547473508864641e-13,2.3237589630298316e-10,3.552713678800501e-15,0.0,0.0,0.0007343292236328125,[],0.0,0.0007343292236328125,0.0,256.9701241006219,6019890.41119211,63512085.835274935,2395585691117.628
110,4.547473508864641e-13,1.7465140444983263e-10,5.684341886080802e-14,0.0,0.0,0.0007843971252441406,[],0.0,0.000784456729888916,0.0,175.76114744630374,2298503.6115460787,44957896.87422967,919634851793.8927
420,4.547473508864641e-13,9.777068044058979e-12,1.1102230246251565e-16,0.0,0.0,0.0002726912498474121,[],0.0,0.0002726912498474121,0.0,234.74051765461462,1208767.8340926364,70078761.77645975,342288025421.8794
1000,4.547473508864641e-13,1.3287149158713873e-12,7.105427357601002e-15,0.0,0.0,0.0001793205738067627,[],0.0,0.0001793205738067627,0.0,248.58552282818135,611723.6332139261,57523162.53132638,160445561876.56186
