r_over_rs,u,phi,f,h,X,subcore_s,G5X,G5phi,G5phiX,G5phiphi,G4,G4X,G4XX,G4phi,G4phiX,G4phiphi,G3,G3X,G3phi,G2,G2X,F_target,F_check,G_check,H_target,H_check,XiH_target,XiH_check,background_rank,background_scaled_condition,background_residual_abs,background_residual_rel
0.003,333.3333333333333,0.999999997164851,0.25000000070878725,0.9999999802851245,-1.793920875267051e-12,0.0,3368381.0805,0.0,1.9719138797423848e-23,-1.2531276043372937e-26,0.5000000073867168,-6251.296272425007,0.0,1.374366010142828,-11081082378.862276,-929649559.7630978,-22.568566345109065,-745394197005.4862,-1616564481.0026536,-0.02423094520485979,3259158137.305515,1.0000000224534447,1.0000000224534447,0.9999999699161101,0.9999999775465552,0.9999999775465553,0.00011930602936401002,0.00011930602936401002,3,2.4494890321856877,5.73573546818639e-09,5.73573546818639e-09
0.0030070833333333334,332.5481502009145,0.999999997151418,0.2500000007121455,0.9999999801917148,-1.8024572621294964e-12,0.0,3368381.0805,0.0,-9.8361943679502e-24,6.2507135700242425e-27,0.5000000074215648,-6251.133198035475,0.0,1.3820259976582001,-13131540142.83027,-352443559.57200044,-22.54055629379964,-750249565625.8425,-1603352105.7180367,-0.020121363510668778,2109184917.6549213,1.0000000225596,1.0000000225596,0.9999999697735279,0.9999999774403999,0.9999999774403998,0.00011987008405982013,0.00011987008405982014,3,2.4494897427831774,1.6831922735327075e-09,1.6831922735327075e-09
0.0030141666666666667,331.7666574509262,0.9999999971379532,0.2500000007155117,0.9999999800980842,-1.8110139200734472e-12,0.0,3368381.0805,0.0,1.962585977090404e-23,-1.2472024147813848e-26,0.5000000074564005,-6250.944804481912,0.0,1.3882699324199348,-14785012316.943634,-712779441.7657621,-22.512615634138335,-753495968774.3319,-1591232281.8940568,-0.022760478652835543,2832275133.4429426,1.0000000226660057,1.0000000226660057,0.9999999696306088,0.9999999773339943,0.9999999773339943,0.00012043546898103479,0.00012043546898103477,3,2.4494892344182277,8.574758756339784e-09,8.574758756339784e-09
0.00302125,330.98882912701697,0.9999999971244565,0.25000000071888584,0.9999999800042321,-1.819591059858023e-12,1.5360887382379185e-245,3368381.0805,0.0,-6.852842221432898e-23,4.35507394908166e-26,0.5000000074912201,-6250.729907541879,1.680198727164956e-232,1.3983174861846135,-17466339643.023712,-364879313.43416893,-22.484735082808097,-760862444303.4374,-1577869692.8628123,-0.020274671506069798,2141587502.01989,1.0000000227726618,1.0000000227726618,0.9999999694873511,0.9999999772273382,0.9999999772273382,0.000121002184127654,0.00012100218412765403,3,2.449489742783178,2.1776231491982597e-09,2.1776231491982597e-09
0.0030283333333333334,330.2146395156852,0.9999999971109279,0.250000000722268,0.9999999799101577,-1.828188892259374e-12,3.1538125217461424e-184,3368381.0805,0.0,2.539349069883272e-22,-1.6138887808579838e-25,0.5000000075260305,-6250.490231587837,3.44969118830557e-171,1.3941869975998773,-16267979774.374369,918908143.7216195,-22.456915680056664,-752670275319.65,-1572933804.1581197,-0.010890650994793258,-437591645.8171491,1.0000000228795682,1.0000000228795682,0.9999999693437537,0.9999999771204319,0.9999999771204319,0.00012157022949967778,0.00012157022949967778,3,2.4494898202586173,6.244056102245113e-09,6.244056102245113e-09
0.0030354166666666667,329.4440631434454,0.9999999970973673,0.2500000007256582,0.9999999798158609,-1.83680741730354e-12,1.9337079623271876e-147,3368381.0805,0.0,-9.451473303553235e-22,6.0070071939025075e-25,0.5000000075610911,-6250.296760334492,2.1151210708945744e-134,1.3840329568932526,-13409929628.023905,-86525679.89790429,-22.429172093196087,-737957464185.3821,-1571537282.2843556,-0.01822457444094464,1554735297.2064881,1.000000022986725,1.000000022986725,0.9999999691998164,0.9999999770132751,0.9999999770132753,0.00012213960509710613,0.0001221396050971061,3,2.4494900319528643,7.554880726437854e-09,7.554880726437854e-09
0.0030425,328.6770747740345,0.999999997083775,0.25000000072905626,0.9999999797213432,-1.845446213473529e-12,6.479086423835205e-123,3368381.0805,0.0,3.518985395819553e-21,-2.2365830311000186e-24,0.5000000075962193,-6250.100467936286,7.086929609943894e-110,1.3946832648418819,-16219173590.660715,-624103241.1872196,-22.40149233446109,-745926771195.4812,-1558207349.586414,-0.022218304466976865,2635359717.895883,1.000000023094132,1.000000023094132,0.9999999690555417,0.9999999769058681,0.999999976905868,0.00012271031091993904,0.00012271031091993904,3,2.4494898770971867,3.7164115519825597e-09,3.7164115519825597e-09
0.0030495833333333334,327.9136494056565,0.9999999970701506,0.2500000007324623,0.9999999796266033,-1.854105702321045e-12,2.1356629846599627e-105,3368381.0805,0.0,-1.3102304675908368e-20,8.327923703252947e-24,0.5000000076313129,-6249.872704319937,2.3360227434485607e-92,1.3911204923444616,-15194015312.914371,1077153066.7809398,-22.37387160905716,-738510327638.2361,-1552956027.1818464,-0.009615619810698422,-777699581.7739949,1.0000000232017894,1.0000000232017894,0.9999999689109274,0.9999999767982106,0.9999999767982106,0.0001232823469681765,0.0001232823469681765,3,2.449489876469863,4.482677414593267e-09,4.482677414593267e-09
0.0030566666666666667,327.15376226826606,0.9999999970564944,0.25000000073587636,0.9999999795316418,-1.862785673091854e-12,2.9384061265208902e-92,3368381.0805,0.0,4.878440210313104e-20,-3.10078026258475e-23,0.5000000076666744,-6249.695679252872,3.2140761863390606e-79,1.3797233174992476,-12043157829.864292,-338320975.8607279,-22.346314663442538,-722713260394.0353,-1554126826.0284877,-0.020094125613113387,2030004707.9427295,1.000000023309697,1.000000023309697,0.9999999687659745,0.9999999766903028,0.9999999766903028,0.00012385571324181852,0.00012385571324181855,3,2.4494895336830407,9.139881775852135e-10,9.139881775852135e-10
0.00306375,326.39738882088943,0.9999999970428065,0.2500000007392984,0.9999999794364595,-1.8714859150145117e-12,4.864794047584311e-82,3368381.0805,0.0,-1.8164217490196513e-19,1.1545517480688539e-22,0.5000000077020647,-6249.505327488934,5.321190477606903e-69,1.3994490056359035,-17240430679.691986,-1494122021.1421802,-22.31883021208204,-740313903625.1952,-1531808729.1108096,-0.028815066048643423,4365495935.498843,1.0000000234178552,1.0000000234178552,0.9999999686206845,0.9999999765821447,0.9999999765821447,0.00012443040974086512,0.00012443040974086512,3,2.449489950911351,2.3234345641395763e-09,2.3234345641395763e-09
