u,x,phi,f,h,phiprime,A0prime,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,mu,P1,c2_unit_reference,selected_crS2,photon_factor,G3X_selected,T_H,S_SVT,G2XX_selected,G3phiX_holonomic,c2_anchor_outer_endpoint
0.5515230871346237,1.813160724051259,0.5099330950260855,0.438616122867156,0.4948325295065454,-0.4469231611174665,0.0,2.3146021209486587e-16,-0.19670970777454524,-0.422355081794884,0.23293857857851097,-2.9659164652773904,0.0,-0.4758240570676287,-0.23537112526818002,0.18332788492320976,0.26553809405800305,-1.0554113267968874e-15,0.5212997920854069,1.9258529715416002,-0.5310761881160061,-1.0664328473406548e-15,-0.0319403543925654,0.0,1.4228053811934144e-16,-0.1974177017701932,0.15092626386946673,0.26553809405800305,1.4081007715429236e-16,-0.06954984630678229,0.0708547247170238,0.3292834491259346,-0.07146721667479228,0.0,-0.04392726901265043,1.7459404841483186,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0732442926612027,-0.23293857857851097,0.0,0.0,0.0,3.6263214481025177,0.5153204379448959,-0.0319403543925654,1.0,-0.406446895906648,3.058006148238108e-15,1.0,0.0,4.870563347237298,2.435545323841049,-0.0319403543925654
0.5515496675495626,1.8130733437712376,0.5099721507651324,0.4385934333689607,0.4948121584127508,-0.4470021883251938,0.0,6.344985384325001e-06,-0.17941109948959666,-0.4223136925419481,0.23292775888188727,-2.083724636651288,0.0,-0.4720555458075594,-0.2353698822085017,0.18335699523115126,0.26553949644515085,-2.8933335073383874e-05,0.5203725466208801,1.9257638642605146,-0.5310789928903017,-2.9236685660873496e-05,-0.0319403543925654,0.0,3.900852400205156e-06,-0.1974248296328844,0.15092534724799975,0.26553949644515085,3.860378391590145e-06,-0.06942984197901492,0.07085826307894763,0.503207108073994,-0.071434721681333,0.0,-0.06713564989492049,1.7457814265834088,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.073294145790368,-0.23292775888188724,0.0,0.0,0.0,3.6261345111390906,0.5234202338506375,-0.048824620087817745,1.0,-0.40637366148883974,8.381446384815442e-05,1.0,0.0,4.358210073256208,1.929196768294078,-0.0319403543925654
0.5515762479645013,1.8129859719129144,0.5100112095522098,0.4385707438665178,0.4947917795452736,-0.44707909735707574,0.0,1.1483979837545404e-05,-0.16600158355516353,-0.4222725729090955,0.2329169373479571,-2.1174912253379885,0.0,-0.4691393368991987,-0.23536864088770207,0.18338224494871758,0.26554089688532334,-5.2370022388181175e-05,0.5195716598714841,1.9256759773178906,-0.5310817937706467,-5.2921273708619995e-05,-0.0319403543925654,0.0,7.061241390279279e-06,-0.1974311446531256,0.15092409747242086,0.26554089688532334,6.9876883865900525e-06,-0.0693259937853048,0.07086180057654634,0.6375998987159947,-0.07140634814396915,0.0,-0.08506617947186079,1.7456223787694667,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.073344012017994,-0.23291693734795713,0.0,0.0,0.0,3.625949900571275,0.5296840378313388,-0.061873857597112,1.0,-0.40630708247851605,0.0001516740405771,1.0,0.0,3.9606896078561884,1.5375315081304448,-0.0319403543925654
0.5516028283794402,1.81289860847507,0.510050271288823,0.4385480543913361,0.494771393044718,-0.4471568865820252,0.0,1.5419309503761808e-05,-0.15183725499336476,-0.42223172258373187,0.23290611401820913,-2.142953216470863,0.0,-0.46605672447477703,-0.23536740128097786,0.18340855465442898,0.265542295406442,-7.03198171756223e-05,0.5187446224659011,1.9255893093392022,-0.531084590812884,-7.106293751432261e-05,-0.0319403543925654,0.0,9.482291744234504e-06,-0.1974378877109406,0.15092317487344464,0.265542295406442,9.38313339110267e-06,-0.06921876165313368,0.07086533722223617,0.7796419677518788,-0.07138160834518194,0.0,-0.10402087183863351,1.7454633408894171,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0733938911558776,-0.2329061140182091,0.0,0.0,0.0,3.6257676133888084,0.5363080751927005,-0.07566603025092629,1.0,-0.40623868510621064,0.0002036163165065,1.0,0.0,3.541163626753045,1.1239858439543073,-0.0319403543925654
0.5516294087943789,1.8128112534564889,0.5100893361349524,0.4385253648919331,0.4947509986802824,-0.4472354375647751,0.0,1.815581876592963e-05,-0.1381171661719756,-0.42219114049559886,0.23289528882467714,-2.074671833729396,0.0,-0.46307100176070376,-0.23536616342959477,0.1834348718148261,0.26554369196188926,-8.280396172934632e-05,0.5179309256648782,1.9255038558585567,-0.5310873839237785,-8.368246041970684e-05,-0.0319403543925654,0.0,1.1166677723708555e-05,-0.19744479274166746,0.1509224333049195,0.26554369196188926,1.104944991149134e-05,-0.06911325333258134,0.07086887299513135,0.917152129472368,-0.07136050507495799,0.0,-0.12237294297822388,1.7453043126362102,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.073443783520238,-0.23289528882467717,0.0,0.0,0.0,3.6255876417785595,0.5427250609040921,-0.08901901738597452,1.0,-0.406170281976136,0.0002397125998394,1.0,0.0,3.134992244533644,0.7238695550767558,-0.0319403543925654
0.5516559892093178,1.812723906855953,0.5101284040063387,0.4385026753952496,0.4947305965720823,-0.4473127137734673,0.0,1.9682760700747926e-05,-0.12337815584393545,-0.42215082927069186,0.23288446180281436,-2.045645800295522,0.0,-0.4598537911928272,-0.23536492731239744,0.18346081231081032,0.26554508657547093,-8.977259116153229e-05,0.5171390586624175,1.9254196289232726,-0.5310901731509419,-9.072876408246606e-05,-0.0319403543925654,0.0,1.2107484381969797e-05,-0.19745176461497457,0.150921837503048,0.26554508657547093,1.1979885942558173e-05,-0.06901069127764714,0.07087240790581138,1.0652519241380853,-0.07134339576104967,0.0,-0.14214104318125997,1.7451452941657264,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0734936889506932,-0.23288446180281436,0.0,0.0,0.0,3.6254100080591143,0.5496392108575068,-0.10340005890606073,1.0,-0.406102533682569,0.0002598309733207,1.0,0.0,2.699039405966677,0.29389185578910637,-0.0319403543925654
0.5516825696242565,1.8126365686722463,0.5101674748710394,0.4384799859114422,0.4947101867648952,-0.4473903893212634,0.0,1.9952245773929116e-05,-0.11037875978176968,-0.42211079977201893,0.23287363296588465,-2.0487925716748814,0.0,-0.4570244497904509,-0.23536369292164477,0.18348688494242174,0.26554647925585945,-9.100641495622917e-05,0.5163500714802793,1.9253366782276384,-0.5310929585117189,-9.197952396266183e-05,-0.0319403543925654,0.0,1.2274942262425091e-05,-0.19745893747145848,0.15092145205530438,0.26554647925585945,1.2145077958345244e-05,-0.06890843407661684,0.07087594195810637,1.1954259011872526,-0.07133016185595653,0.0,-0.15951891285026143,1.7449862855343443,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0735436073890956,-0.23287363296588465,0.0,0.0,0.0,3.6252348056411954,0.5557217548958511,-0.11604162061475302,1.0,-0.40603456991397346,0.000263345461745,1.0,0.0,2.3145984724611237,-0.08448247082424551,-0.0319403543925654
0.5517091500391954,1.8125492389041515,0.5102065487841609,0.4384572964227557,0.4946897691778953,-0.4474685904954372,0.0,1.9175333480063054e-05,-0.09690285556479145,-0.42207100488042676,0.23286280229017745,-2.0157138739411966,0.0,-0.4540870314802174,-0.2353624602719828,0.1835131476596136,0.2655478699864692,-8.746727964848102e-05,0.5155651596769911,1.925254789116204,-0.5310957399729384,-8.840619424355521e-05,-0.0319403543925654,0.0,1.1798597081259741e-05,-0.19746629859101963,0.15092125181138377,0.2655478699864692,1.1673290533502741e-05,-0.06880680321693422,0.07087947514459368,1.3305147204414822,-0.07132012185312189,0.0,-0.1775558212699906,1.7448272866324535,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0735935389477422,-0.23286280229017745,0.0,0.0,0.0,3.6250616305344567,0.5620375058562709,-0.12916156860624922,1.0,-0.405966282096931,0.0002530492992241,1.0,0.0,1.9163752246512338,-0.47658154550088,-0.0319403543925654
0.5517357304541342,1.8124619175504533,0.5102456257473799,0.4384346069284422,0.4946693438089783,-0.44754629289195275,0.0,1.70965656621778e-05,-0.0820688656595861,-0.42203150189155353,0.23285196977502673,-1.9726226815322931,0.0,-0.45084281673119686,-0.235361229363897,0.18353923185618576,0.265549258766691,-7.798912490942197e-05,0.5147987139836696,1.925174223121644,-0.531098517533382,-7.882955138163795e-05,-0.0319403543925654,0.0,1.0520977736838094e-05,-0.1974737894524462,0.15092123353477288,0.265549258766691,1.040881030662114e-05,-0.06870754285224745,0.07088300746486281,1.4796697177670501,-0.07131423705181698,0.0,-0.19747183788824607,1.744668297455456,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0736434836327178,-0.23285196977502673,0.0,0.0,0.0,3.6248909751487637,0.5690125569315083,-0.14364633442991567,1.0,-0.4058983080775524,0.0002255798259302,1.0,0.0,1.4783528576457863,-0.9084980268556153,-0.0319403543925654
0.551762310869073,1.8123746046099345,0.5102847057053754,0.4384119174462579,0.4946489107353394,-0.4476236743801979,0.0,1.383910790807875e-05,-0.06862499589310757,-0.4219922634298931,0.23284113544334417,-1.9764949870283504,0.0,-0.44790748215261156,-0.23536000018397413,0.1835652231175113,0.2655506456115973,-6.313290016699966e-05,0.5140410012690189,1.9250948554865523,-0.5311012912231946,-6.38158689899337e-05,-0.0319403543925654,0.0,8.517558055286372e-06,-0.19748141384763687,0.15092138793246518,0.2655506456115973,8.42640162834484e-06,-0.0686094920595739,0.07088653892568131,1.6145312382910528,-0.07131209258150804,0.0,-0.21548317223056657,1.7445093181017692,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0736934413413861,-0.23284113544334417,0.0,0.0,0.0,3.6247226043318617,0.5753249535921193,-0.1567446875917449,1.0,-0.4058305084883916,0.0001825699506584,1.0,0.0,1.0815423899372174,-1.2991759961020009,-0.0319403543925654
0.5517888912840118,1.8122873000813804,0.5103237886991945,0.4383892279628915,0.4946284698972605,-0.4477024005333689,0.0,9.392862747136077e-06,-0.054759988766367035,-0.42195329185128244,0.23283029927756738,-1.9564265230400681,0.0,-0.4448774256468945,-0.23535877274303343,0.18359166062036275,0.2655520305089201,-4.285170413873016e-05,0.5132806022360936,1.9250166972031517,-0.5311040610178402,-4.331706194310944e-05,-0.0319403543925654,0.0,5.781822731178162e-06,-0.19748931168651646,0.1509217797811661,0.2655520305089201,5.7197082614797085e-06,-0.0685110505413764,0.07089006952149611,1.7537025062321172,-0.0713134535182129,0.0,-0.23407199276628,1.7443503484901846,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0737434121577272,-0.23283029927756735,0.0,0.0,0.0,3.6245565389086507,0.5818424240177116,-0.17026201306291366,1.0,-0.4057619385953437,0.0001238929031444,1.0,0.0,0.6725505943202932,-1.7019006089013131,-0.0319403543925654
0.5518154716989506,1.8122000039635744,0.5103628748087645,0.4383665384524746,0.4946080211800575,-0.4477802786632004,0.0,3.7578779212213288e-06,-0.04098288586044152,-0.42191458723711395,0.23281946124386274,-1.9042095936781047,0.0,-0.44186377526491655,-0.2353575470616023,0.18361782260088275,0.265553413435437,-1.7144912266741082e-05,0.512539752704926,1.9249397489441622,-0.531106826870874,-1.7331817856325904e-05,-0.0319403543925654,0.0,2.313498691924992e-06,-0.19749729895425575,0.15092232511598164,0.265553413435437,2.2885500200313436e-06,-0.0684152151942019,0.0708935992417976,1.892047796804456,-0.07131866787948213,0.0,-0.25255310304592626,1.744191388467569,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.073793396240797,-0.23281946124386274,0.0,0.0,0.0,3.624392780422997,0.5883248706847243,-0.1836995219488477,1.0,-0.40569385497402954,4.955871690738502e-05,1.0,0.0,0.2664241619040805,-2.1018077036735043,-0.0319403543925654
0.5518420521138894,1.812112716255302,0.5104019638800106,0.4383438489645294,0.494587564802207,-0.44785770847317724,0.0,-3.064386166885796e-06,-0.02721915228415693,-0.42187614950966446,0.23280862140682904,-1.8902110961487728,0.0,-0.4388505910758234,-0.235356323101181,0.18364382894521153,0.265554794434526,1.3981654694708696e-05,0.5118121413976219,1.9248640103253851,-0.531109588869052,1.4134660563393026e-05,-0.0319403543925654,0.0,-1.8868174510504833e-06,-0.19750540602061023,0.15092303745308594,0.265554794434526,-1.866392896682732e-06,-0.06832113688767016,0.07089712810604765,2.0303054367557705,-0.0713276662229191,0.0,-0.27102498239473327,1.7440324383182522,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0738433932956861,-0.23280862140682904,0.0,0.0,0.0,3.6242313275198104,0.5948067375048715,-0.19712883650887467,1.0,-0.40562605023530174,-4.0406452022637066e-05,1.0,0.0,-0.1390840081344347,-2.5010943032499746,-0.0319403543925654
0.5518686325288282,1.8120254369553477,0.5104410560138318,0.4383211594664432,0.4945671006190058,-0.44793600536572287,0.0,-1.1072357948354214e-05,-0.013461353618154773,-0.42183797838010534,0.23279777972377638,-1.8851604190737064,0.0,-0.4358376673491256,-0.23535510088762884,0.18367013538459437,0.26555617347694893,5.0521667545469646e-05,0.5110860619450277,1.9247894803600065,-0.5311123469538979,5.1076656213318835e-05,-0.0319403543925654,0.0,-6.818460270677743e-06,-0.19751374941964445,0.1509239705249597,0.26555617347694893,-6.744372253509945e-06,-0.06822725428891463,0.07090065610103999,2.168493217301459,-0.07134023297821425,0.0,-0.28949001314947687,1.7438734978495893,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0738934035222962,-0.23279777972377644,0.0,0.0,0.0,3.624072178700609,0.6012893492970574,-0.21055218876046425,1.0,-0.4055577283246117,-0.000145974008796,1.0,0.0,-0.5441637102581413,-2.899856790869798,-0.0319403543925654
0.551895212943767,1.811938166062496,0.5104801511937794,0.4382984699633985,0.4945466286529849,-0.4480142370999307,0.0,-2.026574853629646e-05,0.000286516287043459,-0.4218000739360278,0.23278693620141158,-1.8445127501025833,0.0,-0.43282505863199205,-0.23535388041716315,0.18369642082889787,0.265557550566913,9.247464878437206e-05,0.5103679772698717,1.9247161596126565,-0.531115101133826,9.3494367797278e-05,-0.0319403543925654,0.0,-1.2481553943748274e-05,-0.19752224614271247,0.15092508601150034,0.265557550566913,-1.2345420846462154e-05,-0.06813442977034878,0.0709041832286091,2.306603219286404,-0.07135651455255101,0.0,-0.30794713188685563,1.7437145670886187,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.073943426892716,-0.23278693620141158,0.0,0.0,0.0,3.6239153349316693,0.6077719180525414,-0.22396838189995852,1.0,-0.40548945637957945,-0.0002671323120083,1.0,0.0,-0.9487444577115078,-3.2980793386697522,-0.0319403543925654
0.5519217933587058,1.8118509035755332,0.5105192494275016,0.4382757804528984,0.494526148891263,-0.44809161293482547,0.0,-3.0642600834215804e-05,0.014006616921872633,-0.4217624358583254,0.23277609083606748,-1.80677219874828,0.0,-0.42981538235282024,-0.2353526616923654,0.18372241950693402,0.26555892570144424,0.0001398325082100172,0.5096696673984874,1.924644046825911,-0.5311178514028885,0.00014138029760764353,-0.0319403543925654,0.0,-1.8875195106941675e-05,-0.1975308299923338,0.15092635358796547,0.26555892570144424,-1.8668555091614155e-05,-0.06804423652961855,0.07090770948742997,2.444509301960861,-0.07137662959817068,0.0,-0.32637949790543885,1.7435556460152237,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.073993463426888,-0.23277609083606746,0.0,0.0,0.0,3.6237607938467487,0.6142482829421272,-0.2373650941990761,1.0,-0.40542168503849196,-0.0004038494061827,1.0,0.0,-1.3522431583794063,-3.695267611668176,-0.0319403543925654
0.5519483737736447,1.8117636494932448,0.510558350633126,0.4382530909610672,0.4945056614513747,-0.4481699781669231,0.0,-4.2200855033804436e-05,0.027705376740081847,-0.42172506391106146,0.23276524366237114,-1.8160869819113228,0.0,-0.4268091278395093,-0.2353514446924681,0.1837487552141493,0.2655602989039148,0.00019258668520174069,0.5089761566556468,1.9245731409959457,-0.5311205978078296,0.00019472647151955603,-0.0319403543925654,0.0,-2.5998416588995326e-05,-0.1975396589861409,0.15092784564430392,0.2655602989039148,-2.5712728384059052e-05,-0.06795467538791122,0.07091123488784343,2.5822002790258645,-0.07140027663278674,0.0,-0.34478561092538484,1.743396734782254,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0740435129680619,-0.23276524366237114,0.0,0.0,0.0,3.6236085531977347,0.6207185988122088,-0.25074175495357853,1.0,-0.4053533354590788,-0.0005560876429033,1.0,0.0,-1.7548041234985325,-4.091441540144105,-0.0319403543925654
0.5519749541885834,1.811676403814416,0.5105974549890175,0.438230401430501,0.4944851660759979,-0.448248612699558,0.0,-5.493835195911393e-05,0.04137916181378189,-0.421687957609188,0.23275439460454475,-1.7931474821342077,0.0,-0.42380773697655993,-0.2353502294634785,0.1837751849464796,0.2655616701223515,0.00025072816390547294,0.5082795429683635,1.9245034403486656,-0.531123340244703,0.0002535244544291732,-0.0319403543925654,0.0,-3.385018945173848e-05,-0.1975486698699085,0.15092953289397787,0.2655616701223515,-3.347683310549379e-05,-0.0678646912024572,0.07091475940655664,2.7196066053006787,-0.07142756241078879,0.0,-0.36315617831143854,1.7432378330479068,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0740935758689152,-0.23275439460454478,0.0,0.0,0.0,3.623458610314498,0.6271792524709505,-0.26409125838250386,1.0,-0.405284837637124,-0.0007238112114956,1.0,0.0,-2.1565235307119477,-4.4866565637815095,-0.0319403543925654
0.5520015346035223,1.8115891665378332,0.5106365623407305,0.4382077119107761,0.4944646629851438,-0.4483260551723827,0.0,-6.885264364023841e-05,0.05502803522810759,-0.4216511166155301,0.23274354372756126,-1.7299857358809714,0.0,-0.4208081696566957,-0.2353490159665404,0.18380121573992378,0.26556303940053705,0.00031424660848624025,0.5076066055829711,1.9244349433146575,-0.5311260788010741,0.00031776447541174627,-0.0319403543925654,0.0,-4.242930617441135e-05,-0.19755773945582358,0.15093135886445497,0.26556303940053705,-4.195958515644758e-05,-0.06777785989171647,0.0709182830631554,2.856858869559947,-0.07145871094093327,0.0,-0.38150863209622976,1.7430789410990264,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0741436518326728,-0.2327435437275613,0.0,0.0,0.0,3.623310961605837,0.6336357917085531,-0.2774260744471275,1.0,-0.40521703079299576,-0.0009069854682943,1.0,0.0,-2.5572376569023794,-4.880946405509506,-0.0319403543925654
0.552028115018461,1.8115019376622836,0.510675672733149,0.4381850223872736,0.4944441521145409,-0.44840428251540554,0.0,-8.39422408937111e-05,0.06865883586097529,-0.42161454075654214,0.23273269101243954,-1.7285677354992124,0.0,-0.4178104640254691,-0.23534780421321036,0.18382750877507642,0.2655644067253711,0.0003831360571677498,0.5069468866901562,1.9243676493529884,-0.5311288134507423,0.0003874411857529605,-0.0319403543925654,0.0,-5.1735149476036846e-05,-0.1975670340546679,0.15093339953313262,0.2655644067253711,-5.116028423439615e-05,-0.06769278519201194,0.07092180585164926,2.9939682267562477,-0.07149340147258429,0.0,-0.39984445505941224,1.742920058849019,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0741937409499447,-0.2327326910124395,0.0,0.0,0.0,3.6231656061933033,0.6400894050478185,-0.2907475542754942,1.0,-0.4051487799698258,-0.0011055765377899,1.0,0.0,-2.9570461481294954,-5.274309089474169,-0.0319403543925654
