u,x,T_H,S_SVT,metric_residual_14,metric_residual_15,E00_H,E11_H,E00_SVTg,E11_SVTg,E00_total_standard_assembled,E11_total_standard_assembled
0.5515230871346237,1.813160724051259,1.0,0.0,-0.0,0.0,2.048416991584645e-12,-3.203326492950964e-12,-1.734723475976807e-17,1.3877787807814457e-17,2.0483996443498853e-12,-3.2033126151631564e-12
0.5515496675495626,1.8130733437712376,1.0,0.0,-0.0,0.0,-7.79293296560013e-13,1.3925804953629495e-12,1.0408340855860843e-17,1.5612511283791264e-17,-7.792828882191571e-13,1.3925961078742333e-12
0.5515762479645013,1.8129859719129144,1.0,0.0,-0.0,0.0,8.737455203799982e-14,5.129230373768223e-14,-1.3877787807814457e-17,1.0408340855860843e-17,8.7360674250192e-14,5.130271207853809e-14
0.5516028283794402,1.81289860847507,1.0,0.0,-0.0,0.0,5.015432513744145e-13,-3.667066650336892e-13,1.3877787807814457e-17,-1.0408340855860843e-17,5.015571291622223e-13,-3.6671707337454507e-13
0.5516294087943789,1.8128112534564889,1.0,0.0,-0.0,0.0,-6.056266599330229e-14,1.8357537712176963e-13,-3.469446951953614e-18,1.734723475976807e-18,-6.056613544025424e-14,1.835771118452456e-13
0.5516559892093178,1.812723906855953,1.0,0.0,-0.0,0.0,-2.589872760694334e-13,-3.6759484345338933e-13,-2.42861286636753e-17,1.734723475976807e-17,-2.5901156219809707e-13,-3.6757749621862956e-13
0.5516825696242565,1.8126365686722463,1.0,0.0,-0.0,0.0,4.499178807293447e-14,1.0008660566995786e-13,-1.0408340855860843e-17,1.0408340855860843e-17,4.498137973207861e-14,1.0009701401081372e-13
0.5517091500391954,1.8125492389041515,1.0,0.0,-0.0,0.0,7.99638133486269e-14,-3.300137940698278e-14,0.0,1.734723475976807e-17,7.99638133486269e-14,-3.298403217222301e-14
0.5517357304541342,1.8124619175504533,1.0,0.0,-0.0,0.0,-3.6490255261867333e-13,3.1835645231126364e-14,6.938893903907228e-18,1.3877787807814457e-17,-3.648956137247694e-13,3.184952301893418e-14
0.551762310869073,1.8123746046099345,1.0,0.0,-0.0,0.0,3.2779334802057747e-13,-9.456324612244771e-14,-6.938893903907228e-18,1.734723475976807e-18,3.2778640912667356e-13,-9.456151139897173e-14
0.5517888912840118,1.8122873000813804,1.0,0.0,-0.0,0.0,1.0647038806155251e-13,3.4600100562443004e-13,-3.469446951953614e-18,-5.204170427930421e-18,1.0646691861460056e-13,3.459958014540021e-13
0.5518154716989506,1.8122000039635744,1.0,0.0,-0.0,0.0,2.9928837186332657e-13,-1.01946229236205e-13,-3.469446951953614e-18,-3.9898639947466563e-17,2.992849024163746e-13,-1.0198612787615247e-13
0.5518420521138894,1.812112716255302,1.0,0.0,-0.0,0.0,-3.1616376183762895e-13,1.4210854715202004e-14,-3.469446951953614e-18,4.163336342344337e-17,-3.161672312845809e-13,1.4252488078625447e-14
0.5518686325288282,1.8120254369553477,1.0,0.0,-0.0,0.0,-2.2565282975506307e-14,9.248157795127554e-14,1.3877787807814457e-17,0.0,-2.2551405187698492e-14,9.248157795127554e-14
0.551895212943767,1.811938166062496,1.0,0.0,-0.0,0.0,4.0858982863767324e-13,-3.851086116668512e-13,1.3877787807814457e-17,-3.469446951953614e-18,4.0860370642548105e-13,-3.8511208111380313e-13
0.5519217933587058,1.8118509035755332,1.0,0.0,-0.0,0.0,-6.885880754481377e-13,1.6411871861521377e-13,3.469446951953614e-18,1.3877787807814457e-17,-6.885846060011858e-13,1.6413259640302158e-13
0.5519483737736447,1.8117636494932448,1.0,0.0,-0.0,0.0,3.034517082056709e-13,-2.2418178424743473e-13,1.0408340855860843e-17,-3.2959746043559335e-17,3.0346211654652677e-13,-2.242147439934783e-13
0.5519749541885834,1.811676403814416,1.0,0.0,-0.0,0.0,5.294098492925059e-13,-4.565792188770956e-13,0.0,8.673617379884035e-18,5.294098492925059e-13,-4.565705452597157e-13
0.5520015346035223,1.8115891665378332,1.0,0.0,-0.0,0.0,-3.772815393432438e-13,8.137657214746241e-13,6.938893903907228e-18,-8.673617379884035e-18,-3.772746004493399e-13,8.137570478572442e-13
0.552028115018461,1.8115019376622836,1.0,0.0,-0.0,0.0,-1.0017819906948944e-12,8.65529869997772e-13,1.0408340855860843e-17,-1.3877787807814457e-17,-1.0017715823540385e-12,8.655159922099642e-13
0.5520546954333999,1.811414717186552,1.0,0.0,-0.0,0.0,3.576861029586098e-13,-5.636324740265763e-13,-3.469446951953614e-18,5.204170427930421e-18,3.5768263351165785e-13,-5.636272698561484e-13
0.5520812758483387,1.811327505109426,1.0,0.0,-0.0,0.0,5.641320743876577e-13,1.5074053116848063e-13,6.938893903907228e-18,-1.214306433183765e-17,5.641390132815616e-13,1.507283881041488e-13
0.5521078562632775,1.8112403014296925,1.0,0.0,-0.0,0.0,-5.691280779984709e-13,-8.718026300869042e-14,1.3877787807814457e-17,-1.734723475976807e-17,-5.691142002106631e-13,-8.719761024345019e-14
0.5521344366782163,1.8111531061461388,1.0,0.0,-0.0,0.0,6.58501031480796e-13,-9.927059174685837e-13,1.734723475976807e-17,1.214306433183765e-17,6.585183787155557e-13,-9.926937744042519e-13
0.5521610170931551,1.811065919257552,1.0,0.0,-0.0,0.0,-7.67996777284452e-14,3.9007685970204875e-13,-3.469446951953614e-18,2.949029909160572e-17,-7.680314717539716e-14,3.9010635000114036e-13
0.5521875975080939,1.810978740762721,1.0,0.0,-0.0,0.0,-3.515243651719402e-13,6.22668583361019e-13,-6.938893903907228e-18,8.673617379884035e-18,-3.515313040658441e-13,6.226772569783989e-13
0.5522141779230327,1.810891570660432,1.0,0.0,-0.0,0.0,4.887479310156095e-13,-4.5113912605643236e-13,-3.469446951953614e-18,8.673617379884035e-18,4.887444615686576e-13,-4.511304524390525e-13
0.5522407583379715,1.8108044089494744,1.0,0.0,-0.0,0.0,-5.469513730815834e-13,-8.854028621385623e-15,3.469446951953614e-18,3.469446951953614e-18,-5.469479036346314e-13,-8.85055917443367e-15
