q,A,e6,e42,e1000,score
0.2,600,-276.6190410666443,-11.547121449978404,-5.091066045400199e-05,-276.6190410666443
0.2,500,-292.85165630843954,-12.099839472581117,-5.446589877637063e-05,-292.85165630843954
0.3,1500,-300.9612861966743,-14.533330198205299,-1.8247511641358383e-05,-300.9612861966743
0.2,400,-310.2240287623818,-12.679427420686311,-5.815175380178971e-05,-310.2240287623818
0.2,300,-328.8109334895971,-13.287747567041148,-6.196893749803856e-05,-328.8109334895971
0.75,1500,-328.8781279327469,-0.09584718409769406,-0.0005192124932802899,-328.8781279327469
0.2,200,-348.686750204101,-13.926823046854107,-6.591816698606185e-05,-348.686750204101
1.0,300,-352.55073439750174,-0.04434979564543523,5.295706539769114e-05,-352.55073439750174
0.5,2000,-368.0698506330583,-15.518375082982441,-6.505361966468383e-06,-368.0698506330583
0.2,100,-369.9239742061631,-14.59885353050029,-7.00001645860593e-05,-369.9239742061631
0.3,1000,-385.7443637636701,-18.98882812420446,-3.2180915410364136e-05,-385.7443637636701
0.2,0,-392.59152199018683,-15.306232417507294,-7.421565786476152e-05,-392.59152199018683
0.3,800,-426.30395016029047,-21.049356668656408,-3.9031933182654664e-05,-426.30395016029047
0.3,600,-471.25638531200207,-23.29828460070475,-4.662781072099538e-05,-471.25638531200207
0.3,500,-495.5026952771325,-24.500593042171552,-5.070821823186931e-05,-495.5026952771325
0.5,1500,-496.15028327943276,-25.231590559394878,-4.294912625077364e-06,-496.15028327943276
0.3,400,-520.9916223091486,-25.759031160663838,-5.497863895356746e-05,-520.9916223091486
0.3,300,-547.7670374435916,-27.077042937695953,-5.944036281825179e-05,-547.7670374435916
0.3,200,-575.8694881812362,-28.45830230105601,-6.409469142921059e-05,-575.8694881812362
0.3,100,-605.3354547653718,-29.906725237688132,-6.894293819372263e-05,-605.3354547653718
0.3,0,-636.1966336191094,-31.426481422212856,-7.398642845602975e-05,-636.1966336191094
0.75,1000,-639.6534426506065,-27.478051560766936,-0.00017618424151488523,-639.6534426506065
0.5,1000,-655.4774367496207,-37.16580085090251,-1.3771173685729525e-05,-655.4774367496207
0.5,800,-729.3461640655435,-42.7008477152761,-2.099204384951656e-05,-729.3461640655435
0.75,800,-791.9634020239939,-41.87155721469432,-7.907283402458041e-05,-791.9634020239939
1.0,200,-802.8569233685175,-0.03840330428748798,5.1709774020582175e-05,-802.8569233685175
0.5,600,-809.5446394566746,-48.741355807880836,-3.0244720914454042e-05,-809.5446394566746
0.5,500,-852.1111039837272,-51.967397189550724,-3.5648510576804145e-05,-852.1111039837272
0.5,400,-896.3641274940292,-55.33975790489219,-4.157908328588085e-05,-896.3641274940292
0.5,300,-942.3290717077878,-58.86554580825536,-4.804293132546947e-05,-942.3290717077878
0.75,600,-962.4306516672871,-58.1947539122661,-9.141238589668177e-06,-962.4306516672871
0.5,200,-990.0260497353604,-62.55204934910545,-5.5046654010498435e-05,-990.0260497353604
0.5,100,-1039.46959820813,-66.40670625506064,-6.259695990020188e-05,-1039.46959820813
