u,x,T_H,S_SVT,metric_residual_14,metric_residual_15,E00_H,E11_H,E00_SVTg,E11_SVTg,E00_total_standard_assembled,E11_total_standard_assembled
0.71,1.4084507042253522,0.0,1.0,0.0,-2.0816681711721685e-17,1.785303259041763,0.07395940106746068,-1.7853032590403781,-0.0739594010721347,1.3848922009174203e-12,-4.6740111780962934e-12
0.7100035714285714,1.4084436194988958,0.0,1.0,0.0,-6.938893903907228e-18,1.7854842041667045,0.0739713879370486,-1.7854842041673962,-0.07397138793469549,-6.916689443414725e-13,2.3531177006930193e-12
0.7100071428571428,1.4084365348437138,2.6839749522833237e-304,1.0,0.0,6.938893903907228e-18,1.785665343374953,0.07398304630245472,-1.78566534337357,-0.07398304630714132,1.382893799473095e-12,-4.686598331637981e-12
0.7100107142857143,1.408429450259805,5.81391784185982e-203,1.0,0.0,-1.3877787807814457e-17,1.785846478290771,0.07399469708132633,-1.7858464782956054,-0.07399469708710117,-4.834355138427782e-12,-5.7748389403755596e-12
0.7100142857142857,1.4084223657471682,2.7068875392477417e-152,1.0,0.0,0.0,1.7860271146246613,0.07400714031507222,-1.7860271146233921,-0.07400714030946397,1.269206961751479e-12,5.608249975530555e-12
0.7100178571428571,1.4084152813058022,6.813906349139147e-122,1.0,0.0,0.0,1.786207531267875,0.07401992430719867,-1.7862075312681056,-0.07401992430166394,-2.3070434451710753e-13,5.534725455724754e-12
0.7100214285714286,1.408408196935706,1.261201982049982e-101,1.0,0.0,-2.0816681711721685e-17,1.7863881588863642,0.07403235190438695,-1.7863881588867088,-0.07403235190992562,-3.446132268436486e-13,-5.538666747462173e-12
0.710025,1.408401112636879,3.780771980903847e-87,1.0,0.0,0.0,1.7865688921004188,0.07404459473459796,-1.7865688920988103,-0.07404459474014899,1.6084911180769268e-12,-5.551031856398936e-12
0.7100285714285713,1.4083940284093197,2.7243072992043798e-76,1.0,0.0,-2.0816681711721685e-17,1.7867497624772035,0.07405660121373897,-1.7867497624832769,-0.07405660120819496,-6.073364033909456e-12,5.544009695768182e-12
0.7100321428571428,1.408386944253027,7.589008368830579e-68,1.0,0.0,6.938893903907228e-18,1.7869307484635901,0.07406840672118886,-1.7869307484575607,-0.07406840671562866,6.0293992021343e-12,5.560205074139901e-12
0.7100357142857142,1.4083798601679998,4.3270452427365604e-61,1.0,0.0,0.0,1.7871119070627024,0.07407991882242648,-1.7871119070640193,-0.0740799188279784,-1.3169465518103607e-12,-5.551920034818636e-12
0.7100392857142857,1.408372776154237,1.4584470544636752e-55,1.0,0.0,-2.0816681711721685e-17,1.7872926542926655,0.07409208014797802,-1.787292654293422,-0.07409208015351183,-7.565059689795817e-13,-5.533809521729438e-12
0.7100428571428571,1.4083656922117378,5.893314713808991e-51,1.0,0.0,1.3877787807814457e-17,1.787472989896417,0.07410489219265282,-1.787472989892072,-0.07410489218721758,4.344968829173013e-12,5.435235594930532e-12
0.7100464285714285,1.4083586083405009,4.657898707562051e-47,1.0,0.0,6.938893903907228e-18,1.7876534955073842,0.07411741449197806,-1.7876534955073093,-0.07411741448602883,7.482903185973555e-14,5.949227221968556e-12
0.71005,1.4083515245405254,1.021487612915032e-43,1.0,0.0,-6.938893903907228e-18,1.7878341175067303,0.07412973477169532,-1.7878341175113728,-0.07412973477874951,-4.6425085997725546e-12,-7.054190565014551e-12
0.7100535714285714,1.40834444081181,8.032419613776531e-41,1.0,0.0,-1.3877787807814457e-17,1.7880148776565956,0.07414181780804463,-1.7880148776547957,-0.07414181780796315,1.7998935675223038e-12,8.147649221967868e-14
0.7100571428571428,1.4083373571543538,2.745036103763497e-38,1.0,0.0,6.938893903907228e-18,1.788195742351207,0.07415371706387147,-1.7881957423537553,-0.07415371705712072,-2.5484059307245843e-12,6.750752734596688e-12
