u,x,T_H,S_SVT,K11,K12,K13,K21,K22,K23,K31,K32,K33,R11,R12,R13,R21,R22,R23,R31,R32,R33,G11,G12,G13,G21,G22,G23,G31,G32,G33,S11,S12,S13,S21,S22,S23,S31,S32,S33,M11,M12,M13,M21,M22,M23,M31,M32,M33
0.5515230871346237,1.813160724051259,1.0,0.0,0.0009662014189474252,-0.0034866741604138163,-0.0,-0.0029961642940259867,0.32745593086716,-0.0,-0.0,-0.0,0.31157898573522214,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0003759346906721942,-0.00058808835749507,0.0,-0.00058808835749507,0.07112130429923377,0.0,0.0,0.0,0.06762557839663086,-3.149390470635893e-14,0.0012986407636494226,0.0,-0.001298640763421028,1.7235657345793243e-12,0.0,0.0,0.0,-7.247535904753022e-13,-0.08082665692867319,-9.734700632462726,-0.0,-9.734700632462719,32.6780739235999,-0.0,-0.0,-0.0,1.7622573031895994
0.5515496675495626,1.8130733437712376,1.0,0.0,0.0010017350256909356,-0.004530987417716764,-0.0,-0.004566787511273128,0.5006758470706607,-0.0,-0.0,-0.0,0.3115366882555384,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0003758554402917302,-0.0005879537452832767,0.0,-0.0005879537452832767,0.07108952275540081,0.0,0.0,0.0,0.0676101168439811,5.534201569235009e-15,0.0020805754001618337,0.0,-0.00208057540018649,1.3037348978173213e-12,0.0,0.0,0.0,2.247091401841317e-12,-0.019641536703146268,-0.853046635921141,-0.0,-0.8530466359212009,5.60948201758441,-0.0,-0.0,-0.0,1.7345525592997961
0.5515762479645013,1.8129859719129144,1.0,0.0,0.0010128691989846512,-0.005894648221433305,-0.0,-0.005888453730207235,0.6343467621730302,-0.0,-0.0,-0.0,0.31149439795564915,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00037577516141371504,-0.0005878479217582138,0.0,-0.0005878479217582138,0.07106176556006197,0.0,0.0,0.0,0.06759465778028603,-8.070800971982095e-16,0.0020471045804037334,0.0,-0.002047104580388079,-3.589351038613131e-13,0.0,0.0,0.0,-5.32018873400375e-13,-0.027310832058539986,0.5104765028552327,-0.0,0.5104765028552589,2.0920301651964825,-0.0,-0.0,-0.0,1.7354792098096063
0.5516028283794402,1.81289860847507,1.0,0.0,0.0010254625861131211,-0.0072450092513608455,-0.0,-0.00724667424870956,0.7756634575351391,-0.0,-0.0,-0.0,0.3114521148444036,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00037569657338487085,-0.0005877971091791399,0.0,-0.0005877971091791399,0.07103763076268746,0.0,0.0,0.0,0.06757920123157188,-6.372940369869795e-16,0.0020209812530647734,0.0,-0.002020981253064714,-2.7677860003905153e-13,0.0,0.0,0.0,3.352873534367973e-13,-0.02437323928068673,-0.20410994359502127,-0.0,-0.20410994359502127,5.091245990739559,-0.0,-0.0,-0.0,1.7372258676928605
0.5516294087943789,1.8128112534564889,1.0,0.0,0.0010385431508872535,-0.008579065117232741,-0.0,-0.00857837354421827,0.9124616727226854,-0.0,-0.0,-0.0,0.31140983890216367,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0003756190961426823,-0.0005877940877037142,0.0,-0.0005877940877037142,0.07101709866969211,0.0,0.0,0.0,0.06756374715415939,1.8238448945551156e-15,0.0020782042309684724,0.0,-0.0020782042309709222,3.413380689210044e-13,0.0,0.0,0.0,2.1582735598713043e-13,-0.026389644527905737,-0.3047778404956909,-0.0,-0.3047778404956969,6.150623514654342,-0.0,-0.0,-0.0,1.7357219070552927
0.5516559892093178,1.812723906855953,1.0,0.0,0.0010524244674038619,-0.010001304976288972,-0.0,-0.010003951643657983,1.0598027094775826,-0.0,-0.0,-0.0,0.3113675701361982,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0003755424878647611,-0.0005878374540207658,0.0,-0.0005878374540207658,0.07100052050187128,0.0,0.0,0.0,0.06754829557023054,-6.674348573820765e-16,0.0021009781172197867,0.0,-0.002100978117219505,-3.36952687973735e-14,0.0,0.0,0.0,-1.0746958878371515e-13,-0.025498334091967167,0.005273232296080094,-0.0,0.005273232296078005,5.977652662947821,-0.0,-0.0,-0.0,1.7354193182359043
0.5516825696242565,1.8126365686722463,1.0,0.0,0.0010641285340650015,-0.011257968112549147,-0.0,-0.011257273780430843,1.1893107322119434,-0.0,-0.0,-0.0,0.31132530854794327,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0003754671092649424,-0.0005879331554528061,0.0,-0.0005879331554528061,0.07098778941880526,0.0,0.0,0.0,0.06753284648781643,-1.184382453223165e-15,0.0020945617712961623,0.0,-0.0020945617712984526,-2.1202484212778927e-13,0.0,0.0,0.0,-3.9479530755670567e-13,-0.022524144011783404,-0.049550862213889796,-0.0,-0.04955086221388867,6.847117165424906,-0.0,-0.0,-0.0,1.735933608687701
0.5517091500391954,1.8125492389041515,1.0,0.0,0.001076593786793506,-0.012563415253244226,-0.0,-0.012561272509766819,1.3237091079631766,-0.0,-0.0,-0.0,0.31128305412903745,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00037539279060740246,-0.0005880715991545452,0.0,-0.0005880715991545452,0.07097822637018822,0.0,0.0,0.0,0.06751739989137637,-5.581472783955377e-16,0.0021205260077090827,0.0,-0.0021205260077092024,2.0308754677955676e-13,0.0,0.0,0.0,1.6298074001497298e-13,-0.026420273256317028,-0.26578349671020457,-0.0,-0.2657834967102065,8.263552109237137,-0.0,-0.0,-0.0,1.735818228383387
0.5517357304541342,1.8124619175504533,1.0,0.0,0.0010907592443875798,-0.013996401384480984,-0.0,-0.013999697613005945,1.4721051146570645,-0.0,-0.0,-0.0,0.311240806877781,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00037531955882085693,-0.0005882612983414802,0.0,-0.0005882612983414802,0.07097278007257521,0.0,0.0,0.0,0.06750195578018545,-3.699297812520541e-16,0.002155933854428084,0.0,-0.002155933854428343,-1.5296097721773094e-13,0.0,0.0,0.0,1.1013412404281553e-13,-0.025859473303456722,-0.10670517788662282,-0.0,-0.10670517788663665,8.568552233525164,-0.0,-0.0,-0.0,1.7350177355622602
0.551762310869073,1.8123746046099345,1.0,0.0,0.0011028726673839827,-0.015301179049152477,-0.0,-0.015298706682251115,1.6062815977054221,-0.0,-0.0,-0.0,0.3111985667977154,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00037524733776867706,-0.0005884985537550891,0.0,-0.0005884985537550891,0.07097104315532414,0.0,0.0,0.0,0.06748651416832349,1.5586490431651612e-15,0.002149189032269151,0.0,-0.00214918903227186,-1.2901138490839514e-14,0.0,0.0,0.0,-2.3669954885008337e-13,-0.02392824777849464,-0.006068045884048065,-0.0,-0.006068045884043832,8.979322829007286,-0.0,-0.0,-0.0,1.7344848961290011
