r_over_rs,u,phi,A_f,B_h,X,F_tensor,H_tensor,XiH_target,G4_background,G4X,G4XX,G4phi,G4phiX,G4phiphi,G3,G3X,G3phi,G2,G2X,XiH_reconstructed,XiH_residual,background_rank,background_scaled_condition,background_residual_abs,background_residual_rel
0.01,100.0,0.9999999220943218,0.2500000194765925,0.99999945828554,-9.291049415149148e-11,1.0000002494827192,0.9999997505172807,0.0013256174322877371,0.5000001247413596,-1342.5970956460446,10938161873983.592,-0.00604657497157679,-14813703771.322498,17872705.401619736,-48.01434755127166,-57262383842.08614,0.0,-0.016210912245243948,73613924.29457876,0.0013256174322877374,2.168404344971009e-19,3,2.5003056887158435,3.2420998809809184e-05,3.2420998809809184e-05
0.010023157378578755,99.76896123941697,0.9999999217782849,0.2500000195556025,0.9999994560880062,-9.333988343698175e-11,1.0000002506395302,0.9999997493604698,0.0013317642065740275,0.5000001253197651,-1342.6175446787072,10864652476756.543,-0.005327674328732712,-14709936187.582548,17367332.79013265,-47.98983839157847,-56808812778.894104,0.0,-0.016321761346011904,73676033.814406,0.0013317642065740275,0.0,3,2.4984244961238837,9.161316033377571e-05,9.161316033377571e-05
0.010046368383575767,99.53845626792292,0.9999999214607848,0.2500000196349784,0.9999994538802958,-9.377158728201107e-11,1.0000002518017053,0.9999997481982946,0.0013379417126895975,0.5000001259008526,-1342.6332678076283,10818673963307.586,-0.004382258213251777,-14665342383.10686,19014837.590618454,-47.96535642513713,-56625402876.05533,0.0,-0.015705850080967497,69759038.13864623,0.0013379417126895973,-2.168404344971009e-19,3,2.496047919199504,4.726005490702113e-05,4.726005490702113e-05
0.010069633139175777,99.30848385225804,0.9999999211418141,0.2500000197147219,0.9999994516623619,-9.420540688829676e-11,1.000000252969269,0.9999997470307309,0.0013441460545413658,0.5000001264846345,-1342.647292993254,10773833880264.438,-0.0047398994879621625,-14597885413.16643,21132034.83376364,-47.940848509975176,-56388023587.17232,0.0,-0.01488952823590324,65418965.96274906,0.0013441460545413658,0.0,3,2.4997876854060923,2.4056359748560532e-05,2.4056359748560532e-05
0.010092951769851083,99.07904276201198,0.9999999208213664,0.2500000197948347,0.9999994494341574,-9.464094383468042e-11,1.0000002541422468,0.9999997458577532,0.0013503773811762096,0.5000001270711234,-1342.6654284360025,10727996468831.27,-0.005203940880875724,-14527043865.785639,19863745.142762754,-47.91633925158561,-56136642910.569466,0.0,-0.015273419725873148,66654634.45481429,0.0013503773811762093,-2.168404344971009e-19,3,2.492728421580188,8.324320720488367e-05,8.324320720488367e-05
0.010116324400362238,98.85013176961711,0.999999920499435,0.25000001987531845,0.9999994471956348,-9.507856137140813e-11,1.0000002553206635,0.9999997446793368,0.0013566350152648587,0.5000001276603318,-1342.682617674523,10701816329185.809,-0.004813615266527238,-14498833344.736155,19256507.614357177,-47.89178315765632,-56086229750.440605,0.0,-0.01554267044242451,68273203.2400631,0.0013566350152648592,4.336808689942018e-19,3,2.4997610212649946,3.865728284964398e-05,3.865728284964398e-05
0.0101397511557587,98.62174965034195,0.9999999201760127,0.2500000199561748,0.9999994449467468,-9.551832359969008e-11,1.000000256504544,0.999999743495456,0.0013629350785334218,0.500000128252272,-1342.6981043158464,10635986348874.96,-0.00491135481136129,-14407710707.365227,20170930.71638024,-47.86721038657136,-55687357071.84183,0.0,-0.015134534304021775,65688374.94719196,0.0013629350785334213,-4.336808689942018e-19,3,2.497978747294778,3.1745553060125165e-05,3.1745553060125165e-05
0.010163232161379527,98.39389518228451,0.9999999198510928,0.2500000200374057,0.9999994426874452,-9.595995120521686e-11,1.000000257693914,0.9999997423060859,0.0013692537886278683,0.500000128846957,-1342.715949749445,10593547283526.559,-0.0051928922761868,-14344984910.937809,19826707.761484604,-47.84266243103818,-55470716415.39889,0.0,-0.015245372453649935,66085021.307652764,0.001369253788627868,-2.168404344971009e-19,3,2.4996585201076575,2.5369881736556077e-05,2.5369881736556077e-05
0.010186767542854011,98.16656714636599,0.9999999195246685,0.2500000201190127,0.9999994404176823,-9.640365247984062e-11,1.000000258888799,0.9999997411112008,0.0013755999169908506,0.5000001294443995,-1342.7333532552257,10555779065499.629,-0.005124521997112108,-14295053251.509241,19306639.302593473,-47.81808650872274,-55308236167.74944,0.0,-0.015423287211806913,66872086.04346004,0.0013755999169908506,0.0,3,2.5015667090100084,4.4767212483711426e-05,4.4767212483711426e-05
0.010210357426102368,97.9397643263242,0.9999999191967327,0.2500000202009975,0.9999994381374098,-9.684940689555543e-11,1.0000002600892244,0.9999997399107754,0.0013819831325215795,0.5000001300446122,-1342.7507345053737,10467556152974.084,-0.0051117002714482496,-14175520230.906645,19520340.15372484,-47.79356163383843,-54729840694.92055,0.0,-0.015245284682188295,65620720.929736584,0.0013819831325215797,2.168404344971009e-19,3,2.500139664246566,6.994079375777663e-05,6.994079375777663e-05
0.010234001937336434,97.71348550870671,0.9999999188672785,0.2500000202833619,0.9999994358465791,-9.729722719210546e-11,1.0000002612952161,0.9999997387047838,0.001388392970471288,0.5000001306476081,-1342.7680506779714,10456706661751.34,-0.005290557594949119,-14157704141.80618,19843634.39543855,-47.76904387243714,-54774272822.39031,0.0,-0.015129225704135208,64617915.03156957,0.001388392970471288,0.0,3,2.4996744055661724,4.5713720563885646e-05,4.5713720563885646e-05
0.010257701203060294,97.48772948286492,0.9999999185362988,0.2500000203661077,0.9999994335451416,-9.774702530778586e-11,1.0000002625067999,0.9999997374931999,0.0013948265020915082,0.5000001312533999,-1342.7866430584365,10414387495132.662,-0.005508981876404251,-14096405135.016764,19377106.119871404,-47.744453837459226,-54559374812.95983,0.0,-0.015293085262534058,65631304.509519786,0.0013948265020915084,2.168404344971009e-19,3,2.5053176663294843,5.864169360408379e-05,5.864169360408379e-05
0.010281455350070995,97.26249504094719,0.9999999182037868,0.2500000204492366,0.9999994312330484,-9.819888752387567e-11,1.0000002637240013,0.9999997362759985,0.0014012924566912668,0.5000001318620007,-1342.8054434455871,10373981489198.674,-0.005436258798840354,-14042954117.004816,18863762.228019845,-47.719841811411484,-54372809102.72518,0.0,-0.01547828292382626,66206420.02685205,0.0014012924566912668,0.0,3,2.504980465030375,9.14107119277972e-05,9.14107119277972e-05
0.010305264505459204,97.03778097789251,0.9999999178697352,0.25000002053275033,0.9999994289102505,-9.86528901539352e-11,1.0000002649468471,0.9999997350531529,0.0014077920495180849,0.5000001324734236,-1342.8235438155154,10288483075962.373,-0.005361858294891109,-13928249093.09982,19254293.20254278,-47.695283596492814,-53817095296.225266,0.0,-0.015231629248173359,64261648.94323363,0.0014077920495180853,4.336808689942018e-19,3,2.4996247233896542,2.0477824109015093e-05,2.0477824109015093e-05
0.010329128796609917,96.8135860914239,0.999999917534137,0.2500000206166508,0.9999994265766983,-9.910897733324904e-11,1.0000002661753626,0.9999997338246372,0.0014143125285651134,0.5000001330876813,-1342.8418386376436,10268465556002.098,-0.005654787554355112,-13896013389.959614,19427481.642508958,-47.67074849705594,-53779414253.68226,0.0,-0.015184695961331653,64242936.04185854,0.0014143125285651138,4.336808689942018e-19,3,2.506594424152636,8.003060982285804e-05,8.003060982285804e-05
0.010353048351203098,96.5899091820423,0.999999917196985,0.2500000207009397,0.9999994242323422,-9.956704037426306e-11,1.000000267409575,0.9999997325904252,0.0014208704327140788,0.5000001337047875,-1342.8619243229984,10198313079121.732,-0.005728140943468407,-13799537121.065577,18670427.09272624,-47.64621158820509,-53341110313.51802,0.0,-0.015371139498750791,64830643.45498465,0.0014208704327140784,-4.336808689942018e-19,3,2.5038669695929068,7.777836718089216e-05,7.777836718089216e-05
0.010377023297214393,96.36674905301984,0.9999999168582723,0.25000002078561884,0.9999994218771326,-1.0002731635875745e-10,1.0000002686495097,0.9999997313504901,0.0014274724494533048,0.5000001343247549,-1342.880722907864,10175285867453.543,-0.005600350740927684,-13770672683.597784,18798225.90045893,-47.62167209239328,-53295747416.70677,0.0,-0.015352814508954678,64374888.675411955,0.0014274724494533048,0.0,3,2.504736165480736,7.520702128565107e-05,7.520702128565107e-05
0.010401053762915802,96.14410451039365,0.9999999165179912,0.25000002087068995,0.9999994195110194,-1.0048968896728447e-10,1.0000002698951942,0.9999997301048058,0.0014340844959381852,0.5000001349475971,-1342.8999381299907,10101000131786.148,-0.005787258400347772,-13666628750.572182,18819741.263840485,-47.59714066602258,-52817729580.77003,0.0,-0.015237513206174563,63220108.157881945,0.001434084495938185,-2.168404344971009e-19,3,2.499898548993907,3.530995511986934e-05,3.530995511986934e-05
0.010425139876876384,95.92197436295919,0.999999916176135,0.250000020956155,0.9999994171339522,-1.009541349369926e-10,1.0000002711466547,0.9999997288533455,0.0014407310804311207,0.5000001355733273,-1342.920003934134,10064196057188.14,-0.005771036531289964,-13617050033.42479,18726565.578132045,-47.572645921419664,-52654189537.52057,0.0,-0.015256746200093405,63150784.16983994,0.0014407310804311205,-2.168404344971009e-19,3,2.501526609373418,1.0930014358699267e-05,1.0930014358699267e-05
0.010449281767962913,95.70035742226425,0.9999999158326961,0.2500000210420156,0.9999994147458807,-1.0142079954493035e-10,1.0000002724039176,0.9999997275960822,0.0014474159738780137,0.5000001362019588,-1342.9391156582747,10043765834985.742,-0.005941939792515338,-13586514116.261362,18828243.290194392,-47.548086216321046,-52615219655.87388,0.0,-0.015240394839439316,63083051.71444461,0.001447415973878014,2.168404344971009e-19,3,2.5064403107612088,9.958554080819523e-05,9.958554080819523e-05
0.010473479565340588,95.47925250260236,0.9999999154876673,0.2500000211282737,0.999999412346754,-1.0188946150196294e-10,1.0000002736670108,0.9999997263329892,0.00145412301323725,0.5000001368335054,-1342.960335624425,9996429650813.611,-0.006025639297701391,-13520900434.252287,18410773.325166844,-47.52348372903916,-52359990826.41832,0.0,-0.015337463358379638,62929927.4404583,0.00145412301323725,0.0,3,2.501324818376793,6.263957878709786e-05,6.263957878709786e-05
0.01049773339847373,95.25865842100643,0.9999999151410414,0.25000002121493115,0.9999994099365213,-1.0236040581608444e-10,1.0000002749359602,0.9999997250640394,0.0014608660580868785,0.5000001374679801,-1342.980023355267,9955283147803.705,-0.0059711959753092625,-13466131610.844406,18619328.979961965,-47.49887472395965,-52160758823.63848,0.0,-0.015242271684340435,62578764.440030046,0.0014608660580868785,0.0,3,2.506547997144334,9.793051665153967e-05,9.793051665153967e-05
0.01052204339712646,95.03857399724251,0.9999999147928107,0.2500000213019897,0.9999994075151312,-1.0283343850573546e-10,1.0000002762107942,0.9999997237892059,0.001467637934959768,0.5000001381053971,-1343.000867202154,9875919852493.021,-0.006252463262375274,-13353676555.009695,18425552.627660252,-47.47432531283548,-51633991236.81757,0.0,-0.015228463383873994,61857988.00837158,0.001467637934959768,0.0,3,2.5013886043285702,1.8424237229658144e-05,1.8424237229658144e-05
