u,x,phi,T_H,S_SVT,f,h,X,A0prime,f2,f2X,f2F,f2phi,f3,f3X,f4,N4,G4,G4X,G4XX,G4phi,G4phiX,G4phiphi,G3,G3X,G3phi,G2,G2X,G2phi,JA,metric_residual_14,metric_residual_15,f2_full_outer_reference,f2X_full_outer_reference,G2_core_reference,G2X_core_reference
0.71,1.4084507042253522,0.848353517876929,0.0,1.0,0.29270485310296923,0.3891074914497098,-0.31755255585391085,1.408450704225352,-0.46676448276368093,17.358375152715766,0.9999998393792409,-18.251209761535836,-4.898288518073317,-18.547382835406626,-3.347282619909285,1.3282825640218685,0.5,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,9.180658228963456e-45,-4.2356946705623955e-07,-3.277675038033443e-15,-0.003090890354396966,-1.0817401916138436e-15,0.0,-2.0816681711721685e-17,-0.46676448276368093,17.358375152715766,-1.459361161306169,-1.3329851887716784
0.7100035714285714,1.4084436194988958,0.8483625691003944,0.0,1.0,0.29270198642454515,0.3891222340831164,-0.31755344943035857,1.4084436194988956,-0.46689573710585325,17.348240180113617,0.9999999038461138,-18.28469303292121,-4.899445102273185,-18.56010755123246,-3.348099502511661,1.3285679008940297,0.5,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-4.590386524514175e-45,-2.5357483490751054e-07,-4.588733913877148e-16,0.03862685139490132,-5.408802699598864e-16,0.0,-6.938893903907228e-18,-0.46689573710585325,17.348240180113617,-1.4593614020710184,-1.3349114782775553
0.7100071428571428,1.4084365348437138,0.848371620073979,2.6839749522833233e-304,1.0,0.29269911986737424,0.3891369783404891,-0.31755433038674385,1.4084365348437136,-0.46702701913294487,17.33810143561062,1.0000000906091664,-18.309837937738077,-4.900602137837735,-18.572837378301514,-3.3489167182498636,1.3288533342127544,0.5,0.0,-1.1269062010822755e-303,-6.03694e-319,-1.0047459858606034e-304,-8.943857683808413e-306,-2.507149394434717e-309,1.5467809278819736e-303,9.180888065796584e-45,2.389614168762932e-07,4.129847553240164e-15,0.06818229428339402,9.014840749537677e-16,0.0,6.938893903907228e-18,-0.46702701913294487,17.33810143561062,-1.4593621217955508,-1.3370246455242918
0.7100107142857143,1.408429450259805,0.8483806707975455,5.81391784185982e-203,1.0,0.2926962534314959,0.3891517242208918,-0.31755520872912285,1.4084294502598047,-0.46715828790492203,17.327957585956177,1.0000002802784578,-18.28052867870281,-4.901759589714005,-18.58557200393539,-3.349734246250409,1.3291388559869532,0.5,0.0,-2.442716185085103e-202,-1.9488582959585232e-217,-2.177845215672405e-203,-1.937086770537726e-204,-8.14774648348304e-208,3.3527148975957607e-202,-3.213351097122385e-44,7.391995759942203e-07,7.757099711300677e-15,0.017709369825338776,0.0,0.0,-1.3877787807814457e-17,-0.46715828790492203,17.327957585956177,-1.459363316624741,-1.3393225276157992
0.7100142857142857,1.4084223657471682,0.8483897212712176,2.7068875392477417e-152,1.0,0.2926933871168664,0.38916647172551727,-0.31755610938383244,1.408422365747168,-0.4672894415834669,17.317804473933883,1.000000175238721,-18.229318087199548,-4.9029174866186205,-18.598311685798485,-3.350552103713088,1.3294244727404192,0.5,0.0,-1.1381362599523884e-151,-1.2019401612820556e-166,-1.0146295569508837e-152,-9.017136656559301e-154,-5.058865493160591e-157,1.562074896417496e-151,1.1935453263799769e-43,4.6218772409289954e-07,-1.3110553440217648e-15,-0.06503125585993845,-1.6227323927214133e-15,0.0,0.0,-0.4672894415834669,17.317804473933883,-1.4593649827035653,-1.3418029616559886
0.7100178571428571,1.4084152813058022,0.8483987714953124,6.813906349139147e-122,1.0,0.29269052092338016,0.3891812208571377,-0.3175570182730586,1.4084152813058022,-0.4674205374824401,17.307643786741465,0.9999999435469283,-18.243204214574885,-4.90407590360035,-18.61105709580191,-3.3513703354893973,1.3297102015439413,0.5,0.0,-2.8672455925198983e-121,-3.757185298520969e-136,-2.555709401053163e-122,-2.269329383957538e-123,-1.5920790254844316e-126,3.935118814910371e-121,-4.452897787354437e-43,-1.4889916166715975e-07,-3.670944508570613e-15,-0.05197235427391589,5.409209751657466e-16,0.0,0.0,-0.4674205374824401,17.307643786741465,-1.4593671161769994,-1.3444637847487708
0.7100214285714286,1.408408196935706,0.8484078214697011,1.261201982049982e-101,1.0,0.29268765485107384,0.38919597161488406,-0.3175579136808402,1.4084081969357058,-0.46755166426819617,17.297479214002554,0.9999998445321115,-18.27253285478303,-4.9052348059202435,-18.623807923832842,-3.3521889208747377,1.3299960344798787,0.5,0.0,-5.311564535776358e-101,-8.29005067153599e-116,-4.733438775604901e-102,-4.1992703321044356e-103,-3.5367946225732766e-106,7.289573902805641e-101,1.6618238823574907e-42,-4.1007351359034756e-07,-3.277620023939256e-15,-0.016221750802034227,-7.212415381578998e-16,0.0,-2.0816681711721685e-17,-0.46755166426819617,17.297479214002554,-1.4593697131900185,-1.3473028339980575
0.710025,1.408401112636879,0.8484168711942461,3.7807719809038466e-87,1.0,0.292684788899987,0.3892107239978204,-0.3175588009521918,1.4084011126368787,-0.4676828007447734,17.287310173198822,0.9999998143519448,-18.291237410784188,-4.906394156822359,-18.636563841737924,-3.353007837960202,1.3302819631715015,0.5,0.0,-1.59371779298827e-86,-2.8800858703025745e-101,-1.419868647055488e-87,-1.2584690900929142e-88,-1.2371658546224138e-91,2.1871530116178593e-86,-6.202077860127845e-42,-4.896973657686485e-07,-5.244180351137649e-16,0.0038870025721734,-9.015688882184864e-16,0.0,0.0,-0.4676828007447734,17.287310173198822,-1.4593727698875985,-1.3503179465077595
0.7100285714285713,1.4083940284093197,0.8484259206688098,2.7243072992043798e-76,1.0,0.292681923070159,0.38922547800501034,-0.3175596784831092,1.4083940284093197,-0.4678139531871521,17.277137182001233,0.9999998721863135,-18.31048477807461,-4.907553919550718,-18.649324521363415,-3.3538270648368598,1.3305679792420706,0.5,0.0,-1.1494863353790863e-75,-2.3559123793193157e-90,-1.0237597609371582e-76,-9.065177116995603e-78,-1.0189922838485531e-80,1.577469392592883e-75,2.3146757041840674e-41,-3.371561374532206e-07,-1.1799365479925703e-15,0.024847605012951555,7.212686841373334e-16,0.0,-2.0816681711721685e-17,-0.4678139531871521,17.277137182001233,-1.4593762824147147,-1.353506959381686
0.7100321428571428,1.408386944253027,0.8484349698932555,7.589008368830579e-68,1.0,0.29267905736162914,0.38924023363551885,-0.31756054737800665,1.4083869442530268,-0.4679451173880727,17.26696032933117,1.0000000048546398,-18.34161207698677,-4.908714057349451,-18.662089634556743,-3.354646579595855,1.330854074314874,0.5,0.0,-3.205330601119048e-67,-7.333427372006933e-82,-2.8536449953734517e-68,-2.524345562074938e-69,-3.193947204620102e-72,4.3986624537168196e-67,-8.638595723967234e-41,1.2806400606635295e-08,1.420290106809429e-15,0.06331178977137807,5.409616941334025e-16,0.0,6.938893903907228e-18,-0.4679451173880727,17.26696032933117,-1.459380246916343,-1.3568677097239468
