x,u,a1_archive,a1_selected,a2_archive,a2_selected,a5_archive,a5_selected,P,R
1.4084507042253522,0.71,-0.0851583397718576,-0.0851583397718576,-2.410270402794776,-2.4102704027947763,8.89973383121767,8.893827779545685,-0.20005425134231514,-1.2519476875554485
1.4085316624209565,0.7099591913192917,-0.0852507107687106,-0.08525071077103545,-2.408920074826753,-2.4089200748267525,8.903605585407862,8.903979184111837,-0.20606069685671669,-1.2506966331819895
1.4086126206165608,0.7099183873294364,-0.0853430307590149,-0.08534303076025182,-2.407568717869963,-2.4075687178699634,8.906512282479664,8.906598161076895,-0.21205479282264683,-1.2494450782296074
1.408693578812165,0.7098775880296249,-0.0854352996839225,-0.08543529968631791,-2.406216482678784,-2.4062164826787846,8.908843106316048,8.908694709197327,-0.218040013244158,-1.248193024340914
1.4087745370077691,0.7098367934190487,-0.0855275174904529,-0.08552751749184329,-2.404863341602862,-2.4048633416028617,8.911777371201,8.911844997728467,-0.22401572374910605,-1.2469404731190954
1.4088554952033738,0.7097960034968995,-0.0856196841185856,-0.08561968412066116,-2.403509246439552,-2.4035092464395515,8.91454398003863,8.914525296883166,-0.2299815888093164,-1.245687426200964
1.408936453398978,0.7097552182623691,-0.0857117995156304,-0.08571179951722355,-2.40215429756853,-2.4021542975685293,8.916898545796489,8.916908753967736,-0.23593831103902696,-1.244433885197721
1.4090174115945824,0.7097144377146496,-0.0858038636245029,-0.08580386362634253,-2.4007984150317148,-2.4007984150317156,8.920068176078924,8.920061906008158,-0.2418855078226554,-1.2431798517383703
1.4090983697901869,0.7096736618529329,-0.0858958763886461,-0.08589587639006586,-2.3994415678140344,-2.3994415678140353,8.922744281159979,8.922747739358478,-0.24782287677967663,-1.2419253274640891
1.409179327985791,0.7096328906764117,-0.0859878377506074,-0.08598783775253023,-2.398083862766692,-2.3980838627666925,8.925227780564605,8.925228145899151,-0.25375118112116857,-1.2406703140119206
1.4092602861813952,0.7095921241842782,-0.0860797476581835,-0.08607974765971348,-2.39672524579734,-2.3967252457973403,8.928417315569313,8.92841094784685,-0.25966988211387143,-1.2394148130161442
1.4093412443769997,0.7095513623757254,-0.086171606053653,-0.08617160605566587,-2.3953656693137457,-2.3953656693137457,8.931303733177947,8.931310525575299,-0.2655788330288318,-1.2381588261431518
1.4094222025726038,0.7095106052499459,-0.0862634128810466,-0.08626341288244754,-2.3940051675142597,-2.3940051675142597,8.934014841860233,8.934015439489848,-0.27147842981860215,-1.2369023550366216
1.4095031607682085,0.7094698528061331,-0.0863551680833957,-0.08635516808557601,-2.39264378120882,-2.39264378120882,8.936965501386368,8.936962636868778,-0.27736856880162364,-1.235645401350381
1.4095841189638123,0.7094291050434801,-0.0864468716092469,-0.08644687161051944,-2.391281459912328,-2.3912814599123284,8.939845390415691,8.93984237451896,-0.2832491746943835,-1.2343879667680775
