u,x,phi,T_H,S_SVT,f,h,X,A0prime,G4,G4X,G4XX,G4phi,G4phiX,G3,G3X,G3phi,G2,G2X,G2phi,f2,f2X,f2F,f2phi,f3,f3X,f4,N4,JA,metric_residual_14,metric_residual_15
0.5515230871346237,1.813160724051259,0.5099330950260855,1.0,0.0,0.438616122867156,0.49483252950654544,-0.04941900190164724,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791609742847686,3.058006148238108e-15,0.0,-0.02511458294153413,0.33399621249255584,1.4916228528383322,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5515496675495626,1.8130733437712379,0.5099721507651324,1.0,0.0,0.4385934333689607,0.49481215841275084,-0.04943444529736237,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791609806030706,8.381446384815442e-05,0.0,-0.025063896014200504,0.33339675963679494,1.3830195066610669,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5515762479645013,1.8129859719129142,0.5100112095522098,1.0,0.0,0.43857074386651784,0.49479177954527365,-0.049449421002149475,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791609983034021,0.00015167404057719509,0.0,-0.025015510716802747,0.33282468599510345,1.3650826695658265,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5516028283794402,1.81289860847507,0.510050271288823,1.0,0.0,0.4385480543913361,0.494771393044718,-0.04946459220319329,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791610252929966,0.00020361631650659564,0.0,-0.024966841029283843,0.33225540689151095,1.3815272198914799,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5516294087943789,1.8128112534564889,0.5100893361349524,1.0,0.0,0.43852536489193317,0.4947509986802824,-0.04947993274761159,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791610591260172,0.00023971259983949123,0.0,-0.024918369854246475,0.33169372639703687,1.3476374105451099,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5516559892093178,1.812723906855953,0.5101284040063387,1.0,0.0,0.4385026753952496,0.4947305965720823,-0.049494992030116015,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791610968968307,0.00025983097332070535,0.0,-0.024871556401452694,0.33115333831491034,1.3194038907730146,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5516825696242565,1.8126365686722463,0.5101674748710394,1.0,0.0,0.4384799859114422,0.49471018676489525,-0.04951014047110804,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791611365075186,0.00026334546174504975,0.0,-0.024824815266973076,0.33061930371375575,1.3266077178887647,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5517091500391954,1.8125492389041515,0.5102065487841609,1.0,0.0,0.4384572964227557,0.4946897691778953,-0.04952540605113371,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791611758576962,0.0002530492992241739,0.0,-0.024778310045508345,0.33009248952633574,1.3057385859337465,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5517357304541342,1.8124619175504533,0.5102456257473799,1.0,0.0,0.4384346069284422,0.49466934380897837,-0.04954056202495161,0.0,0.5,0.0,0.0,0.0,0.0,-0.0879161212126534,0.00022557982593024212,0.0,-0.024732960881729216,0.3295826677656084,1.2734954323278724,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.551762310869073,1.8123746046099345,0.5102847057053754,1.0,0.0,0.4384119174462579,0.49464891073533945,-0.04955564773849581,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791612430315797,0.00018256995065842933,0.0,-0.02468823493015571,0.3290840352424276,1.2803915777446149,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5517888912840118,1.8122873000813804,0.5103237886991945,1.0,0.0,0.4383892279628915,0.4946284698972605,-0.04957103199099234,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791612664621347,0.00012389290314441699,0.0,-0.024643126211756683,0.3285874080870226,1.270605612227228,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5518154716989506,1.8122000039635744,0.5103628748087645,1.0,0.0,0.43836653845247464,0.4946080211800575,-0.04958622926152085,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791612797103479,4.955871690738502e-05,0.0,-0.02459936487339165,0.32810902247074547,1.2298703607990196,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5518420521138894,1.8121127162553021,0.5104019638800106,1.0,0.0,0.43834384896452944,0.494587564802207,-0.04960132803231332,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791612803808424,-4.0406452022637066e-05,0.0,-0.02455647098531086,0.32764424055346336,1.2237064172872723,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5518686325288282,1.8120254369553475,0.5104410560138318,1.0,0.0,0.4383211594664432,0.4945671006190058,-0.049616619654975234,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791612661138852,-0.0001459740087960873,0.0,-0.024513560626423986,0.3271848773616704,1.2244995601904893,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.551895212943767,1.8119381660624962,0.5104801511937794,1.0,0.0,0.43829846996339855,0.4945466286529849,-0.04963189765628351,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791612346792349,-0.0002671323120083836,0.0,-0.024471145909808235,0.3267355646025871,1.19358095136901,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5519217933587058,1.8118509035755335,0.5105192494275016,1.0,0.0,0.43827578045289844,0.49452614889126306,-0.049646986805145545,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791611838369018,-0.0004038494061827375,0.0,-0.024430078785150328,0.326304433850949,1.168328720650541,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5519483737736447,1.8117636494932448,0.510558350633126,1.0,0.0,0.4382530909610672,0.49450566145137476,-0.04966229599604818,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791611103676407,-0.0005560876429033598,0.0,-0.024389181763202337,0.32588064450538456,1.1830226598312452,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0.5519749541885834,1.8116764038144162,0.5105974549890175,1.0,0.0,0.438230401430501,0.4944851660759979,-0.04967766567852528,0.0,0.5,0.0,0.0,0.0,0.0,-0.08791610124349208,-0.0007238112114956463,0.0,-0.024348031629613187,0.3254595152766492,1.1613436880917882,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
