L,exact_min_eig,exact_max_of_min_eig,reducer_min_eig,max_abs_matrix_diff,median_row_max_abs_diff
6,-1724.9436832121787,0.09374673076993115,-1724.943690469514,7.273577466548886e-06,3.060178244140843e-08
12,-691.7267976768642,0.050647657560750035,-691.726800594897,2.955361424028524e-06,9.007159462726122e-09
20,-301.69420350647005,0.024739506253412674,-301.694204243941,7.684608362978906e-07,2.982798008588361e-09
42,-40.513675904203154,0.00678597738260038,-40.51367615569956,3.122716236703127e-07,5.300080374581739e-10
110,0.00013013287403566986,0.00106671397725448,0.0001301328636407175,4.4091279960412066e-08,4.049383051096811e-11
420,4.604322833226142e-05,0.0002329751163692564,4.6043228334258015e-05,8.884001090336824e-09,9.023892744153272e-13
1000,8.204377299776491e-06,4.9136435443516285e-05,8.204377299636636e-06,1.9520030036801472e-09,7.815970093361102e-14
