u,x,K11,K12,K13,K21,K22,K23,K31,K32,K33,R11,R12,R13,R21,R22,R23,R31,R32,R33,G11,G12,G13,G21,G22,G23,G31,G32,G33,S11,S12,S13,S21,S22,S23,S31,S32,S33,M11,M12,M13,M21,M22,M23,M31,M32,M33
0.5515230871346237,1.813160724051259,0.0007588815653370544,-0.0007642130735821574,-0.0,-0.0008057389451415478,0.10421355649851757,-0.0,-0.0,-0.0,0.31157898573519915,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001645527641598563,-0.00017479807769640575,0.0,-0.00017479807769640575,0.022616274528093172,0.0,0.0,0.0,0.06762557839661762,-1.5465059788333235e-14,-0.0017348580150164483,0.0,0.0017348580150122446,1.5407952691504079e-12,0.0,0.0,0.0,6.963318810448982e-13,0.003998638700140083,0.13306417819013672,-0.0,0.13306417797662276,-9.910792740440085,-0.0,-0.0,-0.0,1.7370063672604537
0.5515496675495626,1.8130733437712376,0.0007587621417542746,-0.0007634922287175867,-0.0,-0.0008054132059700254,0.10418220030703873,-0.0,-0.0,-0.0,0.31153668844176563,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00016451206231391638,-0.0001747295614810076,0.0,-0.00017472956148100764,0.022607335840083308,0.0,0.0,0.0,0.06761011684209,-1.777657882007233e-15,-0.0017407757121688959,0.0,0.0017407757121662096,-1.715294573045867e-14,0.0,0.0,0.0,-5.275779813018744e-13,0.003995591842847452,0.13323691972830695,-0.0,0.1332369197170174,-9.910385401764975,-0.0,-0.0,-0.0,1.7366532780156865
0.5515762479645013,1.8129859719129144,0.0007586432014445969,-0.0007626877767449242,-0.0,-0.0008050853093482437,0.10415087077859203,-0.0,-0.0,-0.0,0.3114943982983246,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00016447136859087092,-0.0001746612133836764,0.0,-0.0001746612133836764,0.022598399802297782,0.0,0.0,0.0,0.0675946577828257,-4.404029224636119e-16,-0.0017467069332924496,0.0,0.0017467069332933885,1.9229062786507711e-13,0.0,0.0,0.0,2.1405099914773018e-13,0.003992550802522151,0.1332831619288952,-0.0,0.13328316193077483,-9.90974938355848,-0.0,-0.0,-0.0,1.7365142480684286
0.5516028283794402,1.81289860847507,0.0007585242165977016,-0.0007618938540386857,-0.0,-0.0008047574852949498,0.10411954703322462,-0.0,-0.0,-0.0,0.31145211530282013,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001644306830492332,-0.00017459303414989714,0.0,-0.00017459303414989714,0.022589466358365617,0.0,0.0,0.0,0.06757920121792957,-5.381979584218044e-16,-0.0017526427422634027,0.0,0.001752642742263704,4.359013150434521e-14,0.0,0.0,0.0,-1.6076029396572267e-13,0.00398951542540942,0.1333217423834272,-0.0,0.13332174238261985,-9.909061492999163,-0.0,-0.0,-0.0,1.7363750416114483
0.5516294087943789,1.8128112534564889,0.0007584051717940896,-0.0007611059958149069,-0.0,-0.0008044291904234988,0.10408822922079783,-0.0,-0.0,-0.0,0.311409839453196,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00016439000574886145,-0.00017452502493248931,0.0,-0.00017452502493248931,0.022580535519716415,0.0,0.0,0.0,0.06756374714650679,6.203804830962056e-16,-0.0017585834444872742,0.0,0.0017585834444868763,1.6292522886374172e-14,0.0,0.0,0.0,1.3766765505351941e-14,0.003986485989399063,0.13336337138848936,-0.0,0.13336337138901205,-9.908343503031038,-0.0,-0.0,-0.0,1.7362303661950829
0.5516559892093178,1.812723906855953,0.0007582860740980787,-0.0007603212785643951,-0.0,-0.0008040987086163345,0.10405691874726244,-0.0,-0.0,-0.0,0.31136757074739774,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00016434933674924434,-0.00017445718680954894,0.0,-0.00017445718680954894,0.02257160728577788,0.0,0.0,0.0,0.06754829556766306,1.0141627121429408e-15,-0.0017645291830890298,0.0,0.001764529183088895,1.1254885912137524e-14,0.0,0.0,0.0,1.652011860642233e-13,0.003983462109355528,0.13340303147509777,-0.0,0.13340303147418472,-9.907587365436452,-0.0,-0.0,-0.0,1.7360885081969555
0.5516825696242565,1.8126365686722463,0.0007581676504747684,-0.0007595410029923649,-0.0,-0.0008038093370193785,0.10402560351584399,-0.0,-0.0,-0.0,0.3113253091833712,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00016430867610985116,-0.00017438952082972752,0.0,-0.00017438952082972752,0.022562681654579628,0.0,0.0,0.0,0.06753284648050475,-3.926980268742497e-16,-0.0017704798580859989,0.0,0.0017704798580856105,-8.03523914072457e-15,0.0,0.0,0.0,1.6431300764452317e-14,0.00398044861947171,0.13345878098310215,-0.0,0.13345878098487257,-9.90683058397323,-0.0,-0.0,-0.0,1.735946151114016
0.5517091500391954,1.8125492389041515,0.0007580427711582835,-0.0007587675261808988,-0.0,-0.0008031340945316937,0.10399439929856391,-0.0,-0.0,-0.0,0.3112830547590616,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0001642680238912126,-0.00017432202818671826,0.0,-0.00017432202818671826,0.02255375863871791,0.0,0.0,0.0,0.06751739988413819,1.4278942611634093e-16,-0.0017764355469270156,0.0,0.0017764355469273518,-2.525757381022231e-15,0.0,0.0,0.0,-5.240252676230739e-14,0.003977394229638008,0.13332437094826474,-0.0,0.13332437094990413,-9.905633053672554,-0.0,-0.0,-0.0,1.7358013933930918
0.5517357304541342,1.8124619175504533,0.000757958386859995,-0.000757986890733143,-0.0,-0.0008048947192139918,0.10396254113485873,-0.0,-0.0,-0.0,0.3112408074724152,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00016422738015240814,-0.00017425470995907082,0.0,-0.00017425470995907088,0.02254483823785714,0.0,0.0,0.0,0.06750195577767054,2.1640675362810669e-16,-0.0017823961797168843,0.0,0.0017823961797170818,-8.68749516769185e-15,0.0,0.0,0.0,9.325873406851315e-14,0.003974638440030374,0.13491087095097143,-0.0,0.13491087094528853,-9.90806815349025,-0.0,-0.0,-0.0,1.7356729265539492
0.551762310869073,1.8123746046099345,0.000757727337231652,-0.0007569436825422427,-0.0,-0.000797543857665564,0.10393324358956862,-0.0,-0.0,-0.0,0.3111985673213793,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00016418674516181485,-0.00017418757358500403,0.0,-0.00017418757358500403,0.022535920461558397,0.0,0.0,0.0,0.06748651416020932,2.931682674400804e-16,-0.0017883975161007266,0.0,0.0017883975161022614,-3.6637359812630166e-15,0.0,0.0,0.0,-2.2293278334473143e-13,0.0039708318832565,0.12680186071719385,-0.0,0.126801860718216,-9.88983721218106,-0.0,-0.0,-0.0,1.7354841635348526
0.5517888912840118,1.8122873000813804,0.0007577077672596862,-0.0007594921658718497,-0.0,-0.0008064626242566359,0.10389855290188241,-0.0,-0.0,-0.0,0.3111563343039022,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00016414611703466088,-0.00017412056059582152,0.0,-0.0001741205605958215,0.022527005180703108,0.0,0.0,0.0,0.06747107503086269,-1.1935981716892918e-15,-0.001793977854972078,0.0,0.0017939778549727506,-1.9637069748057456e-14,0.0,0.0,0.0,7.993605777301127e-15,0.003968552524074455,0.15091809184274496,-0.0,0.1509180918482134,-9.940067830647976,-0.0,-0.0,-0.0,1.7353869225508376
