u,x,phi,A0prime,f3,f4,N4,tilde_f3,f3X_integrated,f2,f2X,Ephi_residual,alpha4,alpha6,alpha7,Codd,K_even_corrected,odd_tensor_cr2,odd_vector_cr2,odd_tensor_cOmega2,odd_vector_angular_margin_lb,v1,v4,c2,even_scalar_cr2,even_vector_cOmega2,even_angular_cond55,even_angular_cond56,even_angular_discriminant,even_cOmega_minus2,even_cOmega_plus2,HXX,HXF,HXY,HFF,HFY,HYY,H_norm,control_sigma_min,v13,e4,M22_0
0.61,1.639344262295082,0.6060115820460082,1.4448087103799903,-0.5945608539519593,-0.8432335872625503,0.09286845067708283,0.0,44.728354923533175,-1.0616272823486286,145.67690272357402,1.4210854715202004e-13,1.8516851882676897,-0.33302686564614536,2.001530117217264,0.7607210253614061,0.9639150638121361,1.0050694018534374,9.458870488366266,8.798710869126063,8.006120468869057,20.098571751061378,0.0,54.771252245551075,0.9999999999999999,0.9999999999999999,3466.011971976042,1420178.1820509566,6332526.261677424,474.7804237698008,2991.2315482062413,1.6950376085571595,6.8663154648987685,12.732984882421587,16.572596924871547,17.791887312844633,25.574707862038682,38.176121460800005,1.2393135748784354,50.85630111472125,206.9016114738674,-333.45765091277036
0.610026256564141,1.6392737021391723,0.6060608186038416,1.4455963565018524,-0.5960610043466654,-0.8437932372119133,0.09310522158616923,0.0,44.61398977737573,-1.0623208462971845,145.61678317630333,5.684341886080802e-14,1.8509041137156796,-0.33353988966956477,2.0049085576621715,0.7627238844202288,0.9694069470130948,1.0050817848386664,9.489465021777693,8.812209456126485,8.019634230648686,20.15136070639163,0.0,54.700928107585895,1.0000000000000002,1.0,3471.4152412794315,1425307.739113862,6349492.820931685,475.79762177752673,2995.6176195019048,1.6875869639881849,6.847469972830517,12.687627879528739,16.55794255051087,17.745624662023257,25.509451561894434,38.08564652384541,1.241736302452638,50.954723178106626,207.23805205394981,-335.967718826921
0.610052513128282,1.6392031480570586,0.6061100622284209,1.4463825070074,-0.5975624391664401,-0.8443534781740727,0.09334239349613421,0.0,44.49991905809918,-1.0630126305173555,145.55662085597604,5.684341886080802e-14,1.8501214092650686,-0.33405308187285415,2.008289010812032,0.764730909884072,0.9749138472558609,1.0050941828376576,9.520155319164811,8.825712523854104,8.033156043248129,20.204259547322746,0.0,54.63056141060819,0.9999999999999999,1.0,3478.656672711994,1432536.1435830428,6370907.67227151,477.2954849341818,3001.361187777812,1.6801849830319924,6.828734926499429,12.64250977514743,16.54340963300548,17.69954433469398,25.444448366214388,37.995603960069694,1.244158281070498,51.07909619550465,207.66593299662185,-338.83193114451217
0.6100787696924231,1.6391326000479565,0.6061593129221199,1.4471671571604123,-0.5990657614477461,-0.8449145722406042,0.09358009771009615,0.0,44.38612752330216,-1.063702628479132,145.4964059973066,-2.4158453015843406e-13,1.849336835087266,-0.3345665329489324,2.0116720114186317,0.7667426981504313,0.9804370436574921,1.0051066015850292,9.55095028528963,8.83922246929144,8.046688045674527,20.25728403232408,0.0,54.560135202435816,0.9999999999999996,1.0,3487.8367318743894,1442061.1643640874,6396760.410755873,479.32748241439776,3008.5092494599917,1.6728312336811755,6.8101097475738825,12.597628362366887,16.529000832686528,17.65364304762276,25.37969577218056,37.90599079743151,1.2465794808215849,51.23220610346985,208.19242134923383,-342.09454427422213
0.6101050262565642,1.6390620581110824,0.6062085706873115,1.4479503022250106,-0.6005715834591497,-0.8454767855561973,0.09381846809743329,0.0,44.27259986541533,-1.064390833689014,145.43612874235777,5.684341886080802e-14,1.8485496524440996,-0.33508033544096444,2.01505810539682,0.7687598594086269,0.9859778433752826,1.0051190469195055,9.581861619904426,8.852741738244701,8.06023242158728,20.310450283863105,0.0,54.48963237873962,0.9999999999999997,1.0,3498.7845701224946,1453534.83407729,6427354.131818089,481.78093572955163,3017.0036343929432,1.665525287916282,6.7915938776007,12.552981444780883,16.514718900847715,17.607917517538176,25.315191279570836,37.81680412509324,1.2489998717217754,51.4083576623109,208.80203342317236,-345.6812380413761
0.6101312828207052,1.638991522245652,0.6062578355263702,1.4487319374658525,-0.6020802562836702,-0.8460402702211636,0.09405756756953251,0.0,44.15932693004406,-1.0650772396744708,145.37578341072856,-1.4210854715202004e-13,1.8477598239735533,-0.3355945410869468,2.018447600058897,0.7707827471778783,0.991536999514123,1.0051315214073333,9.612894248488464,8.866271698404107,8.073790400235588,20.36376764290343,0.0,54.41904301140968,0.9999999999999996,1.0,3509.930699530585,1465404.63627697,6457994.9703993825,484.33607944296705,3025.594620087618,1.6582667649481901,6.7731867711018765,12.508567239310242,16.500565297406965,17.562365580986487,25.25093308867828,37.72804161182268,1.251419423714179,51.58970573935056,209.42420509796588,-349.36604655574064
0.6101575393848462,1.6389209924508816,0.6063071074416696,1.4495120581482142,-0.603591483437237,-0.8466048970262254,0.09429732167983156,0.0,44.04631519536611,-1.0657618399252535,145.31537499624955,-5.684341886080802e-14,1.8469674567795589,-0.3361091008015559,2.021840208410663,0.7728110731276262,0.9971138888097624,1.0051440216294383,9.644044347570114,8.87981105373251,8.087360833642652,20.417228492891233,0.0,54.348375874513955,1.0000000000000002,1.0,3519.321385848347,1475168.5928389477,6484948.645533739,486.38257664971434,3032.9388091986325,1.6510554031021574,6.754887936163982,12.464385026783868,16.486538331258807,17.516987933939973,25.186921247610833,37.63970248858743,1.2538381066697881,51.744070338393385,209.9566325344002,-352.70626124488876
0.6101837959489872,1.6388504687259875,0.6063563864355839,1.4502906595381646,-0.6051047389856514,-0.8471704376491161,0.09453762215918662,0.0,43.93357670125896,-1.066444627988459,145.25491230423017,2.7000623958883807e-13,1.8461729026786085,-0.3366239299189239,2.0252354318911587,0.7748443195961263,1.002707399533593,1.0051565428641567,9.675303932270895,8.893357568214375,8.100941727564635,20.4708191587206,0.0,54.27764655647262,1.0,0.9999999999999999,3527.400524945141,1483509.1234130336,6508517.969731123,488.1104018854064,3039.2901230597345,1.6438909851443257,6.736696903374135,12.420434478848216,16.472635198628325,17.471786294870853,25.12315648801494,37.55178656235071,1.256255890388347,51.88091337013471,210.42239316488084,-355.83440836204124
0.6102100525131283,1.638779951070186,0.6064056725104877,1.4510677369026708,-0.6066196517090748,-0.847736731433533,0.09477840571757606,0.0,43.82111968694899,-1.067125597366433,145.19440156189503,2.8421709430404007e-13,1.8453766700164567,-0.3371389679887477,2.0286329131762626,0.7768821208834141,1.0083167483444235,1.0051690824891526,9.706666051715514,8.906909645644093,8.11453165270505,20.52452998033698,0.0,54.206866217924315,1.0,1.0,3534.3272140843897,1490476.4782398094,6529562.943258285,489.5131322195339,3044.814081864856,1.636773268068841,6.718613190161399,12.376715023861415,16.458853841360163,17.426761692092416,25.059639116358596,37.46429326970306,1.2586727445990558,52.00025545861539,210.82710240448907,-358.74184066232345
0.6102363090772693,1.638709439482694,0.6064549656687547,1.4518432855097347,-0.6081358062134742,-0.8483035983887177,0.09501959625369472,0.0,43.70895343897734,-1.0678047415970524,145.1338497456,8.526512829121202e-14,1.844578667076224,-0.33765414727942966,2.032032252127356,0.7789240637585738,1.0139410504947204,1.005181637296589,9.73812627955056,8.920465497492076,8.128129008509424,20.578350042223754,0.0,54.136047312273604,0.9999999999999999,1.0,3539.8752233625223,1495898.350050017,6547123.196775799,490.5702683455211,3049.3049550170012,1.6297020173664887,6.700636313292833,12.333226158556892,16.445191965039676,17.38191533935802,24.99636955191786,37.377222121958184,1.2610886389613811,52.10071592675926,211.1633943268277,-361.40927635243133
