L,min_eig_K,negative_K_rows,min_radial_c2,negative_c2_rows,min_abs_Dh1,min_abs_DeltaV,min_abs_2Lv9,max_h0_quadratic,max_P20_asym,max_P02_asym,max_P11_asym,max_time_first_sym_res,max_radial_first_sym_res,higher_operator_keys,max_high_order,max_S_sym,max_R_abs,max_v12_identity,max_h0_quad_direct
6,-67.85197267206209,1011,0.13294755473116482,0,3.387407619928495,0.18712605359776976,12.878931511935221,0.0,7.0375235991442455,8.881784197001252e-16,0.0,0.0,7.566995918750763e-09,[],0.0,7.566995918750763e-09,0.0,0.0,0.0
42,-0.006127700304899034,878,0.024826879120908547,0,177.75504301866138,0.18712605359776976,90.15252058354655,0.0,0.14223254313270428,4.440892098500626e-16,0.0,0.0,1.30385160446167e-08,[],0.0,1.30385160446167e-08,0.0,0.0,0.0
1000,1.1729869407203612e-06,0,3.200955780646368e-05,0,101833.70189238107,0.18712605359776976,2146.488585322537,0.0,0.00025087797279862967,2.7755575615628914e-17,0.0,0.0,1.4159013517200947e-08,[],0.0,1.4159013517200947e-08,0.0,0.0,0.0
