slot,outer_u061,central_u061,abs_jump,scaled_jump
e2,-38.308686270197335,56.53787820876752,94.84656447896486,1.6775755915130306
c2,-32.92076390293538,54.77125224555108,87.69201614848646,1.601059178916426
c4,4.501056925168093,-10.890426242509909,15.391483167678002,1.4133040181291139
d2,3.796459097551684,-9.347582000022848,13.144041097574533,1.4061434387569325
c6,7.740546019421209,27.564521217472286,19.823975198051077,0.7191844560494408
d3,66.29709964848124,20.12567705206364,46.1714225964176,0.6964320134851527
c5,-2.1458882186477712,-6.764873393938302,4.618985175290531,0.6827895965398842
a6,0.10862925025043035,0.6697317778859277,0.5611025276354974,0.5611025276354974
v13,94.870096161588,50.85630111472125,44.01379504686675,0.4639374979856668
e4,375.383021237232,206.9016114738674,168.4814097633646,0.44882533367668986
c1,0.43591665894916454,0.0,0.43591665894916454,0.43591665894916454
v8,-2.289731835996202,-3.805973809835581,1.5162419738393793,0.39838476290116176
b2,0.372264734307177,0.0,0.372264734307177,0.372264734307177
a9,1.2183019622257216,1.427456122797853,0.20915416057213143,0.1465223044209468
v7,9.068569899491072,10.488802495697264,1.4202325962061924,0.13540464669716135
a2,-4.583947623234877,-5.209728137726429,0.6257805144915514,0.12011769097123128
a7,-23.15113024756081,-25.367194874867224,2.2160646273064124,0.08735946714794225
b5,-0.4417767258121146,-0.5247203344590038,0.08294360864688921,0.08294360864688921
b4,1.5783156975121937,1.7203945392098483,0.1420788416976546,0.08258503410671678
a1,-0.07216465743182288,0.0,0.07216465743182288,0.07216465743182288
v2,27.00109232780204,29.03859153213069,2.0374992043286504,0.0701652214114515
v9,1.7287839858300118,1.8516851882676897,0.12290120243767788,0.06637262274191212
e1,56.69683536332968,53.22152310793216,3.475312255397526,0.06129640628311478
v3,-32.27410034221415,-34.311567971654235,2.037467629440087,0.05938136173559008
b1,0.22088836290605723,0.2623601672295019,0.04147180432344466,0.04147180432344466
d1,0.22088836290605723,0.2623601672295019,0.04147180432344466,0.04147180432344466
b3,28.030540108767696,26.87462434720538,1.1559157615623157,0.041237727031908165
a8,-0.2005658811227445,-0.2382221381393142,0.03765625701656969,0.03765625701656969
a4,0.1712795393294219,0.2034372838519366,0.032157744522514714,0.032157744522514714
a3,-0.305961325915431,-0.3335037440195683,0.027542418104137267,0.027542418104137267
d4,0.6540876669387883,0.6660537312922906,0.011966064353502337,0.011966064353502337
a5,135.87418928871676,134.70122395129874,1.1729653374180202,0.008632731084235623
v4,-0.0001031260240118,0.0,0.0001031260240118,0.0001031260240118
v1,20.098510431490556,20.09857175106137,6.131957081478845e-05,3.0509417074151186e-06
v10,-0.4348910387775464,-0.4348896688444846,1.369933061823314e-06,1.369933061823314e-06
v12,-3.766490468801369,-3.766493613060675,3.144259306253616e-06,8.347974613180273e-07
v6,3.216512943304698,3.21651562810936,2.684804661701179e-06,8.34693492000623e-07
v11,-1.608256471652349,-1.60825781405468,1.3424023308505895e-06,8.34693492000623e-07
c3,0.0,0.0,0.0,0.0
v5,0.0,0.0,0.0,0.0
e3,0.0,0.0,0.0,0.0
