left_region,right_region,u_left,u_right,du,a1_scaled_jump,a2_scaled_jump,a3_scaled_jump,a4_scaled_jump,a5_scaled_jump,a6_scaled_jump,a7_scaled_jump,a8_scaled_jump,a9_scaled_jump,b1_scaled_jump,b2_scaled_jump,b3_scaled_jump,b4_scaled_jump,b5_scaled_jump,c1_scaled_jump,c2_scaled_jump,c3_scaled_jump,c4_scaled_jump,c5_scaled_jump,c6_scaled_jump,d1_scaled_jump,d2_scaled_jump,d3_scaled_jump,d4_scaled_jump,e1_scaled_jump,e2_scaled_jump,e3_scaled_jump,e4_scaled_jump,v1_scaled_jump,v2_scaled_jump,v3_scaled_jump,v4_scaled_jump,v5_scaled_jump,v6_scaled_jump,v7_scaled_jump,v8_scaled_jump,v9_scaled_jump,v10_scaled_jump,v11_scaled_jump,v12_scaled_jump,v13_scaled_jump
weak_exterior_H,strong_H_carrier,0.5515039840509653,0.5515230871346237,1.9103083658378317e-05,0.00040683294084763687,0.0024062382532797078,0.00011344622258341319,6.101935280999893e-06,0.0006326953289813561,0.0002500589087351844,0.00025163340359557473,7.019843402122916e-07,4.059480231929924e-05,7.919530282118892e-07,0.0018550062120400808,0.0036961309939888,0.00030496404726694325,1.5839060564237784e-06,0.0018743223588656606,0.0005621424361058995,0.0,0.0002500589087323976,5.122080420091879e-05,0.00012581675036552054,7.919530282118892e-07,0.00024748188425568844,0.00043003928552060033,1.996221016396793e-06,7.829613590569495e-05,1.8510011345198446e-05,0.0,9.610905781498591e-06,6.5472838410653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3376273822329774e-05,7.774881278899137e-06,0.0,0.0,0.0
strong_H_carrier,outer_same_action_H_SVT,0.5699739873130051,0.57,2.6012686994869583e-05,0.0028076354298248,0.22525500159875808,0.08305172841416497,0.047753382587143095,0.12201989799433707,0.1294857666712417,0.2235924882065261,0.04989371664914291,0.07561183302095889,0.05648189640214299,0.0132799918215472,0.014485299256496002,0.2105023389953397,0.11296379280428587,0.01387167959589,0.0084580504498375,0.0,0.002004762357264,0.045776615198073106,0.05531068053415339,0.05648189640214299,0.0019116185443360998,0.1818525073660299,0.015983842083361198,0.1625840848505058,0.0214571883146008,0.0,0.9512533670739389,0.2667539808343622,0.104355615136982,0.2165767225935592,0.0,0.0,0.063966031250249,0.0012190696073302,0.0829602970299029,0.3890955299971393,0.0808850076983249,0.0319830156251245,0.0668196357099324,1.0
outer_same_action_H_SVT,central_exact_SVT,0.6099818099135971,0.61,1.8190086402913863e-05,0.0,0.0012636456756062102,2.8371055725728844e-05,1.1239366001392082e-05,0.00018829608309000595,0.0016699178019181637,0.0023356141069260936,3.0426315258125225e-06,0.0011677949046564405,3.3509711480084192e-06,0.0,0.0013060645769352348,4.259167796457653e-05,6.7019422960168384e-06,0.0,1.5792347690945836,0.0,1.4184179864179265,0.6809182741206757,0.6853688131852017,3.3509711480084192e-06,1.411272761822472,0.6965511105227514,0.0007107283010068244,0.0013878462812443823,1.6445798341663769,0.0,0.43668192588532834,0.0018168091876141575,0.0021944015969429017,0.0020109713708163783,0.0,0.0,0.0010306002916844429,0.0025718511707388354,0.0008842203235267861,0.0002917334768484127,0.00020866396253971242,0.0010306002916844429,0.0010985460082244172,0.4567502353922687
central_exact_SVT,inner_same_action_SVT_H,0.7099849962490622,0.71,1.5003750937769844e-05,0.0,0.001196670441972797,8.998406471505405e-06,9.954568659598095e-06,0.0028554975469244474,0.0010501166951738185,0.0022510453772057234,2.171508103140929e-05,0.001241664315501452,2.88640741805124e-05,0.0,0.0012377680777773382,7.900736679666917e-05,5.772814836113582e-05,0.0,0.0038417678725080314,0.0,0.0051318630404297546,0.000467480368503101,0.0021207809249660895,2.88640741805124e-05,0.0066955813052925845,0.0022255771854975603,0.0012459449309885054,0.0011498779148999964,0.003531216511273452,0.0,0.002025705501823886,0.002326690230986889,0.0023056069095982383,0.0022714660839961154,0.0,0.0,0.0012300650277921495,0.002284523142666827,0.0011451544201563219,1.9351809790041363e-07,0.0010468081902430385,0.0012300650277921495,0.0010711103360151527,0.0017923698338967538
inner_same_action_SVT_H,punctured_H_core,0.7149964285714285,0.7150604461150322,6.401754360363388e-05,7.453811439878111e-05,0.002780530288017171,3.620215896180112e-05,4.899533716021254e-05,0.00793800654884692,7.347839458749077e-13,0.0005596984570123142,9.450367575811192e-05,0.0005687986317604032,0.0001346276083843967,0.0006653736893670326,0.0023865119869295164,0.0003916639207464579,0.00026925521676868236,8.85069919848927e-06,0.00022763013686971645,0.0,0.00016810601869932107,8.863266228781308e-05,0.00011857296888941049,0.0001346276083843967,0.00022400679387910016,0.002561790591829175,4.08276086100029e-05,0.0011220619039957632,4.3609492376299464e-05,0.0,0.040118916746193195,0.0002720815479074781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028424630739616087,4.8995337160989694e-05,0.0,0.0,0.0
