u,x,f3_delta,f3X_delta,f3XX_delta,f4_delta,f4X_delta,f4XX_delta,f4XXX_delta,tf4_delta,f2XX_delta,f2XF_delta,f2FF_delta,f2XY_delta,f2FY_delta,f2YY_delta,G3XX_tubular_q
0.715,1.3986013986013988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1119704244762163,0.0,0.0,0.0,0.0,0.0,-0.3154954313378428
0.7149964285714285,1.398608384657266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12194035259224355,0.0,0.0,0.0,0.0,0.0,-0.3116784054105088
0.7149928571428571,1.398615370782925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033797815412081288,0.0,0.0,0.0,0.0,0.0,-0.4049160769704803
0.7149892857142857,1.3986223569783764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021175263102414892,0.0,0.0,0.0,0.0,0.0,-0.41157616800743585
0.7149857142857142,1.3986293432436214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06748666904980691,0.0,0.0,0.0,0.0,0.0,-0.3596349790215661
0.7149821428571428,1.398636329578661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05961568793388915,0.0,0.0,0.0,0.0,0.0,-0.36849218540274764
0.7149785714285714,1.398643315983496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012568084973825135,0.0,0.0,0.0,0.0,0.0,-0.41294376970930385
0.7149749999999999,1.398650302458128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05690915199544679,0.0,0.0,0.0,0.0,0.0,-0.36287501387042065
0.7149714285714286,1.3986572890025577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07303772614025852,0.0,0.0,0.0,0.0,0.0,-0.34681688725656085
0.7149678571428572,1.398664275616786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09495692427064084,0.0,0.0,0.0,0.0,0.0,-0.33821536287675186
0.7149642857142857,1.3986712623008142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1178616599007658,0.0,0.0,0.0,0.0,0.0,-0.31203430537804683
0.7149607142857143,1.3986782490546434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19414006215690272,0.0,0.0,0.0,0.0,0.0,-0.26578189383568596
0.7149571428571428,1.3986852358782744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07472630922444741,0.0,0.0,0.0,0.0,0.0,-0.4655393563582397
0.7149535714285714,1.3986922227717085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3321009792454674,0.0,0.0,0.0,0.0,0.0,-0.16396705417022522
0.71495,1.3986992097349469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1211006962851096,0.0,0.0,0.0,0.0,0.0,-0.49610325526544413
0.7149464285714285,1.3987061967679897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2343754665019177,0.0,0.0,0.0,0.0,0.0,-0.23437436030272688
0.7149428571428571,1.3987131838708389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7304687346497818,0.0,0.0,0.0,0.0,0.0,0.12109372893784728
0.7149392857142857,1.398720171043495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0546875,0.0,0.0,0.0,0.0,0.0,-0.3671875
0.7149357142857142,1.39872715828596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19140625,0.0,0.0,0.0,0.0,0.0,-0.265625
0.7149321428571428,1.3987341455982336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,-0.4765625
0.7149285714285714,1.398741132980318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19140625,0.0,0.0,0.0,0.0,0.0,-0.265625
0.7149249999999999,1.3987481204322134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1953125,0.0,0.0,0.0,0.0,0.0,-0.265625
0.7149214285714285,1.398755107953921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0546875,0.0,0.0,0.0,0.0,0.0,-0.37109375
0.7149178571428572,1.3987620955454425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.53515625,0.0,0.0,0.0,0.0,0.0,-0.015625
0.7149142857142857,1.398769083206778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26171875,0.0,0.0,0.0,0.0,0.0,-0.21484375
0.7149107142857143,1.398776070937929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.58984375,0.0,0.0,0.0,0.0,0.0,0.02734375
0.7149071428571429,1.3987830587388972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42578125,0.0,0.0,0.0,0.0,0.0,-0.09765625
0.7149035714285714,1.3987900466096828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.0,0.0,0.0,0.0,0.0,-0.46875
0.7149,1.3987970345502867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1953125,0.0,0.0,0.0,0.0,0.0,-0.265625
0.7148964285714285,1.3988040225607106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20703125,0.0,0.0,0.0,0.0,0.0,-0.25390625
0.7148928571428571,1.3988110106409553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44921875,0.0,0.0,0.0,0.0,0.0,-0.078125
0.7148892857142857,1.3988179987910216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33203125,0.0,0.0,0.0,0.0,0.0,-0.1640625
0.7148857142857142,1.3988249870109108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.421875,0.0,0.0,0.0,0.0,0.0,-0.1015625
