u,x,v5,c3,e3,v1,v4,c2
0.715,1.3986013986013988,0.0,0.0858994773187596,-1346.4598811378114,1.1671147230400087,0.0,-0.14424843352686473
0.7149964285714285,1.398608384657266,0.0,0.08661056230384877,-2824.0181103544555,1.1670970121364799,0.0,-0.14549314418661302
0.7149928571428571,1.398615370782925,0.0,0.08804321502894251,-3784.4335298035494,1.1670793023550479,0.0,-0.14798331710203894
0.7149892857142857,1.3986223569783764,0.0,0.08556323469689107,2336.287184287761,1.1670615936961084,0.0,-0.1438908239497904
0.7149857142857142,1.3986293432436214,0.0,0.08823982355429888,2042.8570489665913,1.1670438861600578,0.0,-0.1484699937343847
0.7149821428571428,1.398636329578661,0.0,0.08887052423137828,-2625.573055194761,1.167026179747293,0.0,-0.1495942721948919
0.7149785714285714,1.398643315983496,0.0,0.0869740596726632,121.0178985171826,1.1670084744582094,0.0,-0.1465962298264705
0.7149749999999999,1.398650302458128,0.0,0.08740900958174826,2274.050309791508,1.1669907702932052,0.0,-0.14689120734494576
0.7149714285714286,1.3986572890025577,0.0,0.08707020892415092,257.5316282626905,1.166973067251614,0.0,-0.14548726871288462
0.7149678571428572,1.398664275616786,0.0,0.08845543323313015,282.0713717429818,1.1669553653306424,0.0,-0.14810509617654585
0.7149642857142857,1.3986712623008142,0.0,0.08590312187998014,4415.460722008245,1.1669376645314402,0.0,-0.14452795947040523
0.7149607142857143,1.3986782490546434,0.0,0.08756568108039672,-7792.650621483384,1.166919964855491,0.0,-0.14784174574873715
0.7149571428571428,1.3986852358782744,0.0,0.08801543750159435,5857.5066394287005,1.1669022663042785,0.0,-0.1490756331822366
0.7149535714285714,1.3986922227717085,0.0,0.0864802240229034,-641.1968514455892,1.1668845688792873,0.0,-0.14729000951928387
0.71495,1.3986992097349469,0.0,0.08656276480620795,-8822.130188406667,1.1668668725820015,0.0,-0.14762249717685388
0.7149464285714285,1.3987061967679897,0.0,0.08708641813334111,26869.267722885605,1.1668491774135545,0.0,-0.14709414031024878
0.7149428571428571,1.3987131838708389,0.0,0.0886788729661749,-8074.489031141657,1.166831483369793,0.0,-0.14935607630626016
0.7149392857142857,1.398720171043495,0.0,0.08724151035530531,-12676.49605800596,1.1668137904502287,0.0,-0.1476805628894986
0.7149357142857142,1.39872715828596,0.0,0.08648428375971735,-425.17960928021523,1.1667960986563477,0.0,-0.1469467017368622
0.7149321428571428,1.3987341455982336,0.0,0.08669467556225668,-1961.1076518463087,1.1667784079896324,0.0,-0.14780474197700283
0.7149285714285714,1.398741132980318,0.0,0.08571045567369909,10024.224627750307,1.16676071845157,0.0,-0.14678637405623388
0.7149249999999999,1.3987481204322134,0.0,0.08592227586994325,-8514.114049300708,1.1667430300436432,0.0,-0.14773952513047162
0.7149214285714285,1.398755107953921,0.0,0.08707399152143536,10183.207273208453,1.1667253427673376,0.0,-0.14882569203778945
0.7149178571428572,1.3987620955454425,0.0,0.08684752446147573,3485.2613549598027,1.166707656620587,0.0,-0.14733329865636455
0.7149142857142857,1.398769083206778,0.0,0.08645309106050758,-1470.464965948456,1.1666899716004724,0.0,-0.147139831747535
0.7149107142857143,1.398776070937929,0.0,0.08550696924063797,9213.463028493687,1.1666722877084679,0.0,-0.14625422007569497
0.7149071428571429,1.3987830587388972,0.0,0.08627038074461131,-19160.91223615186,1.1666546049460604,0.0,-0.1480485051242496
0.7149035714285714,1.3987900466096828,0.0,0.0863696890939829,-3502.5123798024442,1.1666369233147333,0.0,-0.148752161031918
0.7149,1.3987970345502867,0.0,0.08523825665512424,7659.517587172466,1.1666192428159723,0.0,-0.14761135946177317
0.7148964285714285,1.3988040225607106,0.0,0.08474838708896754,4321.813896703496,1.166601563451264,0.0,-0.1465188645276994
0.7148928571428571,1.3988110106409553,0.0,0.08602841763229359,2649.0054569952595,1.1665838852206942,0.0,-0.14721988884900905
0.7148892857142857,1.3988179987910216,0.0,0.08604901645847007,-2590.4625976953666,1.166566208119837,0.0,-0.14729926769136784
0.7148857142857142,1.3988249870109108,0.0,0.08621808822875483,5183.4424443894495,1.166548532149517,0.0,-0.14842366905469595
0.7148821428571428,1.3988319753006242,0.0,0.08482411170799377,-6998.674717672908,1.1665308573112125,0.0,-0.1465161729849719
0.7148785714285714,1.398838963660162,0.0,0.08539390190061763,-1478.9919685529483,1.1665131836065685,0.0,-0.14798903468856342
0.7148749999999999,1.3988459520895262,0.0,0.08462694023012833,7117.822816894533,1.1664955110365058,0.0,-0.14747903806307713
0.7148714285714285,1.3988529405887171,0.0,0.08423331618366509,-12172.750448101404,1.1664778396033395,0.0,-0.14706279686310203
0.7148678571428572,1.3988599291577364,-7.990589658478385e-13,0.08544482790800523,-4983.753933968995,1.1664601693099275,2.0673728581333886e-12,-0.1477718404982835
0.7148642857142857,1.398866917796585,-2.396370151994633e-12,0.08706146619630774,7879.563029359243,1.1664425001470455,-1.2446647195805949e-27,-0.15002295539415672
0.7148607142857143,1.398873906505263,-5.58964793340252e-12,0.08444050031179604,709.7797202491156,1.1664248321176682,-7.744107350546293e-27,-0.14623159926994347
