L,u,x,eig_min,eig_mid,eig_max,tracked_0,tracked_1,tracked_2,tracked0_psi,tracked0_dphi,tracked0_V
6,0.7099849962490622,1.4084804682959815,-0.16188299174804774,27.54048795097481,18853.996745159136,-0.16188299174804904,27.540487950974644,18853.996745159136,0.9960860852667249,-0.08838825798195389,-0.00016306111292498375
6,0.7099587396849212,1.4085325584467046,-0.1610653591525688,27.467007747809173,18718.37392875446,-0.16106535915259196,27.4670077478062,18718.37392875446,0.9960875393347288,-0.08837187109754895,-0.00016242168280219385
6,0.7099324831207802,1.4085846524504937,-0.16025128003502032,27.393849728221568,18583.96301555913,-0.16025128003501993,27.393849728221625,18583.96301555913,0.9960889986985776,-0.08835542144736164,-0.0001617792450212896
6,0.7099062265566392,1.408636750307776,-0.15944069530864763,27.321004198684193,18450.74451904126,-0.15944069530862895,27.321004198686587,18450.744519041258,0.9960904633218396,-0.08833890940676167,-0.00016113381734887564
6,0.7098799699924981,1.4086888520189798,-0.15863327491356943,27.24845513860265,18318.651751738682,-0.15863327491355317,27.24845513860473,18318.651751738675,0.9960919349768942,-0.08832231495219975,-0.00016048511154889358
6,0.709853713428357,1.4087409575845324,-0.1578289899427336,27.176194202671752,18187.671682616514,-0.15782898994273808,27.176194202671187,18187.67168261651,0.9960934134808797,-0.0883056400994145,-0.00015983316914015028
6,0.709827456864216,1.4087930670048616,-0.15702782332374665,27.104220998816913,18057.793741651018,-0.15702782332375614,27.104220998815695,18057.79374165102,0.9960948989168933,-0.08828888386488977,-0.00015917800192144233
6,0.709801200300075,1.4088451802803952,-0.15622975546360954,27.032536021732287,17929.007053651105,-0.1562297554636085,27.03253602173242,17929.007053651105,0.9960963914283096,-0.08827204458395613,-0.00015851961374082062
6,0.709774943735934,1.4088972974115608,-0.15543478639957498,26.961136837392615,17801.30408814103,-0.1554347863995934,26.961136837390256,17801.304088141034,0.9960978908742467,-0.08825512379863987,-0.00015785804994978926
6,0.709748687171793,1.4089494183987863,-0.15464280264628882,26.890016035102196,17674.65788235279,-0.15464280264628252,26.890016035103,17674.657882352785,0.9960993977780814,-0.08823811555348039,-0.00015719323809992424
6,0.7097224306076519,1.4090015432425005,-0.1538534674135668,26.819152165456476,17549.003615449383,-0.1538534674135865,26.81915216545397,17549.003615449386,0.9961009137972421,-0.0882210010839671,-0.00015652489294533717
6,0.7096961740435108,1.4090536719431306,-0.15306685831404915,26.74854858796757,17424.34818948119,-0.1530668583140589,26.74854858796632,17424.34818948119,0.9961024384670837,-0.08820378557484995,-0.00015585312165892465
6,0.7096699174793698,1.409105804501105,-0.15228332813636516,26.678229727696614,17300.745113866207,-0.15228332813639162,26.678229727693232,17300.745113866215,0.9961039700852455,-0.08818648819470755,-0.00015517827594367395
6,0.7096436609152288,1.409157940916851,-0.15150318646772595,26.608216251934618,17178.239473796384,-0.15150318646771702,26.608216251935744,17178.23947379638,0.9961055070890925,-0.08816912654847742,-0.0001545006809805917
6,0.7096174043510878,1.4092100811907984,-0.1507267607426102,26.538530370302603,17056.878431530877,-0.1507267607425992,26.538530370303988,17056.87843153088,0.9961070478121279,-0.08815171942851703,-0.0001538206852442934
6,0.7095911477869468,1.4092622253233744,-0.14995434698331742,26.469192557890644,16936.70291076175,-0.14995434698330828,26.469192557891787,16936.702910761745,0.9961085907287389,-0.08813428404979809,-0.00015313861394117316
6,0.7095648912228056,1.4093143733150078,-0.14918640252796594,26.400230416410555,16817.779838839964,-0.1491864025279635,26.40023041641086,16817.779838839964,0.9961101333092273,-0.08811684899128984,-0.00015245497437668798
6,0.7095386346586646,1.4093665251661267,-0.14842288304749862,26.331643107425236,16700.09173546376,-0.14842288304749654,26.331643107425506,16700.09173546376,0.9961116757333325,-0.08809941222089943,-0.00015176977395650176
6,0.7095123780945236,1.4094186808771596,-0.14766319434083613,26.26339032747073,16583.530289928018,-0.14766319434082603,26.263390327472024,16583.530289928018,0.9961132208399347,-0.08808194163373698,-0.00015108250140717349
6,0.7094861215303826,1.4094708404485352,-0.14690670595265282,26.195427802366947,16467.98304475348,-0.1469067059526778,26.195427802363746,16467.983044753484,0.9961147716377141,-0.08806440317863316,-0.00015039260425181282
6,0.7094598649662416,1.4095230038806823,-0.1461527950475458,26.127714588131482,16353.340842870542,-0.14615279504752773,26.12771458813379,16353.340842870537,0.9961163312840194,-0.0880467610950193,-0.00014969950715434293
6,0.7094336084021005,1.4095751711740292,-0.14540083016166552,26.060205538649157,16239.494915870935,-0.14540083016166738,26.060205538648926,16239.494915870933,0.9961179028750516,-0.08802898028504635,-0.00014900263097800497
6,0.7094073518379594,1.4096273423290049,-0.14465024025226908,25.992863405226675,16126.348321990406,-0.14465024025224543,25.99286340522969,16126.348321990403,0.9961194894319668,-0.08801102647104081,-0.00014830142071268804
6,0.7093810952738184,1.4096795173460377,-0.1439011006144015,25.925694780511176,16013.910168733677,-0.143901100614408,25.925694780510355,16013.910168733679,0.9961210907115005,-0.08799290229993514,-0.00014759595138398823
6,0.7093548387096774,1.409731696225557,-0.1431538990721254,25.858729931131435,15902.255555049021,-0.14315389907212464,25.858729931131542,15902.25555504902,0.9961227041342108,-0.0879746368712818,-0.00014688673690635838
6,0.7093285821455364,1.4097838789679915,-0.14240888084708014,25.79198652288627,15791.419497935398,-0.14240888084710432,25.791986522883164,15791.419497935402,0.9961243285078425,-0.08795624359845015,-0.00014617403809972392
6,0.7093023255813953,1.4098360655737707,-0.1416663319961242,25.725482719903844,15681.442726381294,-0.14166633199614304,25.725482719901407,15681.442726381296,0.996125962298025,-0.08793773978078104,-0.00014545817606871622
6,0.7092760690172543,1.4098882560433228,-0.1409265179283953,25.659237006136244,15572.361926212714,-0.14092651792838987,25.65923700613693,15572.36192621271,0.9961276041273497,-0.0879191409534799,-0.0001447394493645514
6,0.7092498124531132,1.4099404503770772,-0.14018974128988193,25.59327015484296,15464.21890397408,-0.14018974128990405,25.593270154840116,15464.21890397408,0.9961292523844751,-0.08790046531562828,-0.0001440182030217759
6,0.7092235558889722,1.4099926485754632,-0.139456049088833,25.52758314008203,15357.014373175894,-0.13945604908883846,25.52758314008133,15357.014373175898,0.9961309066663572,-0.08788171738613301,-0.0001432945393625849
6,0.7091972993248312,1.41004485063891,-0.1387251467724488,25.46215691046417,15250.695615004624,-0.13872514677244766,25.462156910464312,15250.69561500462,0.9961325685271244,-0.08786287949905182,-0.00014256819072936772
6,0.7091710427606901,1.4100970565678472,-0.1379969516393641,25.39698618400422,15145.24375148458,-0.1379969516393627,25.396986184004387,15145.24375148458,0.9961342383887022,-0.08784394681153444,-0.00014183910730750118
6,0.7091447861965491,1.4101492663627035,-0.13727146050801045,25.33206958404487,15040.652445993677,-0.13727146050799433,25.332069584046945,15040.65244599367,0.9961359161835938,-0.08782492002725532,-0.00014110732931541572
6,0.7091185296324081,1.4102014800239089,-0.1365486572164612,25.267407024106898,14936.913462169035,-0.1365486572164745,25.267407024105193,14936.91346216904,0.9961376020147653,-0.0878057979163655,-0.0001403728720596076
