u_requested,u_grid,direction,dE00,dE11,dJA,dEphi_identity,da1,dlambda_L6,dlambda_L20,dlambda_L42,dlambda_L1000
0.7013,0.7012940735183796,f2,-0.610008287793562,-0.6100082878823798,0.0,-16.854091586537834,0.0,1.4051260155412136e-11,1.3684528770568916e-10,-4.466912950640278e-12,4.336808689942017e-14
0.7013,0.7012940735183796,f2X,0.0,-0.3770650254253382,0.0,-10.79379568409422,0.0,1.4051260155412136e-11,1.3684528770568916e-10,-4.466912950640278e-12,4.336808689942017e-14
0.7013,0.7012940735183796,f2F,1.4810348533345061,1.4810348533345061,3.1679863494819394,6.995138880938611,0.0,-1.4017037313837631e-08,-5.6674744107823574e-09,-1.8929175176103652e-08,-6.211047301474259e-09
0.7013,0.7012940735183796,f3,-0.9775393411182164,-2.932618023443467,-4.181982999471968,-10.584798565105302,0.0,-0.09371997901894731,-0.09326533061772604,-0.09143245007361217,-0.0012043892418334779
0.7013,0.7012940735183796,f3X,0.0,0.6042473582823504,0.0,28.607204410491246,0.0,-1.6639063716260283e-08,1.2923066479778032e-09,4.331116628536468e-11,2.38524477946811e-13
0.7013,0.7012940735183796,f4,1.8697580309812165,-0.2178679357062174,7.9989581690922105,-51.66007061916388,0.0,-0.09996830675473031,-0.09948354470177839,-0.09752941678410024,-0.0012912629682916377
0.7013,0.7012940735183796,f4X,0.16130328761576607,-0.3492389404391449,0.6900669650386356,-30.78499033790649,0.0,0.030929037203410233,0.030778295906017102,0.030170668461547118,0.00039420589084309456
0.7013,0.7012940735183796,f4XX,0.0,-0.09970656044966385,0.0,-5.644881048283422,0.0,-6.254076575194777e-09,7.446110785250258e-10,1.2132222310112795e-10,-3.252606517456513e-13
0.7013,0.7012940735183796,H_G2XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7013,0.7012940735183796,H_G3XX_TUBULAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.703,0.7030007501875468,f2,-0.6040845208943324,-0.604084520539061,0.0,1.622551508262404,0.0,2.8727020762175925e-10,-2.942091015256665e-10,5.517808432387027e-09,-4.884981308350689e-10
0.703,0.7030007501875468,f2X,0.0,-0.3764871951972281,0.0,0.9470195436733774,0.0,2.8727020762175925e-10,-2.942091015256665e-10,5.517808432387027e-09,-4.884981308350689e-10
0.703,0.7030007501875468,f2F,1.488179076147844,1.488179076147844,3.175899745698564,7.500085416722867,0.0,-3.0423708691218462e-05,-0.0003481942126987158,-0.014023810490648712,-0.00040758343367031097
0.703,0.7030007501875468,f3,-0.9958790455399934,-2.98763713661998,-4.250579863877596,-11.75333948140178,0.0,-0.11096692480797031,-0.2404284712934773,-11.625985900742817,-15.926211382666365
0.703,0.7030007501875468,f3X,0.0,0.6206676314235438,0.0,10.39565518112795,0.0,-5.381112222480056e-10,1.6403545188836688e-08,5.065503572154739e-07,-3.5527136788005004e-10
0.703,0.7030007501875468,f4,1.8725776618211396,-0.2660515162511423,7.99247753933634,5.0296838708163705,0.0,-0.13561328288287655,-0.2994756761468681,-14.224397524353892,-17.17928646804978
0.703,0.7030007501875468,f4X,0.16660882566910118,-0.3340136053797682,0.7111145905688985,0.5927168786001857,0.0,0.03711637192524431,0.08030124272473405,3.8844137721594225,5.328943681170983
