u,shape,delta_G4XX,delta_G3X,delta_G2,delta_G2X,delta_a1,delta_c4,delta_E00_linear,delta_E11_linear,delta_E22_linear,local_background_rank
0.7069917479369843,0.41162460716281,0.2760464576669825,0.23436354713597213,-1.5659535043856294e-12,-0.19572148120554758,0.09466827940228591,0.12513112182439542,1.8008339127149175e-15,1.734723475976807e-18,-1.8232108869978286e-15,2
0.7069654913728431,0.4530723857844101,0.3033721485908307,0.25911125131556906,-1.5229307958529284e-13,-0.21471209947611306,0.10413117592117904,0.13767490143157698,7.364986140615635e-18,-4.0939474033052647e-16,-3.547065640845873e-16,2
0.7069392348087021,0.4928190473097112,0.32946888987180195,0.283090157207276,1.4797533237554005e-12,-0.23276775311510312,0.11319038650903301,0.14969128223905984,-1.6119009812374646e-15,1.734723475976807e-17,1.6618653482912038e-15,2
0.7069129782445611,0.5307769345034031,0.3542822324524569,0.3062361068753853,3.022252017317054e-13,-0.2498553597887,0.12182652948503123,0.1611541959762542,6.124998988997516e-19,6.696032617270475e-16,6.299441665938203e-16,2
0.7068867216804201,0.5669076835656692,0.37779107299457043,0.3285126449180596,-4.08558558455907e-12,-0.2659655409641351,0.1300315904191451,0.172052589458089,4.164576351532008e-15,-3.8163916471489756e-17,-4.077269281488542e-15,2
0.7068604651162791,0.6012077351583277,0.39999753350975303,0.3499037590939887,5.201184777729028e-12,-0.2811050931097049,0.13780553617003719,0.1823859629586103,-5.008724318068614e-15,-1.0408340855860843e-16,5.016527775948995e-15,2
0.706834208552138,0.6336976644493815,0.4209201010933197,0.3704070546507671,-4.060153938156727e-12,-0.2952924182723526,0.1451538939511679,0.19216117871883828,3.757597409807306e-15,-3.122502256758253e-17,-3.789542872538546e-15,2
0.706807951987997,0.6644143606121209,0.44058817589955,0.3900298158037448,3.368376267401901e-12,-0.30855347126424876,0.15208592562153006,0.2013900529873833,-2.995281709861317e-15,3.122502256758253e-17,3.0946499490419567e-15,2
0.7067816954238559,0.6934053184635961,0.45903798550457,0.40878635655350437,-4.0547656299837175e-12,-0.32091864737534126,0.1586132836044072,0.21008758222122498,3.4733997140646327e-15,1.1796119636642288e-16,-3.4703709027648023e-15,2
0.7067554388597149,0.7207244899645892,0.4763098939355692,0.4266954083459027,4.599090282888635e-12,-0.33242097387247893,0.16474906796186736,0.21827069780094732,-3.7093592129771336e-15,5.898059818321144e-17,3.74686476358991e-15,2
0.7067291822955739,0.7464292853612406,0.49244653753504003,0.4437780533223688,-2.215207740018551e-12,-0.34309492141978964,0.17050715421472054,0.2259573775990863,1.6536952907472912e-15,7.28583859910259e-17,-1.7360027123364002e-15,2
0.7067029257314328,0.7705784205849402,0.5074913595394314,0.46005654775083055,-3.083087619009821e-13,-0.3529753463566379,0.17590169588401366,0.23316598786594178,-4.0000985356834603e-17,-3.8163916471489756e-16,-4.766581442800568e-16,2
0.7066766691672918,0.7932303869676826,0.5214872059375816,0.4755542928095175,4.344400314297749e-12,-0.36209619639365676,0.18094672976631979,0.23991476046746513,-3.100452118332116e-15,7.806255641895632e-17,3.0655475294628977e-15,2
0.7066504126031508,0.8144423780382327,0.5344761242703808,0.4902940202387481,-8.979276716215912e-12,-0.37049080075976265,0.18565598991168877,0.24622154567944562,6.098802200449324e-15,5.551115123125783e-17,-6.1991578670749195e-15,2
0.7066241560390097,0.8342695514193667,0.5464985331985805,0.5042981192810727,8.506083830356854e-12,-0.37819101592560905,0.19004270009690097,0.2521035364832728,-5.40045609000277e-15,-3.2959746043559335e-17,5.490441727930198e-15,2
0.7065978994748687,0.8527645356986291,0.557593178409843,0.5175877051347924,-7.58357381519369e-12,-0.3852274240359929,0.1941194938582885,0.2575771614285493,4.698317545558596e-15,-2.1163626406917047e-16,-4.5719979104838065e-15,2
0.7065716429107276,0.8699771156012075,0.5677967196405976,0.5301828751573012,6.9323895863784964e-12,-0.39162888775613935,0.19789831995676857,0.26265795820281845,-3.885391262719459e-15,2.6020852139652106e-17,3.868294932136099e-15,2
0.7065453863465866,0.8859540460930821,0.577143552025423,0.5421026947466107,-3.693750311877637e-12,-0.39742239555999354,0.2013903947683534,0.26736050924062754,2.0133446875862225e-15,2.7755575615628914e-17,-1.943336332744554e-15,2
0.7065191297824456,0.9007389588225178,0.5856661344272978,0.5533642996572367,-5.780167645432366e-14,-0.4026335837837125,0.20460622492674013,0.2716984703711787,-1.0690255952226717e-16,-1.717376241217039e-16,-2.2069106427953555e-16,2
0.7064928732183046,0.9143723337619791,0.5933945804728897,0.5639837015881966,4.313396449955908e-12,-0.4072861659295679,0.2075555582142962,0.2756845045057214,-2.0053903091712677e-15,-1.214306433183765e-16,2.1285817360319216e-15,2
0.7064666166541635,0.9268915159262489,0.6003570755546724,0.5739749411603958,-7.990860014707435e-12,-0.4114025170650045,0.2102474325932562,0.27933034533578727,3.3698026938696704e-15,1.1882855810441129e-16,-3.362152813732126e-15,2
0.7064403600900224,0.9383307622479963,0.6065793267689528,0.5833513024188837,5.717964484148275e-12,-0.41500288876539393,0.21269012435166196,0.2826467273690173,-2.2632389180960292e-15,-2.3071822230491534e-16,2.2993058004482425e-15,2
0.7064141035258814,0.9487213075648347,0.6120851229371551,0.5921242729544124,9.681140053754898e-13,-0.4181061672407453,0.21489122023561727,0.2856434803444666,3.2298721951493954e-17,7.268491364342822e-16,7.458272682926007e-16,2
0.7063878469617404,0.958091441555959,0.6168966960649016,0.600302986809386,-4.937984874404139e-12,-0.42073031836880304,0.21685766807954826,0.28832959532646046,1.5898560103614893e-15,-1.2923689896027213e-16,-1.543529079361579e-15,2
0.7063615903975994,0.9664665906123776,0.6210338604577335,0.607896093450204,3.831432705538647e-12,-0.42289118517989777,0.21859569822305833,0.2907131193218952,-3.6397857949574543e-19,2.0513105103425744e-15,2.171517207919706e-15,2
0.7063353338334584,0.9738694002259215,0.6245146354771876,0.6149106519445843,-1.1540529692039895e-12,-0.42460330768409926,0.2201109040402198,0.29280126102807147,3.70592790474394e-17,-5.375474371183131e-16,-5.869561957224927e-16,2
0.7063090772693172,0.9803198146713853,0.6273554771815228,0.6213518391359609,-2.305953323576386e-12,-0.42588019006528327,0.22140827903940258,0.2946004391114455,1.932822124592749e-17,-1.252145089003509e-15,-1.0602537466111269e-15,2
