quantity,interface_max,interface_median,global_max,global_median
F_tensor,6.017408793467986e-14,8.881784197001244e-16,0.0003617983159630089,1.6076356273977303e-05
G_tensor,5.995204332975845e-14,9.992007221626409e-16,0.00036187019354716465,1.6076406833209766e-05
H_tensor,5.995204332975845e-14,9.992007221626409e-16,0.00036187019354716465,1.6076406833209766e-05
a1,5.2735593669694936e-15,5.551115123125783e-17,1.4324639146345236e-08,6.325786292352142e-11
c4,2.0793451430134446e-07,1.3925433861583514e-09,3.684641673509221e-06,5.862571897450525e-10
