x,u,S_SVT,T_H,v5_target,c3_target,e3_target
1.4084507042253522,0.71,1.0,0.0,-3873.246322762169,337.2044016680054,323.0873587659583
1.4084436194988958,0.7100035714285714,1.0,0.0,-3875.7017961419433,337.41151421706394,323.0873587659583
1.4084365348437138,0.7100071428571428,1.0,2.6839749522833237e-304,-3878.1572448189722,337.6186246825126,323.0873587659583
1.408429450259805,0.7100107142857143,1.0,5.81391784185982e-203,-3880.6126687936403,337.8257330643838,323.0873587659583
1.4084223657471682,0.7100142857142857,1.0,2.7068875392477417e-152,-3883.068068066332,338.0328393627101,323.0873587659583
1.4084152813058022,0.7100178571428571,1.0,6.813906349139147e-122,-3885.5234426375105,338.2399435775303,323.0873587659583
1.408408196935706,0.7100214285714286,1.0,1.261201982049982e-101,-3887.978792507482,338.44704570887046,323.0873587659583
1.408401112636879,0.710025,1.0,3.780771980903847e-87,-3890.4341176765547,338.6541457567566,323.0873587659583
1.4083940284093197,0.7100285714285713,1.0,2.7243072992043798e-76,-3892.889418145114,338.861243721221,323.0873587659583
1.408386944253027,0.7100321428571428,1.0,7.589008368830579e-68,-3895.3446939136215,339.0683396023028,323.0873587659583
1.4083798601679998,0.7100357142857142,1.0,4.3270452427365604e-61,-3897.7999449824615,339.2754334000343,323.0873587659583
1.408372776154237,0.7100392857142857,1.0,1.4584470544636752e-55,-3900.255171351942,339.48252511444156,323.0873587659583
1.4083656922117378,0.7100428571428571,1.0,5.893314713808991e-51,-3902.710373022448,339.689614745557,323.0873587659583
1.4083586083405009,0.7100464285714285,1.0,4.657898707562051e-47,-3905.165549994364,339.89670229341306,323.0873587659583
1.4083515245405254,0.71005,1.0,1.021487612915032e-43,-3907.6207022679982,340.10378775803576,323.0873587659583
1.40834444081181,0.7100535714285714,1.0,8.032419613776531e-41,-3910.0758298438122,340.310871139464,323.0873587659583
1.4083373571543538,0.7100571428571428,1.0,2.745036103763497e-38,-3912.5309327221134,340.51795243772375,323.0873587659583
1.4083302735681558,0.7100607142857143,1.0,4.722858779721721e-36,-3914.9860109032875,340.72503165284746,323.0873587659583
1.4083231900532145,0.7100642857142857,1.0,4.586604482155684e-34,-3917.4410643877954,340.9321087848742,323.0873587659583
1.408316106609529,0.7100678571428571,1.0,2.7518422481259385e-32,-3919.8960931759457,341.1391838338297,323.0873587659583
1.408309023237099,0.7100714285714286,1.0,1.0964147554910531e-30,-3922.3510972679683,341.34625679973357,323.0873587659583
1.4083019399359222,0.710075,1.0,3.0756905852052905e-29,-3924.8060766644794,341.55332768263776,323.0873587659583
1.4082948567059983,0.7100785714285714,1.0,6.372450786356833e-28,-3927.26103136571,341.76039648256176,323.0873587659583
1.4082877735473265,0.7100821428571428,1.0,1.0144536359963336e-26,-3929.715961371891,341.96746319952496,323.0873587659583
1.4082806904599043,0.7100857142857142,1.0,1.282403244016617e-25,-3932.1708666838686,342.17452783359875,323.0873587659583
1.408273607443732,0.7100892857142856,1.0,1.3234262928074546e-24,-3934.625747301566,342.38159038477676,323.0873587659583
1.4082665244988082,0.7100928571428571,1.0,1.1413664051632403e-23,-3937.080603225522,342.5886508531043,323.0873587659583
1.4082594416251315,0.7100964285714285,1.0,8.391927687557663e-23,-3939.5354344561215,342.79570923861394,323.0873587659583
1.4082523588227012,0.7101,1.0,5.35098260820611e-22,-3941.9902409936717,343.00276554133154,323.0873587659583
1.4082452760915158,0.7101035714285714,1.0,3.002896513533945e-21,-3944.445022838635,343.2098197612961,323.0873587659583
1.4082381934315749,0.7101071428571428,1.0,1.5022034598187826e-20,-3946.899779991242,343.4168718985271,323.0873587659583
