u,x,f,R,rank1_scaled,eq46_11,eq46_13,eq46_33,eq46_vec,ks,kg,ksg,ms,mg,msg,q2,B1,B2,disc,cminus,cV,cplus,root_min,alpha7_scaled,trusted
0.7099849962490622,1.4084804682959815,0.2927168974869094,-0.005676435728980167,5.163406718215603e-16,2.813508533051749e-10,1.3732824784505922e-10,1.7706581783597275e-16,3.6073697028358497e-16,-53.08907571318387,12.816082403762511,-36.23939894355321,85996.23503503943,-5133.15727993917,-1535.4560315726676,-1993.6880048697572,-633.6805957812862,222597.42951673982,-488838.6205972334,-316.8402978906431,0.03847065577144687,-316.8402978906431,-316.8402978906431,0.14073387551117217,False
0.7099587396849212,1.4085325584467046,0.2927379803038977,-0.005694329500303999,3.89184959482159e-16,6.53894967053358e-11,3.2202519687735955e-11,1.777881795093613e-16,1.7980134868680932e-16,-52.1713091563683,13.274739869562236,-35.54696853230588,85214.76162651311,-20602.491406356374,33100.018374039915,-1956.1475295420441,-2330.7410593821714,1457583.115489368,-397978.57606754545,-1165.3705296910857,0.03859200142037801,-1165.3705296910857,-1165.3705296910857,0.14143711124933103,False
0.7099324831207802,1.4085846524504937,0.292759069666533,-0.005712253550803196,1.3037762799395048e-16,1.5092738221101963e-10,7.558325197399814e-11,0.0,1.7923681788300574e-16,-51.24794032220084,13.735646960786204,-34.850327813123634,84219.5860786749,-19248.631967893427,29145.148243501517,-1918.4689644153693,-2176.0577117822945,1287772.4523447189,-415862.64437168,-1088.0288558911473,0.03871355219236536,-1088.0288558911473,-1088.0288558911473,0.1421175778639589,False
0.7099062265566392,1.408636750307776,0.2927801655716225,-0.005730208729869365,1.3103320200237204e-16,1.189788773389295e-11,5.924635250959166e-12,3.584748372822792e-16,1.7867485074037876e-16,-50.32299010581386,14.196478115673585,-34.15253190942338,83341.21606608812,-16415.92823733193,25556.08237802288,-1880.804663576627,-1996.4115651069192,1074665.9702669438,-313004.74377511675,-998.2057825534596,0.0388353138405007,-998.2057825534596,-998.2057825534596,0.1427749280381274,False
0.7098799699924981,1.4086888520189798,0.2928012680159687,-0.00574820204972727,2.6339085071217e-16,5.69071203173187e-12,2.928075716472459e-12,3.5992929124110997e-16,3.562304301589201e-16,-49.39712247576139,14.65678673128032,-33.45411033784987,82503.10603242199,-16845.985461237422,25325.60370741927,-1843.1805877632019,-2026.8576737638368,1102025.6730998715,-299950.6627041339,-1013.4288368819184,0.03895733388532627,-1013.4288368819184,-1013.4288368819184,0.1434093065242752,False
0.709853713428357,1.4087409575845324,0.2928223769963696,-0.005766233824028632,2.647287509617738e-16,4.550287266728722e-11,2.2792500487620155e-11,3.61387457704541e-16,3.551157810371667e-16,-48.4706722441802,15.116345941346923,-32.75534230060248,81668.83853593985,-15977.746069455881,25084.61535697524,-1805.6118988823082,-2022.7474332245824,1071172.5441770065,-193182.99809138943,-1011.3737166122912,0.039079614449356155,-1011.3737166122912,-1011.3737166122912,0.14402090764662132,False
0.709827456864216,1.4087930670048616,0.2928434925096192,-0.005784304068394522,3.991203459151261e-16,4.453040666702685e-11,2.2184941487226616e-11,1.8142466894308847e-16,0.0,-47.544026259911035,15.574901867346512,-32.05654593137673,80848.30719270128,-16948.853372882815,24575.06486235575,-1768.115680427126,-2059.030759049093,1116567.1674643813,-226661.00314724166,-1029.5153795245465,0.039202155635252936,-1029.5153795245465,-1029.5153795245465,0.14460994134170727,False
0.709801200300075,1.4088451802803952,0.292864614552507,-0.00580241285403546,0.0,1.9692289246970563e-12,1.070255713883623e-12,1.8215746896168436e-16,1.764501291418348e-16,-46.61749698947804,16.032243106432993,-31.35798334116378,80034.6675561413,-15629.384019473111,24791.08151221295,-1730.7061639734254,-2060.739555944266,1077878.1028710944,-64864.894051006064,-1030.369777972133,0.03932495792241433,-1030.369777972133,-1030.369777972133,0.14517664320216447,False
0.709774943735934,1.4088972974115608,0.2928857431218189,-0.0058205598176714855,1.3441220174682186e-16,5.019401807854103e-11,2.5180860336569134e-11,3.6578422511362445e-16,3.5179936062586867e-16,-45.691807557866326,16.48792779672519,-30.66022588501723,79230.00207188775,-16426.114022970065,23109.43623032333,-1693.412675236243,-2051.4541522882937,1083898.2829157691,-127128.99272219464,-1025.7270761441468,0.03944801884552938,-1025.7270761441468,-1025.7270761441468,0.14572120320806742,False
0.709748687171793,1.4089494183987863,0.2929068782143356,-0.005838747244034055,8.10652529302772e-16,3.218874498617179e-11,1.611288142653612e-11,1.8362870182829778e-16,1.7535144043670353e-16,-44.76728718447373,16.94172701191625,-29.96354876127296,78496.81453563663,-12723.49038337033,19497.82436129747,-1656.249412912593,-1852.3271611193354,832554.9334194107,100896.17814277345,-1084.9843743358397,0.03957135388580942,-767.3427867834957,-1084.9843743358397,0.1462439012015283,False
0.7097224306076519,1.4090015432425005,0.292928019826834,-0.005856982744732529,1.3581278080296e-16,1.8820231899943993e-10,9.425186224440883e-11,7.374703101063769e-16,8.740258656074202e-16,-43.84403024815875,17.393519656920656,-29.268052510320317,77812.9481889013,-13405.244903091354,19900.14169463016,-1619.2208997068406,-1918.242156846276,888771.425091345,124567.27193687297,-1135.591523496012,0.03969501462685499,-782.650633350264,-1135.591523496012,0.14674505364343599,False
0.7096961740435108,1.4090536719431306,0.2929491679560867,-0.005875264277730342,2.7304848707298653e-16,7.154916825641356e-11,3.601483029464365e-11,3.702172974511078e-16,3.4852186794784955e-16,-42.92297593236205,17.84275324778481,-28.574469786041597,77070.21585831408,-17076.960590005536,23595.43436126841,-1582.3643917751463,-2184.448084886176,1183589.2992204728,37456.23868099041,-1188.9921139865862,0.03981898722604986,-995.4559708995896,-1188.9921139865862,0.1472248714095989,False
0.7096699174793698,1.409105804501105,0.2929703225988619,-0.005893583163957392,0.0,1.1472319311163599e-10,5.709167939853097e-11,7.434061077005781e-16,6.948758907742101e-16,-42.00418019233952,18.289410428921215,-27.882864075562882,76254.70081533585,-17722.524033586178,26872.174419631523,-1545.6858003243756,-2353.401956637962,1341501.3099542363,172495.5296904426,-1384.3638840643516,0.0399432128587804,-969.0380725736104,-1384.3638840643516,0.1476837524823897,False
0.7096436609152288,1.409157940916851,0.2929914837519243,-0.005911931565535048,6.898406160533627e-16,9.948258568688574e-11,4.959147866495759e-11,0.0,1.7317950797209748e-16,-41.08799987264381,18.733297201027007,-27.19352620348305,75375.14428076417,-21301.894088082558,29520.788904906163,-1509.2015803895156,-2579.394260388632,1641338.2745540752,87921.65230951738,-1437.9550577306854,0.04006763840110469,-1141.4392026579467,-1437.9550577306854,0.1481220358020297,False
0.7096174043510878,1.4092100811907984,0.2930126514120332,-0.005930301031847042,5.547995312656528e-16,7.590783058161324e-11,3.7972936659077454e-11,0.0,1.7264277070238526e-16,-40.17541557386697,19.17387041453787,-26.50721595803732,74440.62904485926,-22511.378879550793,32879.80469371966,-1472.9507099095604,-2766.4355069347625,1871646.310097736,166580.17363845278,-1587.2889258793934,0.04019220657590708,-1179.146581055369,-1587.2889258793934,0.14853998314865777,False
0.7095911477869468,1.4092622253233744,0.2930338255759441,-0.005948683685663564,5.577509945826829e-16,4.3340707814203566e-13,2.812354259611365e-13,0.0,1.7210896922255215e-16,-39.266504848534076,19.61109752287219,-25.824012286580576,73421.6765478264,-26405.427919524933,37475.29316090782,-1436.9388665443998,-3070.5922759077207,2326562.7112933197,122286.07969087735,-1710.1432709664418,0.040316863991757594,-1360.4490049412789,-1710.1432709664418,0.14893804433645755,False
0.7095648912228056,1.4093143733150078,0.2930550062404087,-0.005967067529468238,8.410871941307272e-16,6.97668409730748e-11,3.483486535088688e-11,1.8883371212275902e-16,3.431568498301766e-16,-38.361700729678205,20.044763154265656,-25.144259936150377,72346.20950561755,-26249.998561077293,37181.41440437454,-1401.1850130579164,-3088.0686564832004,2341978.7122687763,168253.1780788526,-1749.127708241329,0.040441529331797905,-1338.9409482418714,-1749.127708241329,0.14931661788431738,False
0.7095386346586646,1.4093665251661267,0.293076193402174,-0.005985452614733552,1.4093027208872054e-16,7.006921412778638e-11,3.5086865835368426e-11,1.8958020467044202e-16,0.0,-37.461509946718664,20.474555244519568,-24.468363522956906,71363.4745669824,-21565.010779976456,30833.98209384249,-1365.7085684387787,-2766.2617933791266,1823001.3398415293,360198.9501429852,-1683.2137811327557,0.04056620294022784,-1083.048012246371,-1683.2137811327557,0.14967610032128859,False
0.7095123780945236,1.4094186808771596,0.2930973870579829,-0.006003852648878489,4.2505694754947564e-16,7.812659071050122e-12,4.017371826309383e-12,0.0,1.7052659566588896e-16,-36.5660578407186,20.900317486403804,-23.79644512800398,70532.53824271914,-17940.9601658989,24076.173324330495,-1330.5130188273283,-2462.236188591313,1386745.9805705366,515623.1261265287,-1590.1526073046875,0.04069097771413048,-872.0835812866253,-1590.1526073046875,0.1500169849459261,False
0.7094861215303826,1.4094708404485352,0.293118587204574,-0.006022282576562833,5.697923009500588e-16,2.740100196380988e-11,1.3506332687432814e-11,1.9107624092172308e-16,0.0,-35.67553278233783,21.32185499604842,-23.128674042579277,69838.64553266583,-12596.415877349264,18105.37965741226,-1295.6040998596595,-2142.614530216308,932014.1825038034,862740.2950788373,-1535.7263363893724,0.040815954936608806,-606.8881938269358,-1535.7263363893724,0.15033977844935892,False
0.7094598649662416,1.4095230038806823,0.2931397938386822,-0.006040757485902633,2.864366140465871e-16,9.571994406676171e-11,4.81035512148266e-11,1.9182713149185687e-16,1.6948422752846935e-16,-34.79028005609267,21.738886452528938,-22.465336951306355,69279.82673722557,-9952.600199862965,11186.727461614737,-1260.9933121268114,-1867.533488162839,646044.0994392065,903504.9316528342,-1409.0311262027903,0.04094123686371735,-458.50236196004846,-1409.0311262027903,0.1506449800344976,False
0.7094336084021005,1.4095751711740292,0.2931610069570373,-0.006059293047528754,5.759885364099297e-16,2.7875133491438895e-12,1.1836436562051467e-12,1.9258086747460677e-16,1.6896549010521046e-16,-33.910457995906654,22.151237594115617,-21.806578854157483,68866.97782976946,-3925.32856414428,5120.909601543258,-1226.6854933151942,-1534.164646120123,241748.37964963622,1386667.6428063377,-1355.8665880515646,0.04106692970018054,-178.29805806855848,-1355.8665880515646,0.15093317145141444,False
0.7094073518379594,1.4096273423290049,0.2931822265563656,-0.006077903741846093,5.791411854637077e-16,1.0872710910485687e-10,5.416661452314729e-11,3.866762026204181e-16,3.368956734766945e-16,-33.03612013580383,22.55880201679347,-21.152464407133788,68520.17806463136,-6360.1541497036,5906.982446917919,-1192.6820440416645,-1681.7075679402246,394649.4699369753,1249542.4643195244,-1399.7684608930583,0.04119313158461941,-281.9391070471663,-1399.7684608930583,0.15120500116302651,False
0.7093810952738184,1.4096795173460377,0.293203452633389,-0.006096587917876053,1.4558276928822898e-16,2.700351772007284e-11,1.3404197245105483e-11,1.9409876080148383e-16,1.679313221122402e-16,-32.16757841354083,22.961401399243073,-20.503245534405494,68092.13061721287,-8952.39121564899,10770.994260199113,-1158.9957574390564,-1978.5647659743454,626060.7122056327,1410475.6843325854,-1583.0996285123817,0.04131983132526927,-395.46513746196365,-1583.0996285123817,0.1514610980648835,False
0.7093548387096774,1.409731696225557,0.2932246851848249,-0.006115333325182902,1.4638901849332786e-16,5.121346111521061e-12,2.5330177280579215e-12,1.9486229667500986e-16,1.674162897790951e-16,-31.305650354356914,23.358619455094896,-19.859549798113996,67584.5601300625,-11708.639235239287,13455.62077848611,-1125.6584916054494,-2202.8650318579225,863829.4564658161,1397296.522719141,-1692.4690043793657,0.04144694589196225,-510.3960274785567,-1692.4690043793657,0.15170198068411803,False
0.7093285821455364,1.4097838789679915,0.2932459242073866,-0.006134133650052164,1.1776302870025906e-15,7.152209496016412e-13,3.555197196222584e-13,5.86885278186101e-16,5.007087400776064e-16,-30.450311400017945,23.750492710723062,-19.221371613357924,67033.35655295648,-13262.896328919003,15594.781467483981,-1092.6710256441754,-2375.317628257914,1036225.5802403069,1497231.5141515732,-1799.4658740243894,0.04157443249042394,-575.8517542335245,-1799.4658740243894,0.15192846399311283,False
0.7093023255813953,1.4098360655737707,0.2932671696977842,-0.006152981386427486,7.401337813515027e-16,2.518657969319645e-12,1.2729747354170805e-12,0.0,0.0,-29.601452107224382,24.13711065987316,-18.5886406040089,66428.5487214481,-14981.369984898645,18450.039492708645,-1060.0310847100188,-2578.0242518454033,1259957.9790660127,1606377.1268390007,-1922.7267949258344,0.0417022402449052,-655.2974569195688,-1922.7267949258344,0.15214143998454108,False
