r_over_rs,u,f,h,tensor_F_target,tensor_H,a4,eq85_required_A0prime2_v8
1.4084507042253522,0.71,0.2927048531030057,0.3891074914487804,1.0,1.0,0.1687406672425132,1.733689982887512
1.4085316624209565,0.7099591913192917,0.292737617606872,0.3889391512092136,0.9999999999632734,0.9999999999632734,0.1687136038607001,1.7319792301030326
1.4086126206165608,0.7099183873294364,0.2927703941537707,0.3887710426887766,0.9999999997063516,0.9999999997063516,0.1686865816660583,1.7302681239070237
1.408693578812165,0.7098775880296249,0.2928031827269134,0.3886031660079583,0.9999999990094912,0.9999999990094912,0.1686596006750555,1.7285550307989082
1.4087745370077691,0.7098367934190487,0.2928359833094964,0.3884355212864436,0.9999999976534378,0.9999999976534378,0.1686326609041228,1.7268400886737951
1.4088554952033738,0.7097960034968995,0.2928687958847011,0.3882681086431061,0.9999999954194314,0.9999999954194314,0.1686057623696541,1.7251235054537137
1.408936453398978,0.7097552182623691,0.2929016204356944,0.3881009281960095,0.9999999920891992,0.9999999920891992,0.1685789050880044,1.723405005362614
1.4090174115945824,0.7097144377146496,0.2929344569456282,0.3879339800624122,0.99999998744496,0.99999998744496,0.1685520890754908,1.7216846245272608
1.4090983697901869,0.7096736618529329,0.2929673053976391,0.387767264358763,0.9999999812694192,0.9999999812694192,0.1685253143483907,1.7199627283598726
1.409179327985791,0.7096328906764117,0.2930001657748503,0.3876007812006986,0.9999999733457718,0.9999999733457718,0.1684985809229411,1.7182387295002397
1.4092602861813952,0.7095921241842782,0.2930330380603689,0.3874345307030524,0.9999999634577006,0.9999999634577006,0.1684718888153396,1.7165131161869034
1.4093412443769997,0.7095513623757254,0.2930659222372883,0.3872685129798486,0.9999999513893748,0.9999999513893748,0.1684452380417425,1.714785812712062
1.4094222025726038,0.7095106052499459,0.2930988182886875,0.3871027281442994,0.9999999369254492,0.9999999369254492,0.1684186286182635,1.7130565669380076
1.4095031607682085,0.7094698528061331,0.2931317261976309,0.3869371763088114,0.999999919851066,0.999999919851066,0.1683920605609751,1.7113257210121158
1.4095841189638123,0.7094291050434801,0.2931646459471682,0.3867718575849847,0.9999998999518508,0.9999998999518508,0.1683655338859068,1.7095929945641883
1.4096650771594168,0.7093883619611806,0.2931975775203354,0.3866067720836072,0.9999998770139134,0.9999998770139134,0.168339048609044,1.7078586131274993
1.409746035355021,0.7093476235584282,0.2932305209001537,0.3864419199146633,0.9999998508238476,0.9999998508238476,0.1683126047463292,1.7061224380280735
1.4098269935506254,0.7093068898344165,0.2932634760696306,0.3862773011873261,0.9999998211687312,0.9999998211687312,0.1682862023136597,1.7043847225709796
1.4099079517462296,0.7092661607883397,0.2932964430117603,0.3861129160099575,0.9999997878361232,0.9999997878361232,0.1682598413268868,1.7026449410039304
1.409988909941834,0.7092254364193921,0.293329421709521,0.3859487644901214,0.999999750614065,0.999999750614065,0.1682335218018181,1.7009037979725026
1.4100698681374382,0.7091847167267679,0.293362412145879,0.3857848467345632,0.999999709291078,0.999999709291078,0.1682072437542128,1.699160660013565
1.410150826333043,0.7091440017096616,0.2933954143037854,0.385621162849229,0.9999996636561655,0.9999996636561655,0.1681810071997847,1.6974160357336343
1.410231784528647,0.7091032913672684,0.2934284281661781,0.3854577129392519,0.9999996134988096,0.9999996134988096,0.1681548121541994,1.6956696602083499
1.4103127427242512,0.7090625856987829,0.2934614537159817,0.3852944971089589,0.9999995586089716,0.9999995586089716,0.1681286586330743,1.693921503497832
1.4103937009198555,0.7090218847034004,0.2934944909361062,0.3851315154618709,0.9999994987770926,0.9999994987770926,0.168102546651979,1.6921717854773504
1.4104746591154598,0.7089811883803162,0.2935275398094488,0.3849687681006998,0.9999994337940896,0.9999994337940896,0.1680764762264329,1.690420389717776
1.410555617311064,0.7089404967287256,0.2935606003188932,0.3848062551273514,0.9999993634513574,0.9999993634513574,0.1680504473719063,1.6886672032339114
1.4106365755066683,0.7088998097478246,0.2935936724473089,0.3846439766429241,0.9999992875407688,0.9999992875407688,0.1680244601038191,1.6869124860981182
1.4107175337022726,0.7088591274368089,0.2936267561775527,0.3844819327477123,0.9999992058546712,0.9999992058546712,0.1679985144375406,1.685156032558265
1.410798491897877,0.7088184497948745,0.2936598514924678,0.3843201235411997,0.9999991181858884,0.9999991181858884,0.1679726103883883,1.683398018047505
1.4108794500934814,0.7087777768212178,0.2936929583748845,0.3841585491220647,0.9999990243277166,0.9999990243277166,0.1679467479716273,1.6816383429558068
1.4109604082890856,0.7087371085150351,0.29372607680762,0.383997209588181,0.9999989240739292,0.9999989240739292,0.1679209272024711,1.679876985574575
1.41104136648469,0.7086964448755232,0.2937592067734779,0.3838361050366125,0.9999988172187706,0.9999988172187706,0.1678951480960791,1.6781140343349212
1.4111223246802942,0.7086557859018787,0.2937923482552491,0.3836752355636231,0.999998703556959,0.999998703556959,0.1678694106675581,1.6763494653707187
1.4112032828758985,0.7086151315932988,0.2938255012357115,0.3835146012646653,0.9999985828836851,0.9999985828836851,0.1678437149319598,1.6745833000772525
1.4112842410715027,0.7085744819489804,0.2938586656976303,0.3833542022343884,0.9999984549946102,0.9999984549946102,0.1678180609042814,1.6728155230092
1.411365199267107,0.708533836968121,0.2938918416237578,0.3831940385666357,0.999998319685867,0.999998319685867,0.1677924485994649,1.6710461700736232
1.4114461574627115,0.7084931966499181,0.2939250289968338,0.3830341103544448,0.9999981767540592,0.9999981767540592,0.1677668780323963,1.669275199988592
1.4115271156583158,0.7084525609935693,0.2939582277995849,0.3828744176900498,0.999998025996258,0.999998025996258,0.167741349217905,1.6675025704202815
1.41160807385392,0.7084119299982728,0.293991438014725,0.3827149606648819,0.9999978672100056,0.9999978672100056,0.1677158621707643,1.6657286043642188
1.4116890320495243,0.7083713036632265,0.2940246596249568,0.3825557393695618,0.9999977001933124,0.9999977001933124,0.1676904169056889,1.663952807034753
1.4117699902451286,0.7083306819876288,0.294057892612969,0.3823967538939093,0.9999975247446552,0.9999975247446552,0.1676650134373357,1.6621756453665113
1.411850948440733,0.7082900649706779,0.294091136961439,0.3822380043269394,0.9999973406629796,0.9999973406629796,0.1676396517803033,1.6603966955430818
1.4119319066363372,0.7082494526115727,0.2941243926530307,0.3820794907568683,0.9999971477476962,0.9999971477476962,0.1676143319491318,1.6586165505936148
1.4120128648319414,0.7082088449095119,0.2941576596703976,0.3819212132710988,0.9999969457986826,0.9999969457986826,0.1675890539583001,1.6568344769686698
1.412093823027546,0.7081682418636944,0.294190937996179,0.3817631719562381,0.9999967346162808,0.9999967346162808,0.1675638178222279,1.6550512270218585
1.4121747812231502,0.7081276434733196,0.2942242276130039,0.3816053668980874,0.9999965140012992,0.9999965140012992,0.1675386235552744,1.6532661448087083
1.4122557394187545,0.7080870497375867,0.2942575285034876,0.3814477981816472,0.9999962837550064,0.9999962837550064,0.1675134711717369,1.6514797429582369
1.4123366976143588,0.7080464606556955,0.2942908406502346,0.3812904658911125,0.999996043679138,0.999996043679138,0.1674883606858512,1.649691751855285
1.412417655809963,0.7080058762268455,0.2943241640358371,0.3811333701098788,0.999995793575892,0.999995793575892,0.1674632921117912,1.647902261923035
1.4124986140055673,0.7079652964502368,0.2943574986428756,0.3809765109205375,0.9999955332479256,0.9999955332479256,0.1674382654636669,1.6461113576658204
1.4125795722011716,0.7079247213250693,0.2943908444539191,0.3808198884048771,0.9999952624983618,0.9999952624983618,0.1674132807555258,1.6443187915139095
1.412660530396776,0.7078841508505435,0.2944242014515242,0.3806635026438908,0.9999949811307802,0.9999949811307802,0.1673883380013516,1.6425248813582114
1.4127414885923804,0.7078435850258595,0.2944575696182364,0.3805073537177636,0.9999946889492232,0.9999946889492232,0.1673634372150627,1.640729556450108
1.4128224467879846,0.7078030238502185,0.2944909489365903,0.3803514417058819,0.9999943857581928,0.9999943857581928,0.1673385784105135,1.6389325847447014
1.412903404983589,0.7077624673228211,0.2945243393891078,0.3801957666868347,0.9999940713626492,0.9999940713626492,0.1673137616014926,1.6371342118590901
