u,x,a1_control,c2_control,c4_control,F_tensor_control,G_tensor_control,H_tensor_control
0.715,1.3986013986013988,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.714973743435859,1.3986527605817052,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7149474868717179,1.3987041263345663,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7149212303075769,1.3987554958603972,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7148949737434358,1.398806869159614,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7148687171792948,1.3988582462326324,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7148424606151538,1.398909627079868,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7148162040510128,1.3989610117017368,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7147899474868717,1.399012400098655,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7147636909227306,1.3990637922710385,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7147374343585896,1.3991151882193031,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7147111777944486,1.3991665879438655,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7146849212303076,1.3992179914451413,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7146586646661666,1.3992693987235472,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7146324081020254,1.3993208097794996,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7146061515378844,1.3993722246134144,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7145798949737434,1.3994236432257083,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7145536384096024,1.3994750656167978,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7145273818454614,1.3995264917870998,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7145011252813203,1.3995779217370308,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7144748687171792,1.399629355467007,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7144486121530382,1.3996807929774455,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7144223555888972,1.3997322342687633,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7143960990247562,1.3997836793413772,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7143698424606151,1.399835128195704,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7143435858964741,1.3998865808321608,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.714317329332333,1.3999380372511645,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.714291072768192,1.3999894974531324,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.714264816204051,1.4000409614384817,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7142385596399099,1.4000924292076298,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7142123030757689,1.4001439007609937,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7141860465116279,1.4001953760989907,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7141597899474869,1.4002468552220384,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7141335333833458,1.4002983381305545,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7141072768192047,1.4003498248249564,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7140810202550637,1.4004013153056616,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7140547636909227,1.400452809573088,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
0.7140285071267817,1.4005043076276529,-0.0851583397718576,0.217417228050405,-0.1103250901676464,-0.0,0.0,0.0
