u,x,phi,f,h,phiprime,A0prime,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,region,certification,selected_member
0.0200657063208099,49.8362720958848,0.0101867005204684,0.9799337305015184,0.9799322432271442,-0.0002075546910188,0.0,0.772064032771901,46.11861866270117,-24.418023361789047,0.4899664934320246,1.8659463143711519,-0.0003172237911571,-0.4952206478023251,-0.2500001897164089,0.0099321582265264,0.2499998102837349,-1.5757474383023184,-0.0929213858014763,49.83607074999284,-0.4999996205674699,-0.8040083634318514,-46.02731081552366,0.0,0.0003172241019582,-0.0099321285953169,0.2476103198714454,0.2499998102837349,0.0006217162516752,0.038560898705759,0.0001972764685393,230778.69847636457,-221609.87034240065,0.0,3.681429408961776,1241.8260658284055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5102389721567434,-0.4899664934320246,0.0,0.0,0.0,weak_exterior_H,PASS NUMERICAL / pure-H 39+2 LO completion,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5
0.020188554658777,49.53301595393052,0.0102500340642802,0.9798108683814956,0.9798093448057276,-0.0002101435842729,0.0,-13.027112527171036,44.41828483000985,-24.26784458674764,0.4899050731588344,1.8437416916742746,-0.0003229386845023,-0.4952211286260286,-0.250000204507118,0.0099923452627678,0.2499998157644883,26.591075783206858,1.055526315009388,49.53577342295575,-0.4999996315289766,13.569515296100398,-44.90048640800988,0.0,-0.0054189737017837,-0.0099934969877832,0.2476691304944168,0.2499998157644883,-0.0106191221445284,0.0383286568963034,0.0001996744021457,225183.17339048043,-216181.68120863024,0.0,3.111338579985386,1226.758880958889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5103029624163005,-0.4899050532966577,0.0,0.0,0.0,weak_exterior_H,PASS NUMERICAL / pure-H 39+2 LO completion,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5
0.020304915754059,49.24915779569764,0.0103100342636808,0.9796944940017296,0.9796929354378696,-0.0002126113342639,0.0,-25.63237447953752,42.84258937808477,-24.12727196139493,0.489846896363235,1.8216253337764752,-0.0003284182219533,-0.4952216121673196,-0.2500002187646173,0.0100493471743564,0.2499998210474633,52.327280874750464,2.117705198564198,49.25468522915336,-0.4999996420949266,26.705960093181137,-43.85519338530265,0.0,-0.0107870141100602,-0.0100516310317502,0.2477248453347609,0.2499998210474633,-0.0211359230361892,0.0381086990837493,0.0002019587828141,220037.42649029952,-211190.5937154424,0.0,2.5844218265865493,1212.7388071384023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510363588627454,-0.4898468573597447,0.0,0.0,0.0,weak_exterior_H,PASS NUMERICAL / pure-H 39+2 LO completion,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5
0.0204277186201057,48.953092540434845,0.0103733678074926,0.9795716768700377,0.9795700807368676,-0.0002152317317319,0.0,-38.46195811658558,41.21575532983453,-23.98065397228928,0.489785498956154,1.7989803790475944,-0.0003342653250073,-0.495222122548505,-0.2500002340760142,0.0101094973261635,0.2499998267207633,78.52811391909697,3.21221604701233,48.96150948119105,-0.4999996534415267,40.08294835833762,-42.77477415983039,0.0,-0.0163845913046225,-0.0101129898701423,0.2477836454618097,0.2499998267207633,-0.0320997108542194,0.0378766515907509,0.0002043834176282,214764.91396359887,-206077.17626593227,0.0,2.041524967618898,1198.2016584484356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5104275870378229,-0.4897854394015637,0.0,0.0,0.0,weak_exterior_H,PASS NUMERICAL / pure-H 39+2 LO completion,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5
0.0205504981401031,48.66062093397891,0.0104367013513045,0.979448882831926,0.9794472484676102,-0.0002178682045728,0.0,-50.82017511681955,39.62525562787265,-23.83581548918757,0.4897241132899906,1.7763580638655843,-0.0003401783170211,-0.4952226283663758,-0.2500002496592778,0.0101696284982583,0.2499998324945905,103.77300134312436,4.280271805100514,48.67189274905286,-0.4999996649891811,52.97528861584017,-41.71729701310058,0.0,-0.0219128978291332,-0.0101743437495482,0.2478424379010562,0.2499998324945905,-0.0429250549693929,0.0376446497491587,0.0002068217438693,209650.54975624493,-201117.06829877355,0.0,1.5116605308303406,1183.9270270548477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5104915896367337,-0.4897240328247136,0.0,0.0,0.0,weak_exterior_H,PASS NUMERICAL / pure-H 39+2 LO completion,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5
0.0206732543170156,48.37167794994552,0.0105000348951163,0.9793261118816052,0.9793244386169764,-0.0002205207310178,0.0,-62.72406774452228,38.07016111555232,-23.69272431123852,0.4896627393639852,1.7540480708890913,-0.0003461570871545,-0.495223140193767,-0.2500002655174713,0.0102297406860315,0.2499998383700722,128.09638583823497,5.322413409081946,48.38577063102517,-0.4999996767401445,65.40038254285551,-40.682174769117054,0.0,-0.0273731840448236,-0.0102356926544221,0.2479012221119235,0.2499998383700722,-0.0536144561957121,0.0374127668620341,0.0002092737479752,204688.0026382997,-196304.82815939284,0.0,0.9947595235553308,1169.9086143995603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5105555964262289,-0.4896626376244667,0.0,0.0,0.0,weak_exterior_H,PASS NUMERICAL / pure-H 39+2 LO completion,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5
0.020789528112644,48.1011398903185,0.0105600350945169,0.979209823852052,0.9792081131105574,-0.0002230484573444,0.0,-73.59720592566268,36.62871607224711,-23.55874753854754,0.4896046064734602,1.7332336329312132,-0.0003518830428068,-0.4952236242907394,-0.2500002807973985,0.0102866715664059,0.2499998440310961,150.31958244892448,6.286530246620341,48.11787415667719,-0.4999996880621923,76.75568678215836,-39.72163368916499,0.0,-0.0324844551713198,-0.0102938080766082,0.2479569048141998,0.2499998440310961,-0.0636180841074652,0.0371931577005755,0.0002116093039285,200122.1596792735,-191877.49947168375,0.0,0.5165539589816035,1156.8588188199085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106162383047423,-0.4896044842404656,0.0,0.0,0.0,weak_exterior_H,PASS NUMERICAL / pure-H 39+2 LO completion,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5
0.0209122388404223,47.81888766816531,0.0106233686383287,0.979087097845559,0.9790853468794772,-0.0002257322526437,0.0,-84.66276892092898,35.1399050125443,-23.418969497821696,0.4895432554077238,1.7114498577610149,-0.0003579927424294,-0.4952241377207352,-0.2500002971998238,0.0103467468028013,0.249999850107791,172.9422624549459,7.280349971567441,47.838378320691135,-0.4999997002155821,88.31827736271627,-38.72841283362705,0.0,-0.037815772618884,-0.0103551472859783,0.2480156732188386,0.249999850107791,-0.074049737704151,0.0369614386299854,0.0002140879049894,195440.5563753222,-187338.31189259337,0.0,0.0236596219965576,1143.321986569848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106802532607481,-0.4895431111810633,0.0,0.0,0.0,weak_exterior_H,PASS NUMERICAL / pure-H 39+2 LO completion,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5
0.0210349262337689,47.53998130949595,0.0106867021821406,0.978964394909804,0.9789626030281776,-0.0002284321011015,0.0,-95.32043395229124,33.68384135792288,-23.280848265280483,0.4894819160799621,1.6899309241869276,-0.0003641691609028,-0.4952246522267413,-0.2500003138862871,0.0104068030705218,0.2499998562894926,194.73728451804112,8.250316819356717,47.56219610504924,-0.4999997125789852,99.46104371896828,-37.75590603664882,0.0,-0.043082599106681,-0.0104164815086077,0.2480744334499385,0.2499998562894926,-0.0843525067333917,0.0367298090813728,0.0002165801439944,190895.75501278773,-182932.11173568625,0.0,-0.4573791502643871,1130.023877262883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5107442724134162,-0.4894817494842903,0.0,0.0,0.0,weak_exterior_H,PASS NUMERICAL / pure-H 39+2 LO completion,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5
0.0211575902955914,47.264361679617416,0.0107500357259524,0.9788417150390046,0.978839881543422,-0.0002311480099505,0.0,-105.58473906696044,32.25968884183995,-23.14435455897499,0.4894205884894539,1.6686730645420764,-0.0003704126213223,-0.4952251683193232,-0.2500003308599063,0.0104668403782694,0.2499998625773482,215.73404043727973,9.197054970876676,47.289268945904574,-0.4999997251546964,110.19884074252936,-36.80358881735097,0.0,-0.0482860746228649,-0.0104778107436388,0.2481331856819198,0.2499998625773482,-0.0945286711280838,0.0364982730977025,0.0002190860074167,186482.9638930989,-178654.2408823833,0.0,-0.9268762012834486,1116.95889638602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108082957648289,-0.489420399145392,0.0,0.0,0.0,weak_exterior_H,PASS NUMERICAL / pure-H 39+2 LO completion,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5
0.0212737768349061,47.00622779680548,0.010810035925353,0.9787255132742562,0.9787236397039012,-0.0002337357820464,0.0,-114.95864079971226,30.939168664200704,-23.01652010029053,0.4893624994930703,1.64878773655898,-0.0003763903953132,-0.4952256584776532,-0.2500003472078798,0.0105237003388707,0.24999986863321,234.91497716275188,10.073110500112165,47.03365711452727,-0.4999997372664201,120.01088337552676,-35.919558741345085,0.0,-0.0531582579622022,-0.010535907515562,0.2481888381266789,0.24999986863321,-0.1040544874261709,0.0362790025245631,0.0002214725387152,182420.03892391597,-174715.86897008948,0.0,-1.3612891764169035,1104.791668391919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108689533411429,-0.4893622882443151,0.0,0.0,0.0,weak_exterior_H,PASS NUMERICAL / pure-H 39+2 LO completion,v5=c3=e3=0; v12 Appendix-minus; corrected holonomic a5
