,u,x,phi,f,h,phiprime,A0,A0prime,X,Fbg_action,Ybg_action,f2,f2X,f2F,f2Y,f2phi,f2phiphi,f3,f3X,f3phi,f3phiX,f4,f4X,f4XX,f4phi,f4phiX,tf4,tf4phi,G2XX_lift,G2Xphi_lift,G2phiphi_lift
25,6.10656414103525891e-01,1.63758207873416017e+00,6.07244621476549118e-01,3.87111468455587693e-01,4.25939441534462393e-01,-7.01736579038580333e-01,-2.56309891827605218e-03,1.46404029718782391e+00,-1.04873579684280599e-01,1.17920112556010115e+00,-4.94668172820882546e-01,1.48381493574236023e+00,5.13925713566995341e+01,1.12967776858262514e+00,0.00000000000000000e+00,1.62917929527502679e+02,-3.95560353700408496e+03,-4.54808652331844754e-01,4.19565527363752508e+01,1.41908895835609599e+02,-2.24919954255723997e+03,-8.57392217385467892e-01,9.89095918308020017e-02,5.66685561954388641e-14,-1.14514163296343732e+01,4.96275113550755975e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00036236491623242e+02,-2.30101129805813741e+02,-1.76467117962233715e+02
26,6.10682670667666905e-01,1.63751167018819710e+00,6.07294035415419931e-01,3.87087666452998413e-01,4.25897262116874620e-01,-7.01898124447016714e-01,-2.66620622911029059e-03,1.46478913463430405e+00,-1.04911480649833994e-01,1.18036340997432498e+00,-4.95334692181173875e-01,1.49123134892333620e+00,5.13159674786390383e+01,1.13476519739234050e+00,0.00000000000000000e+00,1.62770618794977139e+02,-4.23187013730952731e+03,-4.49393696178116198e-01,4.18496127342848965e+01,1.41537115286708229e+02,-2.24270675307716374e+03,-8.57961819798522374e-01,9.91549041306672013e-02,-0.00000000000000000e+00,-1.14506023877759660e+01,4.96592061130205842e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00036427271357695e+02,-2.30160362042283936e+02,-1.76557869113422242e+02
27,6.10708927231807919e-01,1.63744126769646536e+00,6.07343456480417987e-01,3.87063863213502002e-01,4.25855072861483996e-01,-7.02059723615724551e-01,-2.76935733726080269e-03,1.46553635849111097e+00,-1.04949396813226403e-01,1.18152358999970497e+00,-4.96000752364267439e-01,1.49864695731828124e+00,5.12393844495489077e+01,1.13984397858648734e+00,0.00000000000000000e+00,1.62609669259203400e+02,-4.52775918005113635e+03,-4.43992895210302330e-01,4.17429835122339199e+01,1.41156720549890593e+02,-2.23608401627280273e+03,-8.58531411764562602e-01,9.94003763157708942e-02,2.83063834937570392e-14,-1.14471458500348042e+01,4.96773754314205007e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00036619055466531e+02,-2.30219591502117311e+02,-1.76648638683679025e+02
28,6.10735183795948933e-01,1.63737087125818404e+00,6.07392884673920053e-01,3.87040058736633386e-01,4.25812873772182909e-01,-7.02221376558943788e-01,-2.87255212105907987e-03,1.46628196407384004e+00,-1.04987328179345002e-01,1.18268165424154992e+00,-4.96666347862192936e-01,1.50606097345067647e+00,5.11628318163289322e+01,1.14491350999370267e+00,0.00000000000000000e+00,1.62432519116513845e+02,-4.83696873887639958e+03,-4.38606736107987782e-01,4.16366722896053219e+01,1.40765942820904456e+02,-2.22930391480421395e+03,-8.59100849439297432e-01,9.96459350212560990e-02,-0.00000000000000000e+00,-1.14405482916164942e+01,4.96795114442055930e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00036811849236756e+02,-2.30278829551363771e+02,-1.76739444112583953e+02
29,6.10761440360090058e-01,1.63730048087257152e+00,6.07442319998303781e-01,3.87016253021927881e-01,4.25770664852871072e-01,-7.02383083291000521e-01,-2.97579045853896273e-03,1.46702594670217557e+00,-1.05025274753104705e-01,1.18383759130709776e+00,-4.97331473160326498e-01,1.51347257480532704e+00,5.10863195463074078e+01,1.14997316229161783e+00,0.00000000000000000e+00,1.62241711489756597e+02,-5.06623175219458244e+03,-4.33235727748523813e-01,4.15306866184244399e+01,1.40366610398188783e+02,-2.22239564594737021e+03,-8.59669982703767821e-01,9.98915036047805932e-02,-2.82785157895751521e-14,-1.14313197877778858e+01,4.96682233493892422e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00037005657983286e+02,-2.30338050640628296e+02,-1.76830246177711643e+02
30,6.10787696924231072e-01,1.63723009653884888e+00,6.07491762455945605e-01,3.86992446068921192e-01,4.25728446107460412e-01,-7.02544843812978437e-01,-3.07907222743236675e-03,1.46776830169998806e+00,-1.05063236535461804e-01,1.18499138980579000e+00,-4.97996122718605327e-01,1.52088107805087946e+00,5.10098558447139823e+01,1.15502242617892703e+00,0.00000000000000000e+00,1.62036537859028272e+02,-5.48717139137614413e+03,-4.27880278640304756e-01,4.14250324701739601e+01,1.39958260768029049e+02,-2.21534991020406915e+03,-8.60238689477553553e-01,1.00137019893874094e-01,2.82645920202389942e-14,-1.14193277684023240e+01,4.96428372754431013e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00037200487048949e+02,-2.30397274258242589e+02,-1.76921074784922070e+02
31,6.10813953488372086e-01,1.63715971825623430e+00,6.07541212049223067e-01,3.86968637877149524e-01,4.25686217539871181e-01,-7.02706658151722396e-01,-3.18239730517771990e-03,1.46850902439543352e+00,-1.05101213535078203e-01,1.18614303834952617e+00,-4.98660291026880031e-01,1.52828547391921798e+00,5.09334530295163006e+01,1.16006051959930345e+00,0.00000000000000000e+00,1.61805685275535609e+02,-5.96010688526646209e+03,-4.22541024001613419e-01,4.13197193978688020e+01,1.39532994893408897e+02,-2.20804902069265881e+03,-8.60806784149554138e-01,1.00382388916273602e-01,-2.82506749684160362e-14,-1.14023564323296931e+01,4.95918906644746826e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00037396341804708e+02,-2.30456516331448910e+02,-1.77011954400256997e+02
32,6.10840210052513100e-01,1.63708934602394840e+00,6.07590668780514265e-01,3.86944828446148803e-01,4.25643979154031404e-01,-7.02868526317437792e-01,-3.28576556891257976e-03,1.46924811012124801e+00,-1.05139205755641396e-01,1.18729252555324205e+00,-4.99323972545109740e-01,1.53568456131008912e+00,5.08571255307576422e+01,1.16508650204268926e+00,0.00000000000000000e+00,1.61563532414292808e+02,-5.84820065732572129e+03,-4.17218730453692899e-01,4.12147586790504334e+01,1.39100947762112156e+02,-2.20064706178784854e+03,-8.61374044248457871e-01,1.00627496141984907e-01,1.12947058528380373e-13,-1.13832422883790709e+01,4.95297859580380884e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00037593227649779e+02,-2.30515743165174570e+02,-1.77102833266214390e+02
33,6.10866466616654114e-01,1.63701897984121048e+00,6.07640132652197074e-01,3.86921017775455400e-01,4.25601730953879875e-01,-7.03030448315773659e-01,-3.38917689547962864e-03,1.46998555421482657e+00,-1.05177213199476899e-01,1.18843984003515102e+00,-4.99987161720517215e-01,1.54307859665368996e+00,5.07808700889480349e+01,1.17010066313964467e+00,0.00000000000000000e+00,1.61340896125687607e+02,-5.27198316613251700e+03,-4.11913140505012432e-01,4.11101462524278176e+01,1.38683722855565776e+02,-2.19347210463485408e+03,-8.61940534125282043e-01,1.00872373718824404e-01,-0.00000000000000000e+00,-1.13680377083657849e+01,4.94875846571670230e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00037791150011799e+02,-2.30574959815634514e+02,-1.77193719131868733e+02
34,6.10892723180795238e-01,1.63694861970724048e+00,6.07689603666649147e-01,3.86897205864606186e-01,4.25559472943365213e-01,-7.03192424154503448e-01,-3.49263116142417562e-03,1.47072135201844456e+00,-1.05215235869546606e-01,1.18958497041720324e+00,-5.00649852997254619e-01,1.55046879161112572e+00,5.07046714879289198e+01,1.17510409444343367e+00,0.00000000000000000e+00,1.61147122925944444e+02,-4.69123216492730990e+03,-4.06623329798816935e-01,4.10058676444674717e+01,1.38287796167749406e+02,-2.18662712865179219e+03,-8.62506505025699255e-01,1.01117150081068405e-01,-5.64179281996820528e-14,-1.13585632137790977e+01,4.94746933352671814e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.00037990114347053e+02,-2.30634162799652529e+02,-1.77284606626063152e+02
