u,x,phi,f,h,phiprime,A0prime,X,f2,f2X,f2F,f2phi,f2Y,f3,f3X,f3XX,tf3,f4,f4X,f4XX,f4XXX,tf4,f2XX,f2XF,f2XY,f2FF,f2FY,f2YY,tf4phi,tf4phiphi,f2phiX,f2phiF,f2phiY,f2phiphi,f3phi,f3phiX,f3phiphi,f4phi,f4phiX,f4phiXX,f4phiphi,f4phiphiX,Fbg_action,Ybg_action
0.7139785714285714,1.4006022589713578,0.8582730410061371,0.2895882571811753,0.406505223719775,-1.248904068149381,0.0358853765604327,-0.3170255726233552,0.3504497775046184,25.069858938371073,20728.05968334194,74192.41054216515,0.0,4921.313833206809,2404.008905388011,-0.10231870238536826,0.0,-4206.529517374335,-5820.395677042812,-434.73073160800203,0.018544085315194622,-3580.723491082115,78.07723774923336,-1662.1444513040278,2108.333755110588,-592.474601465525,1496.627511589959,-945.1271719886664,3983222.6450436683,-6885960593.402195,-145988.37242888613,-23167494.27697417,9435.99839140663,-410044737.87855214,-5467641.601247492,-2639371.5106932437,-2241848430.916194,4736595.64059672,6439809.468688508,474833.46435989614,-3228966609.579031,3952914585.4233894,0.0009038371824509951,-0.0011461580012992266
0.7139749999999999,1.4006092650302884,0.8582642910091038,0.2895909843522979,0.4064887635523246,-1.2489330677064305,0.0365269391596338,-0.3170274579013727,0.36687251253232894,26.228822917612117,20931.166288786804,77081.01653051509,0.0,4969.261510405376,2427.0409891866457,-0.11071361977759775,0.0,-4248.000273081419,-5876.8271102633735,-438.8738308853536,0.020065120360576835,-3615.9546555639745,81.54742829815675,-1678.5411709657328,2129.1855250015183,-581.1051875092152,1467.5230123575075,-926.5024847700884,4048723.5194562348,712445128.7781936,-151244.3108457904,-23241252.261760395,9511.837109001752,-423133988.2970866,-5517088.7413488375,-2651713.910149286,6280718484.096816,4717555.639052481,6492958.785555421,476983.11154596455,6523458380.407506,-8034069056.284652,0.0009363971317120943,-0.0011874544090112885
0.7139714285714286,1.40061627115931,0.8582555407211523,0.2895937116526197,0.4064723048371138,-1.2489621096929702,0.0371754462598535,-0.317029365001706,0.38391191505877875,27.42800023196583,21133.89570832015,80060.23910532452,0.0,5017.687245403159,2450.4520370089203,-0.11972970402877421,0.0,-4288.972536430972,-5933.868372324731,-443.08483593148304,0.021698662719076056,-3651.14407316543,85.14450857809281,-1694.7313952371828,2149.7790309541747,-570.0320697649998,1439.1607235429979,-908.3425093684169,3965232.4216660513,10219215262.146051,-156815.6850254087,-23062053.874321897,9591.393407962463,-434682195.52433604,-5508692.155127583,-2676862.726000724,-8823842264.672272,4666777.681687175,6492970.436843719,481450.01170346583,996393768.8110114,9980669974.321047,0.0009698938786939917,-0.0012299393619255913
0.7139678571428572,1.4006232773584244,0.8582467901422268,0.2895964390821628,0.4064558475736446,-1.2489911367698472,0.0378309080450203,-0.3170312648141883,0.401557967362841,28.674230897667755,21334.84718070104,83120.1436375266,0.0,5065.432107353698,2473.6417144019997,-0.1294085010257553,0.0,-4329.875285349611,-5990.140588675759,-447.25488889342074,0.023452233189307246,-3685.538549296758,88.87256777079008,-1710.4066244790586,2169.723612625726,-559.2467488108414,1411.5181229790826,-890.6323501691356,3946707.410671275,-6684170879.557782,-162995.11106501258,-22963249.37235298,9675.951690075251,-446204637.84507865,-5422630.930759985,-2617468.6446271106,-3314942044.5804586,4693428.444604486,6384307.134966761,470586.2423309531,-2182929221.6969337,5305547716.793718,0.0010043467863538758,-0.0012736373279593385
0.7139642857142857,1.4006302836276323,0.8582380392724607,0.2895991666408899,0.4064393917628275,-1.2490201429164887,0.0384933341108415,-0.3170331542836879,0.4198668044037221,29.966973481833065,21536.05659959703,86268.76821875326,0.0,5112.946039475456,2496.447080645936,-0.1397953599552541,0.0,-4370.950322726675,-6046.033397279316,-451.35439732888847,0.025334041864913583,-3720.4623449568676,92.7366694652423,-1726.6589694078502,2190.403946971569,-548.7418653501738,1384.5736152769055,-873.3564564283208,4012370.8751295907,423857790.8295583,-168670.41148492708,-23010649.410285063,9759.25179707287,-459763699.1534756,-5461579.16680372,-2621731.834430709,5873637651.282637,4671230.159832389,6423923.145756041,471256.68029866787,6239570628.902691,-7462700512.60305,0.0010397754229244602,-0.0013185731283055888
0.7139607142857143,1.400637289966935,0.8582292881119868,0.2896018943287641,0.4064229374055723,-1.2490491293812733,0.0391627334679628,-0.3170350340453109,0.4388431261707317,31.30346034790903,21736.827409942885,89512.10168133164,0.0,5160.89117982679,2519.59991090543,-0.15093280038974152,0.0,-4411.538609944706,-6102.476789337574,-455.51598752100676,0.027351785442579817,-3755.333850465044,96.73837361174539,-1742.711294891352,2210.8350390993232,-538.508203494956,1358.305627961039,-856.5022889565021,3930543.847638069,10503207362.26596,-174758.93936675368,-22853444.821577135,9842.047981514761,-472048518.6539134,-5458919.332163635,-2650692.913572552,-7720429909.594873,4624983.041183419,6430933.237332594,476402.6401006729,597868406.5728697,8544509547.408507,0.001076199560264686,-0.0013647718569122533
0.7139571428571428,1.400644296376333,0.8582205366609383,0.2896046221457483,0.4064064845027891,-1.2490780971711104,0.0398391145451197,-0.3170369046115425,0.4584812318297782,32.691361122383626,21936.05791975742,92841.78847909026,0.0,5208.246828911734,2542.5974373141653,-0.1628718513584975,0.0,-4452.0859264031915,-6158.2652237815855,-459.648497993339,0.029514701958212937,-3789.4218318639737,100.8832763440878,-1758.2285479410534,2230.592123723951,-528.53683697255,1332.693343616944,-840.0578018670548,3905488.4422626565,-5812667955.664997,-181492.97006715878,-22755106.376335505,9925.36427808112,-484295175.19948137,-5375953.866920322,-2596218.3038527905,-4286399072.3746905,4650868.757287358,6326997.889956229,466418.8787755081,-1649823742.983377,6442609676.077166,0.0011136391721467583,-0.0014122588639662757
0.7139535714285714,1.400651302855828,0.8582117849194485,0.2896073500918052,0.4063900330553879,-1.249107040395797,0.040522485192401,-0.3170387629936885,0.47883104465660253,34.129602257746704,22135.25884281651,96264.71418030439,0.0,5255.293078523701,2565.1846723667877,-0.17566280896025954,0.0,-4492.762590662516,-6213.585016192717,-463.7056451829388,0.03183189562846111,-3823.9508756116734,105.17476251128484,-1774.267066226849,2251.01506727704,-518.8222647898107,1307.717775133914,-824.007761118014,3968866.5658796728,-341353820.0233785,-187579.47460282934,-22761551.05483615,10007.960751644054,-498235128.05710614,-5401092.290702963,-2590802.6754391375,4983792253.3983965,4622419.0837973505,6349136.642278442,465321.105177139,6933353168.794217,-6202808442.284497,0.0011521144324833942,-0.001461059738006843
0.71395,1.4006583094054206,0.8582030328876501,0.289610078166898,0.4063735830642785,-1.2491359820641652,0.0412128526845987,-0.317040620872871,0.4998985938808043,35.61447423621961,22333.841785476972,99785.81788363043,0.0,5302.706361106109,2588.045160014932,-0.1893541838493475,0.0,-4532.912516112875,-6269.362893021744,-467.8112969486572,0.034312147058384396,-3858.493585838454,109.61368401421576,-1790.189699045406,2271.2964686235823,-509.3562566343626,1283.3595324489647,-808.340809200551,3895629.526485398,10502948173.184528,-194107.95866069995,-22607194.606590137,10083.682598408046,-511050295.3307067,-5401791.873828453,-2619081.367797623,-6793329453.213012,4573148.432757969,6359094.24563341,470329.6752903781,516479660.5594906,7379527773.208485,0.0011916457134949839,-0.0015112003874677802
0.7139464285714285,1.400665316025112,0.858194280565366,0.2896128063710867,0.4063571345280509,-1.2491649691112114,0.0419102237246467,-0.3170425020726842,0.5216834180579663,37.15505180939395,22531.008757858803,103397.98198658308,0.0,5349.604746908822,2610.80875645535,-0.2040094062912417,0.0,-4573.017994698621,-6324.580063077327,-471.89835340660323,0.036966940419374206,-3892.2507433623323,114.2080718501372,-1805.5496830310678,2290.8698012309715,-500.12969583446295,1259.5994740990934,-793.0473319520175,3860156.4150326396,-4388045148.245172,-201484.99232182518,-22518554.678575214,10157.777928035643,-524023030.7540607,-5322478.795812949,-2571448.452356118,-4702694369.602053,4602460.112665889,6261073.20241421,461576.31911460863,-2190186877.6368175,6802130787.325724,0.0012322535838104264,-0.0015627070375971587
