u,x,f3_delta,f3X_delta,f3XX_delta,f4_delta,f4X_delta,f4XX_delta,f4XXX_delta,tf4_delta,f2XX_delta,f2XF_delta,f2FF_delta,f2XY_delta,f2FY_delta,f2YY_delta,e3_emitted,e3_historical_target
0.715,1.3986013986013988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.416171239223331e-07,0.0,0.0,0.0,0.0,0.0,0.0005789543122715889,0.0
0.7149964285714285,1.398608384657266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4371623769402504e-07,0.0,0.0,0.0,0.0,0.0,-0.00014178970530725338,0.0
0.7149928571428571,1.398615370782925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.45578882843256e-07,0.0,0.0,0.0,0.0,0.0,0.00021249544349365065,0.0
0.7149892857142857,1.3986223569783764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.594541340135038e-07,0.0,0.0,0.0,0.0,0.0,0.0001896308281080273,0.0
0.7149857142857142,1.3986293432436214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6139681469649076e-07,0.0,0.0,0.0,0.0,0.0,-0.00010952189666059622,0.0
0.7149821428571428,1.398636329578661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5529228625819087e-07,0.0,0.0,0.0,0.0,0.0,-8.382411500054448e-06,0.0
0.7149785714285714,1.398643315983496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.630448190961033e-07,0.0,0.0,0.0,0.0,0.0,0.00020142860169710422,0.0
0.7149749999999999,1.398650302458128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.681616362882778e-07,0.0,0.0,0.0,0.0,0.0,-7.243189130341242e-05,0.0
0.7149714285714286,1.3986572890025577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.598753437472624e-07,0.0,0.0,0.0,0.0,0.0,0.00010194746183682999,0.0
0.7149678571428572,1.398664275616786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.725290298461914e-07,0.0,0.0,0.0,0.0,0.0,-2.86566770254516e-05,0.0
0.7149642857142857,1.3986712623008142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5762786865234375e-07,0.0,0.0,0.0,0.0,0.0,-0.00024886639679674985,0.0
0.7149607142857143,1.3986782490546434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5762786865234375e-07,0.0,0.0,0.0,0.0,0.0,5.355720892003083e-05,0.0
0.7149571428571428,1.3986852358782744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5762786865234375e-07,0.0,0.0,0.0,0.0,0.0,-0.0001019805676141476,0.0
0.7149535714285714,1.3986922227717085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.501772880554199e-07,0.0,0.0,0.0,0.0,0.0,-0.00020668622192217677,0.0
