parameter,coefficient,column_norm_scaled
f2XX|0|1,-42332.37537341928,0.13196347060062635
f2XX|0|2,55825077615.46972,1.0084768646249713e-07
f2XX|1|0,-2.5392933972756824,2.8045000233739423
f2XX|1|1,-9541264.651107393,9.952045388664745e-05
f2XX|1|2,-110003526400.91875,1.5359541079865507e-09
f2XF|0|0,-2535155301414.3994,2.951772036474158e-09
f2XF|0|1,-39027000615960.805,1.4759074725672533e-09
f2XF|0|2,952831135487.8961,5.903508096159138e-09
f2XF|1|0,0.2782537193359589,1.607514362475303
f2XF|1|1,130450.03408990889,0.0072538211493645656
f2XF|1|2,21760526794317.742,4.749526599179308e-13
f2FF|0|0,0.0,6.559664060361645e-16
f2FF|0|1,0.0,5.957676214071981e-16
f2FF|0|2,0.0,1.822169592046357e-16
f2FF|1|0,2.870963682567621,0.08898404940723523
f2FF|1|1,0.0,6.633400398629159e-16
f2FF|1|2,0.0,6.921449264817494e-16
f2XY|0|0,-306793930.548191,3.221839196483246e-06
f2XY|0|1,-547918518135.75885,1.6234646012325556e-08
f2XY|0|2,-1160979813833.825,4.42763300214361e-09
f2XY|1|0,-0.15133947235699063,29.814755549272835
f2XY|1|1,-92191.3320314841,0.010263535515776296
f2XY|1|2,2033783000495.6514,1.0331138696731096e-08
f2FY|0|0,17611347269083.246,4.427632376256794e-09
f2FY|0|1,22810086421658.69,1.475880086198605e-09
f2FY|0|2,-35321283313870.22,1.475876896990715e-09
f2FY|1|0,0.006213793903381768,8.519570498471605
f2FY|1|1,24732.58350102013,0.03825779226332446
f2FY|1|2,-86617361324222.56,6.514300298484221e-12
f2YY|0|0,-107480869.33056714,8.487767851090753e-06
f2YY|0|1,-257024063363.96756,3.6896922222174324e-08
f2YY|0|2,73442020148092.25,9.211856626729655e-13
f2YY|1|0,-0.025102989307620165,79.97991537046869
f2YY|1|1,-18423.372398524607,0.051363249704721274
f2YY|1|2,-659043476828.728,1.7710522594104775e-08
f3|0|3,-1170058973763025.8,6.224553917124609e-11
f3|1|3,-13400867513.121529,1.0931394085516041e-06
f3X|0|3,5252433647551748.0,1.8016075013220783e-13
f3X|1|3,-116146611666.9082,3.5731315804671657e-06
f3XX|0|3,0.0,0.0
f3XX|1|3,0.0,4.824506070033289e-16
f4|0|3,-4848978969.760664,2.0528966164102325e-07
f4|1|3,-73382305729.82774,7.185275890344764e-06
f4X|0|3,150441286865.1317,1.648741104837033e-08
f4X|1|3,42697350571.69075,3.005233638128462e-06
f4XX|0|3,17059884132715.896,1.4758768650830614e-09
f4XX|1|3,1150470836.075822,8.014013179031467e-07
f4XXX|0|3,0.0,0.0
f4XXX|1|3,0.0,0.0
tf4|0|3,755457301429.535,2.8895081911140736e-09
