u,x,phi,f,h,phiprime,A0prime,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,F_tensor,G_tensor,H_tensor,mu,P1,K_scalar,photon_factor
100.0,0.01,0.9999999220943218,0.2500000194765925,0.99999945828554,-1.3631641258066548e-05,0.0,0.0003314054112187,0.012583813466553451,-0.00249999653773769,0.24999987965375278,14.96775947543899,-1.830083563982985,-0.24999898161866732,-0.12500000754118798,24.99996364412428,0.4999997203543423,-0.002651243083200875,0.4235129120738807,0.019999970743776397,-0.9999994407086846,-0.001325622259709184,-0.2891928568524446,0.0,1.0136195263011911,-24.999975852031813,0.1251692798776725,0.4999997203543423,2.0272379544176737,-1573.6338546719635,2499.9987965375276,24020.716475192166,-19727.666680660615,0.0,12797856.347236633,9.999996901895612e-05,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0000002319041468,-0.24999994202397677,0.0,0.0,0.0,1.0000002494809537,0.9999997505190462,0.9999997505190462,0.01999997693997803,0.500001240495681,2.2315104082348824e-06,-0.5000000048742298
99.76896123941752,0.0100231573785787,0.9999999217782848,0.2500000195556025,0.9999994560880062,-1.366307877277217e-05,0.0,0.0003329406750544,0.013516191365220299,-0.0025057858586419834,0.24999987912936905,-10.262081336178273,-1.8301814214325103,-0.24999897109815522,-0.12500000755368787,24.942203872106887,0.49999971914755503,-0.0026635251920878403,0.4242725023281487,0.020046285301067116,-0.9999994382951101,-0.001331763320405963,-0.2905207180665504,0.0,1.0165693585786482,-24.94221606916302,0.12516927357256913,0.49999971914755503,2.033137611308763,-1569.4676492761355,2488.460203570498,24268.615767091756,-19771.697289772597,0.0,-65118301.34539795,0.00010046365258479717,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0000002328448945,-0.24999994178878995,0.0,0.0,0.0,1.0000002506377417,0.999999749362258,0.999999749362258,0.020046291536811416,0.5000012579533384,2.2652689350977084e-06,-0.5000000048739726
99.53845626792358,0.0100463683835757,0.9999999214607848,0.2500000196349784,0.9999994538802958,-1.3694645304451286e-05,0.0,0.0003344854172358,0.01337727875501396,-0.002511588585960888,0.24999987860255404,-4.718640448705181,-1.8301742083019454,-0.24999896683837147,-0.1250000075662442,24.88457754851054,0.4999997179351734,-0.00267588312772277,0.42566380471307064,0.02009270710960762,-0.9999994358703468,-0.0013379422945380352,-0.2917839933907087,0.0,1.0160626730644695,-24.884589780502367,0.12516926495959543,0.4999997179351734,2.032124236345246,-1566.8526253437158,2476.97486625606,24248.923016580182,-19815.666370901577,0.0,-42965567.429676056,0.00010092948617521,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0000002337899987,-0.24999994155251398,0.0,0.0,0.0,1.0000002517998985,0.9999997482001014,0.9999997482001014,0.020092713385161443,0.5000012628280148,2.2738561311630434e-06,-0.5000000048742633
99.3084838522588,0.0100696331391757,0.999999921141814,0.2500000197147219,0.999999451662362,-1.3726286117240918e-05,0.0,0.0003360364622176,0.013449121892402119,-0.002517404750770463,0.24999987807329901,-4.099617445210236,-1.8301895745098287,-0.2499989622349923,-0.1250000075788584,24.827084363361806,0.4999997167171765,-0.0026882914857451236,0.42639752496672023,0.020139236418005923,-0.999999433434353,-0.0013441464799186676,-0.2930502788964432,0.0,1.015426729187292,-24.827096632482004,0.12516925706168713,0.4999997167171765,2.0308523447811955,-1562.6141414956655,2465.542538796128,24242.509981113657,-19859.730169544608,0.0,-52613254.065078735,0.00010139747975949952,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0000002347394794,-0.24999994131514391,0.0,0.0,0.0,1.000000252967439,0.999999747032561,0.999999747032561,0.02013924273363795,0.5000012683770536,2.283786668222376e-06,-0.5000000048744049
99.0790427620128,0.010092951769851,0.9999999208213664,0.2500000197948347,0.9999994494341574,-1.3757976098487643e-05,0.0,0.0003375940914245,0.013427096282457075,-0.0025232343841902058,0.24999987754159023,-5.7405005710871535,-1.8302008175460935,-0.24999895792986296,-0.12500000759152963,24.769724009471428,0.49999971549353356,-0.0027007525175522015,0.42732645718264795,0.02018587347521753,-0.9999994309870671,-0.0013503770022475527,-0.2943258100616747,0.0,1.0149431804681976,-24.769736313649567,0.12516924861389248,0.49999971549353356,2.0298852433503005,-1558.8627518350258,2454.1629765270195,24222.90383300291,-19903.964937835513,0.0,-42256552.46388245,0.00010186764335319704,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.000000235693357,-0.24999994107667464,0.0,0.0,0.0,1.0000002541403976,0.9999997458596024,0.9999997458596024,0.020185879831198305,0.5000012733098551,2.2924793126044563e-06,-0.500000004874645
98.85013176961748,0.0101163244003622,0.999999920499435,0.2500000198753184,0.9999994471956348,-1.3789748469537718e-05,0.0,0.0003391585410111,0.013535963739352019,-0.002529077517402211,0.24999987700741855,-6.035312697529205,-1.830212189833085,-0.2499989523867541,-0.1250000076042591,24.712496179832954,0.499999714264223,-0.00271326811238053,0.4284392999337502,0.02023261853069875,-0.999999428528446,-0.0013566348061439077,-0.2955556830081144,0.0,1.0119304466945849,-24.712508554048576,0.12516924051275963,0.499999714264223,2.0238597745900333,-1555.5645630604122,2442.8359359143024,24254.48980000592,-19948.27238921056,0.0,-48544508.13218689,0.00010233998701827542,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0000002366516518,-0.24999994083710106,0.0,0.0,0.0,1.00000025531879,0.9999997446812096,0.9999997446812096,0.020232624927300664,0.5000012807060465,2.3060933029839248e-06,-0.5000000048748777
98.62174965034195,0.0101397511557587,0.9999999201760128,0.2500000199561748,0.9999994449467468,-1.3821602921045375e-05,0.0,0.0003407335950821,0.013615849686663836,-0.002534934181641801,0.24999987647077052,-4.832573401136102,-1.8302225005281043,-0.2499989471396957,-0.12500000761704613,24.655400568278726,0.4999997130292143,-0.002725868543065163,0.42948543311803844,0.020279471834331667,-0.9999994260584286,-0.0013629350280341028,-0.2968962560809898,0.0,1.0141126110260008,-24.655412940980515,0.12516923183097584,0.4999997130292143,2.028224096278994,-1552.1037713657133,2431.561174547574,24272.521127823897,-19992.656979103853,0.0,-55114230.65026474,0.0001028145208633607,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0000002376143837,-0.24999994059641814,0.0,0.0,0.0,1.0000002565026511,0.9999997434973484,0.9999997434973484,0.020279478271828997,0.5000012874880887,2.3184735262749e-06,-0.5000000048750721
98.39389518228478,0.0101632321613795,0.9999999198510928,0.2500000200374057,0.9999994426874452,-1.3853528696958294e-05,0.0,0.0003423138709523,0.013514388753043772,-0.002540804408281779,0.24999987593163683,-4.4616800437518265,-1.830233185735678,-0.2499989435148873,-0.12500000762989202,24.598436869330534,0.4999997117884854,-0.0027385107481277967,0.4303083893536196,0.020326433637098244,-0.9999994235769708,-0.0013692561371675342,-0.2981812605012257,0.0,1.013263713738334,-24.598449282439812,0.125169223438466,0.4999997117884854,2.0265262980674903,-1548.1044589295052,2420.3384511352947,24221.813663176526,-20037.147715485637,0.0,-40328463.980651855,0.00010329125504395133,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0000002385815736,-0.24999994035462078,0.0,0.0,0.0,1.0000002576919969,0.9999997423080026,0.9999997423080026,0.020326440115767144,0.5000012910102969,2.32432859692544e-06,-0.5000000048752851
98.16656714636608,0.010186767542854,0.9999999195246684,0.2500000201190127,0.9999994404176824,-1.3885505087921522e-05,0.0,0.0003438995679588,0.013600555656069959,-0.002546688228730834,0.2499998753900037,-6.128295275557012,-1.8302467457118836,-0.24999893829632755,-0.12500000764279584,24.541604778222208,0.49999971054200537,-0.002751196322264985,0.4312916183354419,0.020373504190267514,-0.9999994210840107,-0.0013755989308933305,-0.2994602491121159,0.0,1.0118131382699431,-24.54161724023423,0.12516921498338665,0.49999971054200537,2.0236251441544044,-1544.4986573450733,2409.1675254994766,24236.769234534535,-20081.808045258767,0.0,-59512755.010398865,0.0001037701997626381,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.000000239553242,-0.2499999401117038,0.0,0.0,0.0,1.0000002588868624,0.9999997411131374,0.9999997411131374,0.020373510710386043,0.5000012977057346,2.3365246069051437e-06,-0.5000000048755197
97.93976432632483,0.0102103574261023,0.9999999191967328,0.2500000202009975,0.9999994381374098,-1.3917576268435103e-05,0.0,0.0003454957133952,0.013700283306337945,-0.0025525856744256213,0.2499998748458619,-5.2991623200512095,-1.8302574757948253,-0.24999893263905687,-0.12500000765575903,24.484903990890285,0.4999997092897523,-0.002763965483822161,0.43246246112040554,0.020420683745332246,-0.9999994185795046,-0.0013819835183959198,-0.3008813286809733,0.0,1.017061700717767,-24.484916408702123,0.1251692054087185,0.4999997092897523,2.034122258537691,-1541.3449658285826,2398.0481585708103,24268.82761895869,-20126.508061892113,0.0,-50525605.398448944,0.00010425136526931476,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0000002405294097,-0.24999993986766209,0.0,0.0,0.0,1.000000260087263,0.9999997399127368,0.9999997399127368,0.020420690307180373,0.5000013052563242,2.3504253854333967e-06,-0.5000000048757801
