parameter,coefficient,column_norm_scaled
tf4|0|1,24287689817.009018,1.0562309070147354e-05
tf4|0|2,2267493117.4793043,2.7618087559693554e-05
tf4|1|0,0.0012663158269902994,14.982678863939913
tf4|1|1,18664.037932600328,0.06761964956030297
tf4|1|2,1101419.219233863,0.00215525790186471
f2XX|0|0,-1.852145811608513e-06,120.34362504322453
f2XX|0|1,-2844.080832483589,0.13196347060062635
f2XX|0|2,-1039140937.8698313,1.0084768646249713e-07
f2XX|1|0,-179.7585020428274,2.8045000233739423
f2XX|1|1,50418616.59151673,9.952045388664745e-05
f2XX|1|2,3662257170.8005524,1.5359541079865507e-09
f2XF|0|0,21283337206420.566,2.951772036474158e-09
f2XF|0|1,8752053902088.172,1.4759074725672533e-09
f2XF|0|2,-113071181503.09145,5.903508096159138e-09
f2XF|1|0,-89.36527715210698,1.607514362475303
f2XF|1|1,-691561.0084220681,0.0072538211493645656
f2XF|1|2,-48623008151266.31,4.749526599179308e-13
f2FF|0|0,0.0,6.559664060361645e-16
f2FF|0|1,0.0,5.957676214071981e-16
f2FF|0|2,0.0,1.822169592046357e-16
f2FF|1|0,20.44151947983857,0.08898404940723523
f2FF|1|1,0.0,6.633400398629159e-16
f2FF|1|2,0.0,6.921449264817494e-16
f2XY|0|0,1585617558.58586,3.221839196483246e-06
f2XY|0|1,136790057602.64926,1.6234646012325556e-08
f2XY|0|2,-6029108629601.243,4.42763300214361e-09
f2XY|1|0,-16.43509587083595,29.814755549272835
f2XY|1|1,488763.326081179,0.010263535515776296
f2XY|1|2,-4417022745508.217,1.0331138696731096e-08
f2FY|0|0,-5220573587746.39,4.427632376256794e-09
f2FY|0|1,128881284759925.28,1.475880086198605e-09
f2FY|0|2,-171798199013323.88,1.475876896990715e-09
f2FY|1|0,-0.038909555824622785,8.519570498471605
f2FY|1|1,-131121.10106610565,0.03825779226332446
f2FY|1|2,278590747776325.16,6.514300298484221e-12
f2YY|0|0,588583009.0080504,8.487767851090753e-06
f2YY|0|1,143553162053.0193,3.6896922222174324e-08
f2YY|0|2,-312450515070393.8,9.211856626729655e-13
f2YY|1|0,-6.1392517495688965,79.97991537046869
f2YY|1|1,97666.64764406867,0.051363249704721274
f2YY|1|2,893555933566.7451,1.7710522594104775e-08
f3|0|3,-712393641130543.4,6.224553917124609e-11
f3|1|3,-13027564365.943872,1.0931394085516041e-06
f3X|0|3,-2.7844340201023736e+16,1.8016075013220783e-13
f3X|1|3,-91486826101.89375,3.5731315804671657e-06
f3XX|0|3,0.0,0.0
f3XX|1|3,0.0,4.824506070033289e-16
f4|0|3,24245058888.76013,2.0528966164102325e-07
f4|1|3,-71555739796.666,7.185275890344764e-06
f4X|0|3,-219040284122.85257,1.648741104837033e-08
f4X|1|3,40638212041.24084,3.005233638128462e-06
f4XX|0|3,18571847486622.008,1.4758768650830614e-09
f4XX|1|3,-6287131693.197389,8.014013179031467e-07
f4XXX|0|3,0.0,0.0
f4XXX|1|3,0.0,0.0
tf4|0|3,3004313936575.0903,2.8895081911140736e-09
tf4|1|3,65424350634.146126,6.449376518242946e-07
f2XX|0|3,-1671075360.4594464,1.3849787341913384e-12
f2XX|1|3,0.0,5.7709433499258274e-15
f2XF|0|3,0.0,0.0
f2XF|1|3,8860624988492257.0,1.0115332248089111e-13
f2FF|0|3,0.0,1.790754005763378e-33
f2FF|1|3,0.0,1.2647246836525714e-16
f2XY|0|3,0.0,0.0
f2XY|1|3,-1.923655257947643e+16,4.67459039727016e-12
f2FY|0|3,0.0,5.607919673702603e-17
f2FY|1|3,2.6224630932524212e+16,4.9100640647539994e-12
f2YY|0|3,0.0,1.1198028442264448e-16
f2YY|1|3,-2.559968146053644e+16,1.5831177710921225e-12
HG3:q|0|0,1.3486637344522616e-06,201.2368469010746
HG3:q|0|1,2054.03797988257,0.18272165074132515
HG3:q|0|2,2194786788.4693656,1.7100372734209496e-07
HG3:q|0|3,161828257612139.4,2.319154561531913e-12
HG3:q|1|0,1789.4229460724828,2.41656807937676
HG3:q|1|1,-51158487.47921298,9.805700663093899e-05
HG3:q|1|2,-9177640091922.865,5.452909125208859e-10
HG3:q|1|3,1.539275777371597e+17,1.0497666910931413e-14
