row,side,slot,target_delta,fit_delta,scaled_residual
0,0,a1,-2.592860093297844e-09,0.0,2.592860093297844e-09
1,0,a2,-3.2864684973432645e-07,0.0,1.586610374256727e-07
2,0,a3,5.310200890118466e-10,0.0,-5.310200890118466e-10
3,0,a4,-6.076096292773059e-10,0.0,6.076096292773059e-10
4,0,a5,-0.277715939978151,0.0,0.010605538316949454
5,0,a6,1.1646785047557733e-14,0.0,-1.1646785047557733e-14
6,0,a7,5.204058119989696e-07,0.0,-5.204058119989696e-07
7,0,a8,-6.946580255462464e-10,0.0,6.946580255462464e-10
8,0,a9,2.972098278597457e-08,0.0,-2.972098278597457e-08
9,0,b1,-9.623026264726775e-10,0.0,9.623026264726775e-10
10,0,b2,1.4384299862335581e-08,0.0,-1.4384299862335581e-08
11,0,b3,4.209052319126272e-06,0.0,-4.1147253274586623e-07
12,0,b4,-3.113616031669153e-09,0.0,2.792838825368054e-09
13,0,b5,1.924605697034565e-09,0.0,-1.924605697034565e-09
14,0,c1,1.900101289642464e-07,0.0,-1.7492702406523937e-07
15,0,c2,-1.814533523991635e-07,-1.814532691304404e-07,8.326872309178518e-14
16,0,c3,0.0,5.68667594391361e-14,5.68667594391361e-14
17,0,c4,1.2204582178210188e-07,0.0,-1.2204582178210188e-07
18,0,c5,7.361595896759887e-08,0.0,-7.361595896759887e-08
19,0,c6,-1.309809372629367e-07,-1.3098094850866144e-07,-1.1245724747887157e-14
20,0,d1,-9.623026264726775e-10,0.0,9.623026264726775e-10
21,0,d2,2.5553768814856603e-07,0.0,-2.5553768814856603e-07
22,0,d3,-6.226824209587534e-07,0.0,4.041152934731614e-07
23,0,d4,-2.8127901396945987e-10,0.0,2.8127901396945987e-10
24,0,e1,6.024359421097358e-06,0.0,-8.145057020653704e-07
25,0,e2,-4.098112889733274e-07,-4.0981132169702946e-07,-3.2723702048659e-14
26,0,e3,0.0,7.815970093361102e-11,7.815970093361102e-11
27,0,e4,0.0005637118461704477,0.0,-0.0005637118461704477
28,0,v1,-3.9644569849173195e-09,-3.3655996814313085e-17,3.396801422846539e-09
29,0,v2,0.0,0.0,0.0
30,0,v3,0.0,0.0,0.0
31,0,v4,0.0,0.0,0.0
32,0,v5,0.0,0.0,0.0
33,0,v6,0.0,0.0,0.0
34,0,v8,0.0,0.0,0.0
35,0,v9,5.163608429725741e-09,4.904811902277633e-09,-1.7838639277570982e-10
36,0,v10,6.076097958107596e-10,5.965252589646927e-10,-1.1084536846066913e-11
37,0,v11,0.0,0.0,0.0
38,0,v12,0.0,0.0,0.0
39,0,v13,0.0,8.280617406979618e-12,8.280617406979618e-12
40,1,a1,2.6483075494005334e-91,0.0,-2.6483075494005334e-91
41,1,a2,4.7024885326152344e-05,4.7025016638890804e-05,7.587563038864059e-12
42,1,a3,4.00679489587219e-13,0.0,-4.00679489587219e-13
43,1,a4,-2.2401525079374096e-13,0.0,2.2401525079374096e-13
44,1,a5,-2727.378160280972,-2727.378160102642,8.781395854634079e-11
45,1,a6,-1.929683418477879e-05,-1.9297004938458688e-05,-2.7820049273448365e-11
46,1,a7,0.0037338444533361326,0.0037338324736282402,-1.81916595887812e-11
47,1,a8,-2.28872476526476e-13,0.0,2.28872476526476e-13
48,1,a9,-2.1335042242220936e-05,-2.1336074059105488e-05,-1.4846415896597134e-10
49,1,b1,-3.05089287166993e-13,0.0,3.05089287166993e-13
50,1,b2,-1.773753616312729e-90,0.0,1.773753616312729e-90
51,1,b3,-0.0003212457952912473,-0.0003212455923744528,1.7159845534491448e-12
52,1,b4,-1.8205437157803317e-12,0.0,1.1210877988639795e-12
53,1,b5,6.128431095930864e-13,0.0,-6.128431095930864e-13
54,1,c1,-2.283559118543589e-90,0.0,2.283559118543589e-90
55,1,c2,0.00038296915404600895,0.0003829689578083162,-4.592366128209185e-12
56,1,c3,337.2044016680045,337.2044017183759,1.493794193385598e-10
57,1,c4,-7.616240094776572e-05,-7.616237802570694e-05,3.6611580632111486e-12
58,1,c5,1.9421426440402456e-05,1.941897997869514e-05,-1.4405451576889182e-10
59,1,c6,-0.0017582360531491759,-0.001758229999339278,1.846750669285958e-11
60,1,d1,-3.05089287166993e-13,0.0,3.05089287166993e-13
61,1,d2,-5.587740810986119e-05,-5.587733281503143e-05,2.0796166989163326e-11
62,1,d3,0.21866910667887396,0.2186691086085375,5.197782302296117e-12
63,1,d4,-8.844726678169934e-06,-8.844856378911162e-06,-3.957094347550996e-11
64,1,e1,-0.0004684936977525922,-0.00046848248282271594,6.789870413294597e-11
65,1,e2,0.0002380584039229916,0.000238058378661421,-8.576162602742925e-13
66,1,e3,323.08735876572854,323.0873589515686,5.752006696406069e-10
67,1,e4,0.49948972349466203,0.4994897281894737,3.4653884531819558e-12
68,1,v1,-0.003703074533632389,-0.0037030617164646173,1.9916245234420996e-11
69,1,v2,-0.0052161619245225666,-0.005216143076054891,2.079456281795201e-11
70,1,v3,0.005301502513930245,0.005301486165404157,-1.747499003330817e-11
71,1,v4,0.0,2.110445591285745e-10,2.110445591285745e-10
72,1,v5,-3873.246322762168,-3873.246322827905,-1.6972045494698863e-11
73,1,v6,-6.0585285321934634e-05,-6.058312725877073e-05,1.0436054244972988e-10
74,1,v8,6.0681039663279535e-05,6.068213394833197e-05,4.991960210761835e-11
75,1,v9,1.6625097298890446e-05,1.6625084200617413e-05,-1.3098273032467527e-11
76,1,v10,6.190948260265117e-06,6.190981090247495e-06,1.4673197911187964e-11
77,1,v11,3.0292642600571185e-05,3.0294577921081425e-05,1.8717811567391916e-10
78,1,v12,7.791481106522724e-05,7.791455686192886e-05,-9.566497149189818e-12
79,1,v13,0.1495758283081159,0.14957582362728772,-7.280171334210903e-12
