u,component,eq83_from_laurent,action_minus,action_plus,scaled_err_minus,scaled_err_plus
0.6200037509377344,M11_0,-0.35685345155077697,-0.356853451556382,-0.356853451556382,5.605016450971334e-12,5.605016450971334e-12
0.6200300075018754,M11_0,-0.3568340173278679,-0.3568340173283278,-0.3568340173283278,4.599098879509711e-13,4.599098879509711e-13
0.6200562640660164,M11_0,-0.35681441835733785,-0.3568144183491743,-0.3568144183491743,8.163525411220007e-12,8.163525411220007e-12
0.6200825206301576,M11_0,-0.35679464971196045,-0.3567946497106951,-0.3567946497106951,1.2653766923165222e-12,1.2653766923165222e-12
0.6201087771942986,M11_0,-0.35677471585215204,-0.35677471586727266,-0.35677471586727266,1.5120626972731088e-11,1.5120626972731088e-11
0.6201350337584396,M11_0,-0.3567546262645004,-0.35675462623675896,-0.35675462623675896,2.7741420272064943e-11,2.7741420272064943e-11
0.6201612903225806,M11_0,-0.35673438453715045,-0.35673438453504963,-0.35673438453504963,2.1008195183469525e-12,2.1008195183469525e-12
0.6201875468867216,M11_0,-0.35671398894651696,-0.35671398898295603,-0.35671398898295603,3.643907398043211e-11,3.643907398043211e-11
0.6202138034508627,M11_0,-0.3566934395495772,-0.35669343953657656,-0.35669343953657656,1.3000656107209352e-11,1.3000656107209352e-11
0.6202400600150038,M11_0,-0.3566727356865165,-0.3566727356699902,-0.3566727356699902,1.6526280344209e-11,1.6526280344209e-11
0.6202663165791448,M11_0,-0.35665187727069964,-0.3566518772832719,-0.3566518772832719,1.2572276553157735e-11,1.2572276553157735e-11
0.6202925731432858,M11_0,-0.35663086276586964,-0.3566308627650686,-0.3566308627650686,8.010259122670504e-13,8.010259122670504e-13
0.6203188297074268,M11_0,-0.3566096956948249,-0.3566096956861879,-0.3566096956861879,8.637035531222637e-12,8.637035531222637e-12
0.6203450862715679,M11_0,-0.356588384169257,-0.3565883841713959,-0.3565883841713959,2.1389001680915953e-12,2.1389001680915953e-12
0.6203713428357089,M11_0,-0.3565669320465232,-0.3565669320465259,-0.3565669320465259,2.7200464103316335e-15,2.7200464103316335e-15
0.62039759939985,M11_0,-0.35654533540828204,-0.3565453354061291,-0.3565453354061291,2.1529444893531036e-12,2.1529444893531036e-12
0.620423855963991,M11_0,-0.3565235911262355,-0.35652359113500137,-0.35652359113500137,8.765876913230386e-12,8.765876913230386e-12
0.620450112528132,M11_0,-0.35650169625401207,-0.3565016962539998,-0.3565016962539998,1.226796442210798e-14,1.226796442210798e-14
0.6204763690922731,M11_0,-0.3564796477081013,-0.3564796476993393,-0.3564796476993393,8.761991132644198e-12,8.761991132644198e-12
0.6205026256564141,M11_0,-0.356457442305749,-0.3564574423079388,-0.3564574423079388,2.1898038937706588e-12,2.1898038937706588e-12
0.6205288822205551,M11_0,-0.3564350771768484,-0.35643507717643136,-0.35643507717643136,4.1705527920044005e-13,4.1705527920044005e-13
