u,eps_leading_power,raw_c0,raw_c1,raw_c2,raw_c3,published_c0,published_c1,published_c2,published_c3,poly_max_abs_diff,raw_root0,raw_root1,raw_root2,published_cV,published_cminus,published_cplus
0.61,3,88530.30728760117,-90759.64741416382,2228.34012656266,1.0,17260.093579038345,-20164.082280186165,2902.9887011478263,1.0,71270.21370856283,-2268.368315539347,1.0,39.02818897668805,1.0000000000000004,-2909.920167506173,5.931466358347052
0.610026256564141,2,0.5714285714285714,4.571428571428571,-6.857142857142857,1.0,33323.341077268684,-39148.43022279718,5824.089145528489,1.0,39153.001651368606,-0.10742020243922842,0.8733121341226698,6.09125092545942,0.9999999999999998,-5830.804196138375,5.715050609886475
0.610052513128282,2,1.3333333333333333,5.333333333333333,-6.666666666666667,1.0,37587.29888971328,-43990.93591795566,6402.637028242388,1.0,43996.269251289,-0.1990139082536715,1.1779138625318357,5.6877667123885,1.0000000000000002,-6409.50133763398,5.864309391592542
0.6100787696924231,2,-1.5,6.0,-7.0,1.0,43498.691019675774,-50739.16495642571,7239.473936749941,1.0,50745.16495642571,6.049111667663844,,,1.0000000000000002,-7246.4766733873785,6.002736637437465
0.6101050262565642,2,-1.0,8.0,-6.0,1.0,47792.18259729951,-55549.6984580098,7756.5158607103,1.0,55557.6984580098,0.13919414688829657,1.745898311634947,4.114907541476757,1.0000000000000002,-7763.671734404124,6.155873693823651
0.6101312828207052,3,208661.52029992192,-215113.42588017936,6450.905580257346,1.0,45543.88938321037,-52847.7071408223,7302.817757611925,1.0,163117.63091671155,-6484.086139830442,0.9999999999999997,32.18055957309943,0.9999999999999998,-7310.048070865914,6.230313253988697
0.6101575393848462,2,-2696.0,3152.0,-456.0,1.0,41406.89690542163,-48030.6324636919,6622.735558270272,1.0,51182.6324636919,0.9995542086601615,6.007222942821568,448.99322284851826,1.0,-6629.980960354083,6.245402083810859
0.6101837959489872,2,2260.0,-2626.4615384615386,364.9230769230769,1.0,38221.44681784147,-44302.52754499769,6080.080727156232,1.0,41676.06600653615,-371.999792722823,0.999715659369676,6.077000140376392,1.0000000000000002,-6087.359549116631,6.278821960399455
0.6102100525131283,2,-26076.666666666668,30336.0,-4261.333333333333,1.0,35970.75776857997,-41692.651164899406,5720.8933963194495,1.0,72028.6511648994,1.0000458376268757,6.12934211987646,4254.203945375834,1.0000000000000004,-5728.17301770264,6.2796213831902605
0.6102363090772693,2,-158238.0,183932.0,-25696.0,1.0,31172.360612750854,-36134.780241844244,4961.419629093386,1.0,220066.78024184424,1.0000075447323702,6.159748927767008,25688.840243527513,0.9999999999999998,-4968.693383219175,6.273754125788855
0.6102625656414103,2,-1266.0,1232.0,28.0,1.0,28889.605970619086,-33504.44737614688,4613.841405527806,1.0,34736.44737614688,,,1.0038726065316814,1.0000000000000004,-4621.093087850885,6.251682323078967
0.6102888222055514,2,-106989.33333333333,124338.66666666667,-17352.0,1.0,24680.552966542775,-28649.365573469328,3967.8126069265527,1.0,152988.032240136,1.0000185934409767,6.1682549452034,17344.831726461358,1.0,-3975.021517459022,6.20891053246919
0.6103150787696924,2,-32152.8,37396.8,-5244.8,1.0,20676.558404003343,-24028.533494488627,3350.9750904852854,1.0,61425.33349448863,0.9999925678846502,6.138816122440824,5237.661191309674,1.0000000000000002,-3358.1322507339573,6.157160248672199
0.6103413353338334,2,,,,,21711.289663623687,-25245.22435471489,3532.934691091205,1.0,,1.0,6.119808306709265,,1.0000000000000002,-3540.067706463759,6.133015372553928
0.6103675918979745,2,,,,,26665.283070637757,-30992.450913177963,4326.167842540214,1.0,,1.0016561650002251,6.116987902796385,,1.0000000000000004,-4333.32138636794,6.1535438277260255
0.6103938484621155,3,41941.98044062913,-46143.968973727904,4200.988533098767,1.0,27539.178944901258,-31993.20919928442,4453.0302543831785,1.0,14402.801495727872,-4211.94639497722,1.0000000000000004,9.957861878452507,1.0000000000000007,-4460.204674830811,6.174420447632656
0.6104201050262565,3,36016.7681331447,-40098.33060542852,4080.562472283834,1.0,26530.13763997186,-30831.624353440275,4300.486713468413,1.0,9486.630493172841,-4090.3677363711895,1.0000000000000009,8.805264087354972,1.0,-4307.6455622540325,6.158848785620194
0.6104463615903976,2,1.5,6.0,-6.0,1.0,25860.920579696292,-30054.830067206505,4192.90948751022,1.0,30060.830067206505,-0.2060746742756485,1.5700905348515573,4.635984139424086,1.0000000000000002,-4200.066751694001,6.157264183781535
0.6104726181545386,2,1.0,5.0,-6.0,1.0,26003.05593679361,-30226.00087635328,4221.944939559673,1.0,30231.00087635328,-0.16601267945793688,1.217184321335846,4.948828358122087,1.0000000000000002,-4229.093551695805,6.14861213613176
0.6104988747186797,2,2.4,3.2,-8.0,1.0,25431.609296571005,-29565.0672468028,4132.457950231802,1.0,29568.2672468028,-0.37730900554121666,0.8444068424457541,7.532902163095459,1.0000000000000002,-4139.601442461684,6.143492229881758
0.6105251312828207,2,-1.6,9.6,-9.6,1.0,24588.788140527136,-28595.663827213924,4005.8756866867852,1.0,28605.263827213923,0.20966668361355675,0.8986643214782897,8.491668994908148,0.9999999999999999,-4013.0029655230524,6.1272788362671236
0.6105513878469617,2,0.0,7.0,-8.0,1.0,24490.94813985209,-28488.05906187717,3996.1109220250887,1.0,28495.05906187717,0.0,1.0,7.0,1.0000000000000004,-4003.228720893794,6.117798868705222
0.6105776444111027,3,45755.869326126245,-49989.83351240766,4232.964186281397,1.0,27781.377258081247,-32291.289275630403,4508.912017549153,1.0,17974.492068044998,-4244.743605153853,0.9999999999999996,10.77941887245457,0.9999999999999999,-4516.063697224343,6.151679675190735
0.6106039009752438,3,59193.942527961764,-63768.800984441616,4573.858456479816,1.0,30796.255516529738,-35766.78983254449,4969.5343160147495,1.0,28397.687011432026,-4587.761034031012,0.9999999999999996,12.90257755120067,0.9999999999999999,-4976.722375784042,6.188059769292977
0.6106301575393849,2,-1578.0,1848.0,-264.0,1.0,27853.041977100373,-32349.30477368678,4495.262796586424,1.0,34197.30477368678,0.994714506092233,6.17682648353312,256.8284590103747,1.0000000000000007,-4502.448994810813,6.1861982243885905
0.6106564141035259,2,-9205.333333333334,10725.333333333334,-1517.3333333333333,1.0,24504.204538581216,-28482.279615380616,3977.0750767993945,1.0,39207.61294871395,0.9995234622270374,6.098202205704783,1510.2356076654014,0.9999999999999997,-3984.2253826142987,6.150305814904186
0.6106826706676669,2,-13058.0,15210.0,-2152.0,1.0,21752.271090384525,-25303.480898317892,3550.209807933357,1.0,40513.480898317895,0.999908334224697,6.088454580427861,2144.9116370853503,0.9999999999999996,-3557.324591819092,6.114783885735051
0.6107089272318079,2,-57979.2,67561.6,-9580.8,1.0,19263.36971977538,-22432.51965415987,3168.149934384493,1.0,89994.11965415988,0.9999462848921551,6.056388864803017,9573.743664850303,1.0000000000000002,-3175.2167233309706,6.066788946477573
0.6107351837959489,2,,,,,15377.331931787066,-17929.35376540546,2551.0218336183925,1.0,,1.0,6.014733802176645,,0.9999999999999999,-2558.0332222891097,6.011388670717224
0.6107614403600901,2,2137756.0,-2497648.0,359904.0,1.0,13183.265237081469,-15391.972393091975,2207.707156010497,1.0,2482256.027606908,-359910.93964440783,1.0000073122672353,5.9396370957304985,0.9999999999999992,-2214.6598828104025,5.952726799905804
0.6107876969242311,2,-441332.0,515912.0,-74578.66666666667,1.0,10643.90821401655,-12437.8034471539,1792.895233137354,1.0,528349.8034471539,0.9999936379508128,5.918257479151829,74571.74841554956,1.0000000000000004,-1799.8091425416508,5.913909404296874
0.6108139534883721,2,417169.6,-489259.2,72091.2,1.0,3968.3550231409063,-4613.1005241457315,643.745501004824,1.0,484646.0994758543,-72097.98611168681,1.0000075346319932,5.786104152174737,0.9999999999999997,-650.8427571843483,6.097256179524322
0.6108402100525131,2,-604845.3333333334,711285.3333333334,-106442.66666666667,1.0,6496.620371326595,-7605.11743133056,1107.4970600039694,1.0,718890.450764664,1.0000033440165017,5.682695721697227,106435.98396760093,1.0000000000000007,-1114.3271435739434,5.830083569974022
0.6108664666166541,2,,,,,10051.805241757656,-11837.510103028344,1784.7048612706863,1.0,,1.0,5.069444444444445,,0.9999999999999999,-1791.3162686016788,5.611407330992506
0.6108927231807952,2,-196312.57142857142,231769.14285714287,-35457.142857142855,1.0,14419.440818570318,-17016.496600345592,2596.055781775283,1.0,248785.63945748846,0.999997335714994,5.537651425375104,35450.60520838176,1.0000000000000007,-2602.5961882676816,5.540406492398688
0.6109189797449363,2,,,,,18970.654607460547,-22394.323169753672,3422.6685622931327,1.0,,0.9999845206562795,5.503780119611428,,1.0000000000000007,-3429.2006546138127,5.532092320680249
0.6109452363090773,2,-25208.0,29802.666666666668,-4592.0,1.0,23095.14903221866,-27237.55626353301,4141.407231314353,1.0,57040.22293019968,0.9998222005206726,5.498303884626561,4585.501873914856,1.0000000000000002,-4147.975044231727,5.567812917373885
0.6109714928732183,2,-104171.2,123068.8,-18897.6,1.0,28099.86191169058,-33081.55885536748,4980.69694367691,1.0,156150.3588553675,0.9999882734841465,5.514369240128132,18891.08564248639,1.0000000000000002,-4987.331191901156,5.634248224244857
0.6109977494373593,2,745320.0,-880896.0,135576.0,1.0,33421.45510825701,-39242.643910332685,5820.1888020756805,1.0,841653.3560896673,-135582.49716235948,1.0000016400412048,5.497160719454661,1.0000000000000002,-5826.924495944979,5.735693869298757
0.6110240060015003,2,305856.0,-359589.3333333333,53728.0,1.0,38172.748797260836,-44673.12814086188,6499.379343601029,1.0,314916.20519247145,-53734.69204589454,0.9999828131847344,5.6920630813270945,0.9999999999999997,-6506.246435967258,5.8670923662280074
