r,u,S,phi,X,F,H,XiH,Kghost,G4,G4X,G4XX,G3X,G2,G2X,G3phi,rank,condition,res_abs,res_rel,XiH_check
0.0025,400.0,0.0,0.9999999980325566,-1.2431037338724022e-12,0.999999992203665,1.000000007796335,-4.971084556640842e-05,-2.5083113364132714e-10,0.4999999961018325,3135.8344255860743,0.0,8145597893.279963,0.0009709927841767406,-9755906.03237188,-17461124.25457233,3,2.44948982111712,3.4221961405628797e-12,3.4221961405628797e-12,-4.971084556640842e-05
0.002503653846153846,399.41623780628316,0.0,0.9999999980267912,-1.2467594056522508e-12,0.9999999921808591,1.000000007819141,-4.98562603789827e-05,-2.5249125013004914e-10,0.49999999609042955,3135.785803929345,0.0,8277400698.908086,0.0010355198752902608,-31442439.68834585,-13306383.67067071,3,2.4494896788796976,5.305541484525991e-12,5.305541484525991e-12,-4.98562603789827e-05
0.0025073076923076924,398.8341770210155,0.0,0.9999999980210172,-1.2504206602762647e-12,0.9999999921580198,1.0000000078419802,-5.000188756570197e-05,-2.540779808768434e-10,0.4999999960790099,3135.736806605878,0.0,8504794081.521369,0.0010225661680449492,-22108020.688863054,-9239478.319824241,3,2.4494897357035823,2.0990630904987352e-12,2.0990630904987352e-12,-5.000188756570197e-05
0.0025109615384615383,398.253810216742,0.0,0.9999999980152348,-1.25408749775116e-12,0.9999999921351472,1.0000000078648528,-5.014772712656618e-05,-2.5549895532606115e-10,0.4999999960675736,3135.6874154113875,0.0,8579432487.7844925,0.0009225855907276097,16706887.400197158,-10349735.922229024,3,2.449489771018772,7.986193981514636e-12,7.986193981514636e-12,-5.014772712656617e-05
0.0025146153846153847,397.6751300091771,0.0,0.9999999980094438,-1.2577597076308659e-12,0.9999999921122414,1.0000000078877587,-5.029377906157537e-05,-2.56376031515515e-10,0.4999999960561207,3135.638137030142,0.0,8428866335.061782,0.0009198946369797237,17904653.442157663,-10171129.679551039,3,2.449489756859754,3.785641356055143e-12,3.785641356055143e-12,-5.029377906157537e-05
0.0025182692307692306,397.098129056892,0.0,0.9999999980036445,-1.2614372899154994e-12,0.9999999920893022,1.0000000079106977,-5.044004337072951e-05,-2.5749224974447316e-10,0.4999999960446511,3135.5889711062305,0.0,8509712564.347247,0.0010184642325288258,-20499332.25310469,-9448746.807240529,3,2.4494898269964005,3.0697832920393783e-12,3.0697832920393783e-12,-5.044004337072951e-05
0.002521923076923077,396.5228000610035,0.0,0.9999999979978366,-1.2651204550623801e-12,0.9999999920663297,1.0000000079336702,-5.058652005402863e-05,-2.5900070976803136e-10,0.49999999603316486,3135.5394614942393,0.0,8610736887.632292,0.0009372917674732225,8448485.33466519,-12646828.739909034,3,2.4494897147938395,9.245880008335906e-12,9.245880008335906e-12,-5.058652005402863e-05
0.002525576923076923,395.94913576486715,0.0,0.9999999979920202,-1.2688089926188117e-12,0.999999992043324,1.000000007956676,-5.0733209111472696e-05,-2.596445281000115e-10,0.499999996021662,3135.4900662870045,0.0,8441003246.665472,0.0009178596406374384,18128874.248526637,-10598869.567790555,3,2.4494898265071257,3.1776482690266082e-12,3.1776482690266082e-12,-5.07332091114727e-05
0.0025292307692307693,395.37712895377126,0.0,0.9999999979861954,-1.2725029025848877e-12,0.9999999920202849,1.000000007979715,-5.0880110543061745e-05,-2.6112401130262697e-10,0.49999999601014244,3135.4408287386623,0.0,8523981061.706545,0.0010037988256872505,-10499715.153315205,-5391479.230393519,3,2.4494897427831783,3.6415111919797793e-13,3.6415111919797793e-13,-5.0880110543061745e-05
0.0025328846153846152,394.8067724546352,0.0,0.9999999979803621,-1.2762023954245536e-12,0.9999999919972125,1.0000000080027875,-5.1027224348795744e-05,-2.6244084683213487e-10,0.49999999599860623,3135.3912092827168,0.0,8623453632.046038,0.0009639712830033332,-7998702.891982108,-18547224.428283982,3,2.4494898260220896,5.981709976654462e-12,5.981709976654462e-12,-5.1027224348795744e-05
0.0025365384615384616,394.23805913570885,0.0,0.9999999979745203,-1.279907260678456e-12,0.9999999919741068,1.0000000080258933,-5.1174550528674726e-05,-2.63271182632252e-10,0.4999999959870534,3135.3417057489546,0.0,8489762337.539087,0.0008815041722054592,42049550.92103987,-708851.9174094278,3,2.4494897496996746,1.5028667532993555e-12,1.5028667532993555e-12,-5.1174550528674726e-05
0.0025401923076923075,393.67098190627604,0.0,0.9999999979686701,-1.2836174983466787e-12,0.9999999919509678,1.0000000080490323,-5.132208908269864e-05,-2.6454083368321335e-10,0.4999999959754839,3135.292361000862,0.0,8428056204.761955,0.0009442563962235473,-1260605.2301677787,-19479336.259967238,3,2.4494898255412427,7.350731771860707e-12,7.350731771860707e-12,-5.132208908269864e-05
0.002543846153846154,393.1055337163592,0.0,0.9999999979628115,-1.2873331084292922e-12,0.9999999919277954,1.0000000080722045,-5.146984001086756e-05,-2.6520219353898256e-10,0.4999999959638977,3135.243109601573,0.0,8314545057.081823,0.0008929718214976899,37305119.115586296,-807768.1591680787,3,2.449489818425772,1.431479026568934e-12,1.431479026568934e-12,-5.146984001086756e-05
0.0025475,392.54170755642787,0.0,0.9999999979569444,-1.2910540909263731e-12,0.9999999919045898,1.0000000080954101,-5.161780331318141e-05,-2.6646695960863553e-10,0.4999999959522949,3135.194037353314,0.0,8339667517.31913,0.001071974750842466,-48840586.94772694,-17541732.937070828,3,2.4494896742153833,3.0417986763590015e-12,3.0417986763590015e-12,-5.161780331318141e-05
0.0025511538461538462,391.9794964571084,0.0,0.9999999979510688,-1.2947806563128755e-12,0.9999999918813509,1.000000008118649,-5.176597898964024e-05,-2.683608890663436e-10,0.49999999594067546,3135.1445693747737,0.0,8646260257.004751,0.000981498446850287,-4323484.988818629,-8096300.355981457,3,2.4494898111536316,1.2276889479100674e-12,1.2276889479100674e-12,-5.176597898964024e-05
0.002554807692307692,391.41889348889725,0.0,0.9999999979451846,-1.2985128045954967e-12,0.9999999918580786,1.0000000081419214,-5.191436704024402e-05,-2.6915658590809244e-10,0.4999999959290393,3135.0947524447147,0.0,8462889587.851836,0.0008528251122016717,42788257.666067824,-10542782.596393516,3,2.449489735965785,3.568705274597638e-12,3.568705274597638e-12,-5.191436704024402e-05
0.0025584615384615385,390.8598917618761,0.0,0.9999999979392921,-1.3022501148222713e-12,0.9999999918347731,1.000000008165227,-5.2062967464992786e-05,-2.701460166676384e-10,0.49999999591738653,3135.0455822927393,0.0,8349531797.919172,0.0009823850101356416,-6311886.680585642,-9772862.880725939,3,2.4494898243571357,2.742273093580541e-12,2.742273093580541e-12,-5.206296746499279e-05
0.0025621153846153845,390.3024844254297,0.0,0.999999997933391,-1.3059930079496868e-12,0.9999999918114342,1.0000000081885658,-5.221178026388649e-05,-2.715708768974423e-10,0.4999999959057171,3134.996043455876,0.0,8489759406.071784,0.0009742585371342111,-3451068.7264760504,-10039634.823442811,3,2.4494898105666487,1.6200313660008625e-12,1.6200313660008625e-12,-5.221178026388649e-05
0.002565769230769231,389.74666466796583,0.0,0.9999999979274815,-1.3097412735006666e-12,0.9999999917880621,1.000000008211938,-5.2360805436925184e-05,-2.723966607831585e-10,0.49999999589403105,3134.9466223265836,0.0,8363186096.065837,0.0008645999747370696,38544883.87996118,-9914076.095787596,3,2.44948973602423,2.0691122528174438e-12,2.0691122528174438e-12,-5.2360805436925184e-05
0.0025694230769230768,389.192425716638,0.0,0.9999999979215636,-1.3134949114752522e-12,0.9999999917646566,1.0000000082353435,-5.251004298410882e-05,-2.7352964337978847e-10,0.4999999958823283,3134.897360765669,0.0,8235712558.359719,0.0009761480820024257,-3895154.0104667414,-9779479.078882474,3,2.4494897427831774,5.026893581028171e-13,5.026893581028171e-13,-5.2510042984108816e-05
0.002573076923076923,388.63976083707024,0.0,0.9999999979156372,-1.3172539218734707e-12,0.9999999917412178,1.000000008258782,-5.2659492905437445e-05,-2.750946137553001e-10,0.4999999958706089,3134.848194799335,0.0,8380757314.804655,0.0009515458649444295,5148715.829241773,-10083819.06668669,3,2.449489736062779,2.2118461474537627e-12,2.2118461474537627e-12,-5.2659492905437445e-05
0.002576730769230769,388.0886633330846,0.0,0.9999999979097023,-1.3210185151857306e-12,0.9999999917177457,1.0000000082822542,-5.2809155200911004e-05,-2.756828099137465e-10,0.49999999585887284,3134.798708757065,0.0,8199211953.521291,0.0009129310682829455,20688355.450070404,-9141238.473479705,3,2.449489823198172,2.4443013632829535e-12,2.4443013632829535e-12,-5.2809155200911004e-05
0.0025803846153846155,387.53912654643017,0.0,0.999999997903759,-1.3247882704335216e-12,0.9999999916942404,1.0000000083057596,-5.295902987052956e-05,-2.7701818616776563e-10,0.4999999958471202,3134.7498392707125,0.0,8291615815.819534,0.0010281198165922629,-25918067.350801732,-12219197.295956397,3,2.449489736100999,2.415735004342081e-12,2.415735004342081e-12,-5.295902987052956e-05
0.0025840384615384614,386.99114385651563,0.0,0.9999999978978071,-1.3285638190945794e-12,0.9999999916707016,1.0000000083292984,-5.3109116914293055e-05,-2.784816821588265e-10,0.4999999958353508,3134.7001334939096,0.0,8367664285.85728,0.0009087330709629376,20896772.36510497,-10408456.374235881,3,2.4494897561095614,5.367567789570831e-12,5.367567789570831e-12,-5.3109116914293055e-05
0.0025876923076923078,386.4447086801427,0.0,0.9999999978918469,-1.3323445296912027e-12,0.9999999916471296,1.0000000083528704,-5.325941633220153e-05,-2.794658948701567e-10,0.4999999958235648,3134.651064050262,0.0,8191472737.99404,0.0009338115321826782,16525514.257818315,-5294161.236826209,3,2.4494897494274612,2.265186539588456e-12,2.265186539588456e-12,-5.325941633220153e-05
0.0025913461538461537,385.8998144712431,0.0,0.9999999978858781,-1.3361308232151694e-12,0.9999999916235243,1.0000000083764757,-5.340992812425495e-05,-2.808683285948632e-10,0.49999999581176213,3134.601638447564,0.0,8328254492.439818,0.0010047362661135897,-22530630.807443555,-17783153.4383125,3,2.4494898090377224,4.548329012141368e-12,4.548329012141368e-12,-5.340992812425495e-05
0.002595,385.35645472061657,0.0,0.9999999978799009,-1.3399224891716977e-12,0.9999999915998856,1.0000000084001144,-5.3560652290453356e-05,-2.817222011231024e-10,0.4999999957999428,3134.5523527445052,0.0,8213066906.84783,0.0008471616620424178,52945736.6631484,-1143921.4461351472,3,2.4494897626033008,4.230262278979383e-12,4.230262278979383e-12,-5.3560652290453356e-05
0.002598653846153846,384.81462295567235,0.0,0.9999999978739152,-1.3437195275607878e-12,0.9999999915762138,1.0000000084237863,-5.3711588830796704e-05,-2.8272084673375275e-10,0.4999999957881069,3134.503185692172,0.0,8089416870.934457,0.0009957824888500565,-18910663.65723652,-17569151.548191853,3,2.449489749371215,4.251170524952703e-12,4.251170524952703e-12,-5.3711588830796704e-05
