u,x,region,f,h,cT2,cS2,cV2,K11,R11,G11,K12,R12,G12,K13,R13,G13,K21,R21,G21,K22,R22,G22,K23,R23,G23,K31,R31,G31,K32,R32,G32,K33,R33,G33
0.0218801886862513,45.703444990324186,weak_exterior_H,0.9781190178863844,0.9781169244925746,1.0,1.0,1.0,1.0,0.0,0.9567147655627279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9567147655627279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9567147655627279
0.0220026919613574,45.44898423139618,weak_exterior_H,0.9779964968851612,0.9779943568567036,1.0,1.0,1.0,1.0,0.0,0.9564750549793123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9564750549793123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9564750549793123
0.0221251719274023,45.19738889628639,weak_exterior_H,0.9778739989033076,0.977871811481878,1.0,1.0,1.0,1.0,0.0,0.9562354187086054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9562354187086054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9562354187086054
0.0222411840808116,44.961634972606596,weak_exterior_H,0.9777579694123648,0.977755736385826,1.0,1.0,1.0,1.0,0.0,0.9560084633898968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9560084633898968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9560084633898968
0.0223636186635028,44.715482545407106,weak_exterior_H,0.977635516241159,0.9776332343227252,1.0,1.0,1.0,1.0,0.0,0.9557689717316113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9557689717316113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9557689717316113
0.0224860299452977,44.472056758472874,weak_exterior_H,0.977513086072333,0.9775107544808376,1.0,1.0,1.0,1.0,0.0,0.9555295542814581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9555295542814581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9555295542814581
0.0226084179289394,44.2313125643335,weak_exterior_H,0.9773906789001262,0.9773882968465945,1.0,1.0,1.0,1.0,0.0,0.9552902110039311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9552902110039311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9552902110039311
0.0227243429511378,44.005672777875866,weak_exterior_H,0.9772747354183956,0.9772723048238424,1.0,1.0,1.0,1.0,0.0,0.9550635331284463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9550635331284463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9550635331284463
0.0228466855725134,43.77002505794929,weak_exterior_H,0.9771523730125532,0.9771498903970228,1.0,1.0,1.0,1.0,0.0,0.9548243341904071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9548243341904071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9548243341904071
0.0229690049037424,43.53693179964742,weak_exterior_H,0.9770300335863606,0.977027498137698,1.0,1.0,1.0,1.0,0.0,0.9545852093202729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9545852093202729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9545852093202729
0.0230913009475149,43.30635169811083,weak_exterior_H,0.9769077171340648,0.9769051280321932,1.0,1.0,1.0,1.0,0.0,0.9543461584824912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9543461584824912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9543461584824912
0.0232071388786033,43.090188981546014,weak_exterior_H,0.9767918595765592,0.9767892188816584,1.0,1.0,1.0,1.0,0.0,0.9541197575257498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9541197575257498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9541197575257498
