u,x,phi,f,h,phiprime,A0prime,X,f2,f2X,f2F,f2Y,f2XX,f2XF,f2XY,f2FF,f2FY,f2YY,f3,f3X,f3XX,tf3,f4,f4X,f4XX,f4XXX,tf4,v6_A2_resolved,f2phi,f2phiX,f2phiF,f2phiY,f2phiphi,f3phi,f3phiX,f3phiphi,f4phi,f4phiX,f4phiXX,f4phiphi,f4phiphiX,tf4phi,tf4phiphi,Fbg_action,Ybg_action,principal_delta_f2XX,principal_delta_f2XF,principal_delta_f2FF,G2_lift,G2X_lift,G2phi_lift,G2XX_lift,G2Xphi_lift,G2phiX_lift,G2phiphi_lift,dc2_dG2XX,delta_c2_G2_lift
0.7099849962490622,1.4084804682959815,0.848315490505384,0.2927168974869094,0.3890455746686341,-1.2776736986610973,1.4084804682959815,-0.3175487397944234,23.325892849448522,-57.523371132612496,19.04714618331165,0.0,-312.65766535953037,50.62767318864124,-2.4282196025691007,169.96548468703307,-14.95402115584367,3.094868504418811,7.890923087796764,-18.49398856556697,-134.20155641596878,-36.5421881709659,-3.3438549658915457,1.327085083607756,2.813451242273481e-15,0.0,0.0,0.01606860099389635,725.8204479678703,-4097.1183242601655,-467.70392836483063,104.83395172935356,6729.9235397520615,238.74934145078015,-1415.1278230342928,452.30142269617403,-89.8384897151847,31.43437574635793,-2.849159254880662e-12,621.0480779070075,-636.4604619293052,0.0,0.0,1.3183306477047618,-1.6745369432440522,-321.9471679806179,-28.41634042522446,7.652612662346351e-09,0.0,0.0,0.0,-999.9681259936748,-100.53561452992507,-100.53561452992507,-10.107731962822195,0.2716164513617674,-271.60779385727864
0.7099587396849212,1.4085325584467046,0.8482489320102832,0.2927379803038977,0.3889372893563906,-1.277837955033739,1.4085325584467048,-0.317541984589398,23.2703330349952,-57.272813337053286,19.009247251997333,0.0,-311.8097551562386,50.430772257434924,-2.410156185038659,169.36365367880262,-14.88063977453268,3.097446658596516,7.87492862140117,-18.40080669237646,-133.79833079856013,-36.48649416146237,-3.337873458403987,1.324994641970067,-8.441797970145054e-15,0.0,0.0,0.01710648522217458,723.1694964072104,-4082.2700537414426,-464.7207680822725,104.37948924865238,58679.821796109376,237.95625523884618,-1411.0554406299157,16781.88365370855,-89.55965778318897,31.354188628084774,1.379602338775978e-10,-6315.866980854069,2020.266133401516,0.0,0.0,1.317966269995307,-1.6740384999847844,-321.0725005867999,-28.357269472906992,6.608923798081898e-09,0.0,0.0,0.0,-999.9679581807246,-102.44185293894616,-102.44185293894616,-10.494669501868204,0.27163769906531715,-271.62899529925534
0.7099324831207802,1.4085846524504937,0.8481823600437772,0.292759069666533,0.388829091974931,-1.2780018795219297,1.4085846524504937,-0.3175351013080434,23.215004343166896,-57.02336627166447,18.9714984025072,0.0,-310.9666285388729,50.23514697518873,-2.392170382547107,168.76549146857772,-14.807621354729235,3.100021322309111,7.858998043355966,-18.30799090830453,-133.39731077049328,-36.430967682686656,-3.3319159645505225,1.3229117252777105,-8.443246947189635e-15,0.0,0.0,0.01814214860729701,719.5746321703645,-4063.040018289389,-462.4854169958676,103.92774679851343,53009.56477504465,236.86633529788202,-1405.1351047559162,15011.631156053783,-89.15441456468857,31.22553484332427,-1.0943157479295856e-10,-5572.287939302101,1738.2821621823425,0.0,0.0,1.3176021698095786,-1.6735397538967294,-320.2027734281348,-28.298443744323833,7.794199121703145e-09,0.0,0.0,0.0,-999.9677894842994,-104.34325663938294,-104.34325663938294,-10.887865909887969,0.2716587026835307,-271.6499524166227
0.7099062265566392,1.408636750307776,0.8481157746213464,0.2927801655716225,0.3887209825767979,-1.2781654720782858,1.408636750307776,-0.3175280900904711,23.159902915569727,-56.77501108696818,18.933896852279517,0.0,-310.12820453641854,50.04077473503776,-2.3742605967304087,168.17093572725383,-14.734958940053296,3.1025925315490146,7.843130191070276,-18.215533855922786,-132.99845465662915,-36.37562618709907,-3.325982008769216,1.3208361626260012,-0.0,0.0,0.0,0.019175600206064885,716.4469920208585,-4046.017022960455,-459.926250108554,103.47872056969433,47874.9730056884,235.9228143362233,-1400.12761999877,13410.0512861299,-88.81087899408486,31.120255500906282,-1.0391607849492595e-10,-4899.66893193074,1485.0908499267853,0.0,0.0,1.317238347363125,-1.6730407065285666,-319.33790259793074,-28.23985879033677,6.524336398280388e-09,0.0,0.0,0.0,-999.9676198997483,-106.24271528620199,-106.24271528620199,-11.287880054072753,0.2716795913988564,-271.67079438645055
0.7098799699924981,1.4086888520189798,0.8480491757584799,0.2928012680159687,0.3886129612144156,-1.2783287325483692,1.4086888520189798,-0.3175209510235603,23.105006708072835,-56.52764324573442,18.896426005736547,0.0,-309.2940786102468,49.847544643476525,-2.3564177084550977,167.57968380700146,-14.66261452684436,3.1051604087157285,7.827318187352206,-18.123392132066066,-132.60153954036429,-36.32044661164205,-3.320068688713787,1.318766859162225,2.815386362737399e-15,0.0,0.0,0.020206848490948393,713.4628576902535,-4029.6946151099824,-457.28691101273074,103.03219428558292,47775.214700968165,235.02403392185445,-1395.4036898478716,13389.617431433358,-88.48593683766262,31.021840261598413,1.7152483294000998e-11,-4897.882947928918,1487.8958085594854,0.0,0.0,1.3168748028710682,-1.6725413591463403,-318.4774680667159,-28.18148841520311,6.339682572882469e-09,0.0,0.0,0.0,-999.9674494223963,-108.13990002663256,-108.13990002663256,-11.694618644361812,0.2717003469279808,-271.69150292475314
0.709853713428357,1.4087409575845324,0.8479825634706782,0.2928223769963696,0.3885050279400895,-1.2784916608291013,1.4087409575845324,-0.3175136842196828,23.05031389357517,-56.28125322543252,18.85908460538173,0.0,-308.46420758834324,49.65544477623459,-2.3386409548514564,166.9917022048802,-14.590584670213149,3.10772499462256,7.8115615028196785,-18.03156218181209,-132.20654454869072,-36.26540765662181,-3.314175794637736,1.3167037496759564,-0.0,0.0,0.0,0.02123590128738977,710.4652905709562,-4013.3179242109395,-454.6862184414368,102.58814107877026,47655.412448325755,234.12071561375444,-1390.6446645968977,13362.808383904101,-88.15868143617823,30.922310500976305,4.739887182344749e-11,-4893.284519035072,1490.0621009951728,0.0,0.0,1.3165115365480928,-1.672041713148402,-317.62142520877035,-28.123330572746244,6.898149039928479e-09,0.0,0.0,0.0,-999.9672780475432,-110.0346061153241,-110.0346061153241,-12.108010740706321,0.271720877086867,-271.7119858492454
0.709827456864216,1.4087930670048616,0.84791593777345,0.2928434925096192,0.3883971828060049,-1.278654256823212,1.4087930670048618,-0.3175062897940591,22.995823541264983,-56.035836770590436,18.821872073173168,0.0,-307.6385660000683,49.464467419619446,-2.320929989177074,166.40696906770518,-14.51886761322791,3.1102863038415056,7.79585988928558,-17.940042782620896,-131.81345835367406,-36.21051872831633,-3.30830323604276,1.314646814323145,-0.0,0.0,0.0,0.02226276638004374,707.4980735776267,-3997.0945184655884,-452.09074491025456,102.14654523921423,47128.215030349515,233.2266061265641,-1385.938031714673,13207.986196445514,-87.83495280275338,30.82386180053062,-8.643618725547121e-11,-4834.29474538971,1471.5337193156024,0.0,0.0,1.3161485486084488,-1.6715417699460176,-316.7697476951508,-28.06538428691048,7.455938134225136e-09,0.0,0.0,0.0,-999.9671057704647,-111.92678169715114,-111.92678169715114,-12.528016560534093,0.27174129671944214,-271.7323579988536
0.709801200300075,1.4088451802803952,0.8478492986823121,0.292864614552507,0.3882894258642252,-1.2788165204409654,1.4088451802803952,-0.3174987678656124,22.941534564278527,-55.7913880272401,18.784787711721684,0.0,-306.8171247858802,49.27460431244546,-2.30328435702819,165.82546089038325,-14.447461199509393,3.112844378986336,7.780213049464194,-17.84883193243299,-131.42226770753376,-36.15576980502971,-3.302450901353496,1.312596026260899,5.633708484750328e-15,0.0,0.0,0.0232874515891916,704.5317353614555,-3980.885323896908,-449.52266506524387,101.70739221308409,47675.42591936361,232.33246352925522,-1381.2252103544952,13390.187944967287,-87.51081910642664,30.7250786807702,5.5764345748164195e-11,-4918.883395228821,1504.2765003963468,0.0,0.0,1.315785839265942,-1.6710415309678293,-315.9224055280989,-28.007648393829683,6.749553454460464e-09,0.0,0.0,0.0,-999.9669325864114,-113.81659300998678,-113.81659300998678,-12.954645221012386,0.2717615568009186,-271.75257034912244
0.709774943735934,1.4088972974115608,0.8477826462127904,0.2928857431218189,0.3881817571666935,-1.278978451551982,1.4088972974115608,-0.3174911185330459,22.8874471405003,-55.54790790595078,18.747831784173112,0.0,-305.9998779347516,49.08585316807631,-2.285704174001125,165.24717062275872,-14.376365572177876,3.115399221321262,7.7646210824320425,-17.757930578171333,-131.03297227996995,-36.10117685950956,-3.296618847991279,1.3105514174493658,-0.0,0.0,0.0,0.024309964696712538,701.576264124141,-3964.741258156171,-446.97429743471537,101.27067968162936,45379.90681530607,231.4414137342782,-1376.5281293385785,12680.835063888358,-87.18761613350098,30.626431459035484,-1.422117466092357e-10,-4622.98690902667,1403.5287726650188,0.0,0.0,1.3154234087339385,-1.6705409975339607,-315.0793926065619,-27.950123244768037,6.664578692547723e-09,0.0,0.0,0.0,-999.9667584906088,-115.7042096396616,-115.7042096396616,-13.387909162646919,0.2717816185000524,-271.7725840688287
0.709748687171793,1.4089494183987863,0.847715980380422,0.2929068782143356,0.3880741767652355,-1.279140050047434,1.4089494183987863,-0.3174833419057353,22.833553807264376,-55.305360047871766,18.71099874379424,0.0,-305.1866833425661,48.898175162820436,-2.2681863161350293,164.67199138856046,-14.305567623557812,3.11795093833683,7.7490816911617975,-17.66732375967758,-130.64549543850111,-36.04670922460163,-3.290806110669735,1.308512661705434,1.972488483186e-14,0.0,0.0,0.025330313400007333,698.9107899719344,-3949.9832107371444,-444.23262887182636,100.83632594230606,40201.78630814269,230.64101473686983,-1372.4064657979518,11067.02439702191,-86.90271806009513,30.541024619235912,-1.259639344596209e-10,-3940.8658945415223,1166.8534663732373,0.0,0.0,1.3150612572253797,-1.6700401710186854,-314.2405615286887,-27.892800040304063,7.3750705334338645e-09,0.0,0.0,0.0,-999.966583478257,-117.589190638844,-117.589190638844,-13.827679828062028,0.271801569781627,-271.79248711856064
