u,x,phi,A0prime,f3,f4,N4,f,h,X,phiprime,Fbg,f2,f2X,f2F,f2phi,f3X,f3phi,f4X,f4phi,f4Xphi,JA_bracket,Ephi_residual,scalar_coeff,E00_vec,E11_vec
0.5515470887294105,1.813081820998608,0.5099683614615382,0.0,0.8696351332635233,-0.4681422406211756,-0.0033285647463966,0.43859563469414065,0.4948141350647395,-0.049432866879265853,-0.4469941588461409,0.0,0.0,,1.0,,inf,inf,-0.0033285647463966,-210.44559855787531,-6.14440414556396,-7.203831812758327e-11,,0.0,0.0,
0.5515901879932578,1.8129401533375773,0.51003169500535,0.0,0.8360418424230436,-0.4812620154702262,-0.0037121176397223,0.4385588444290132,0.49478108819273925,-0.04945744510417642,-0.4471201974354478,0.0,0.0,,1.0,,-inf,-inf,-0.0037121176397223,-203.4380673059565,-5.95950719442791,-7.496882271874547e-10,,0.0,0.0,
0.5516310138786281,1.8128059787081217,0.5100916952047506,0.0,0.8053650117332374,-0.4932374999742211,-0.0040638105781653,0.43852399476327997,0.4947497661071755,-0.04948074111423106,-0.44723964484746087,0.0,0.0,,1.0,,inf,inf,-0.0040638105781653,-195.66404026620657,-5.761819003971314,-1.0497907200110977e-09,,0.0,0.0,
0.551674102593381,1.812664388810478,0.5101550287485624,8.764586454929317e-266,0.7743113225193495,-0.5053534846817362,-0.0044217838708263,0.4384872135112829,0.4947166886560094,-0.04950534329577732,-0.44736577303139813,0.0,0.0,,1.0,,-inf,-inf,-0.0044217838708263,-186.81577733020683,-5.53986945968179,-5.804575809809434e-10,,0.0,0.0,
0.5517171858885281,1.8125228388336725,0.5102183622923743,8.783299651190595e-207,0.7447391292462792,-0.5168834590303469,-0.004765179414215,0.4384504368867202,0.49468359460709216,-0.04952995847622367,-0.44749194724322544,0.0,0.0,,1.0,,inf,inf,-0.004765179414215,-177.16519092610082,-5.301591595705013,-6.062968210709778e-10,,0.0,0.0,
0.5517602637623723,1.8123813287697568,0.5102816958361861,3.206962439970529e-169,0.7167686288734574,-0.5277795972407257,-0.0050930194980238,0.4384136648886537,0.4946504838886551,-0.04955458671624194,-0.44761816750473,0.0,0.0,,1.0,,inf,inf,-0.0050930194980238,-166.8537746436588,-5.049644072869039,-1.4771234349607656e-09,,0.0,0.0,
0.5518010693773471,1.8122473034138933,0.5103416960355868,2.2403969663956312e-144,0.6918565386227548,-0.5374742703356502,-0.0053883705096547,0.43837883252597354,0.4946191013830382,-0.049577930069012406,-0.4477377870891791,2.8316610339310942e-288,2.8316610327318184e-288,inf,1.0,inf,inf,inf,-0.0053883705096547,-156.05078789746534,-4.7904477043678675,-1.3909540636262638e-09,,0.0,2.532094270715651e-304,
0.55184413668905,1.812105871052272,0.5104050295793986,5.265143343476427e-125,0.6673495919035733,-0.5469989826073054,-0.0056831153534589,0.43834206953559113,0.49458596007936234,-0.04960258229344172,-0.44786409707539937,1.5639362029914414e-249,1.5639362028892672e-249,inf,1.0,inf,inf,inf,-0.0056831153534589,-145.16985282080338,-4.525115738377754,-2.1453196771131777e-10,,0.0,1.7236676180064058e-265,
0.5518871985744533,1.811964478580116,0.5104683631232104,3.224844428332716e-110,0.6443484492947832,-0.555927504457773,-0.0059627942971841,0.4383053111691117,0.49455280148069947,-0.04962724807200026,-0.4479904531610336,5.867099780796609e-220,5.867099778345832e-220,inf,1.0,inf,inf,inf,-0.0059627942971841,-137.32916873159303,-4.317595729431761,-1.3714493654224877e-09,,0.0,-0.0,
0.5519302550318635,1.8118231259894768,0.5105316966670223,1.4676237492621474e-98,0.6224514599607963,-0.5644191468835964,-0.0062305773543259,0.43826855742616555,0.49451962688186557,-0.049651926403184936,-0.44811685536220414,1.2151857968043596e-196,1.2151857960348557e-196,inf,1.0,inf,inf,inf,-0.0062305773543259,-130.66595906894958,-4.1363313137933355,-2.078739010894122e-09,,0.0,1.6517379097731902e-212,
