u,x,phi,f,h,X,A0prime,S_SVT,T_H,f2phiF_control,f2Xphi_control,f2phiphi_control
0.71,1.4084507042253522,0.848353517876929,0.2927048531029692,0.3891074914497098,-0.3175525558539108,1.408450704225352,1.0,0.0,-1202.348397318229,617.1832832831125,-375.5661945503169
0.7100035714285714,1.4084436194988958,0.8483625691003944,0.2927019864245451,0.3891222340831164,-0.3175534494303585,1.4084436194988956,1.0,0.0,-1203.1001076342234,617.5815587147674,-375.5789268518105
0.7100071428571428,1.4084365348437138,0.848371620073979,0.2926991198673742,0.3891369783404891,-0.3175543303867438,1.4084365348437136,1.0,2.6839749522833237e-304,-1203.8517954870576,617.979879779558,-375.5916600203138
0.7100107142857143,1.408429450259805,0.8483806707975455,0.2926962534314959,0.3891517242208918,-0.3175552087291228,1.4084294502598047,1.0,5.81391784185982e-203,-1204.603460876085,618.3782270411996,-375.6043940553383
0.7100142857142857,1.4084223657471682,0.8483897212712176,0.2926933871168664,0.3891664717255172,-0.3175561093838324,1.408422365747168,1.0,2.7068875392477417e-152,-1205.355103797194,618.776551942162,-375.6171289574762
0.7100178571428571,1.4084152813058022,0.8483987714953124,0.2926905209233801,0.3891812208571377,-0.3175570182730586,1.4084152813058022,1.0,6.813906349139147e-122,-1206.1067242437205,619.1748818522984,-375.62986472812185
0.7100214285714286,1.408408196935706,0.8484078214697011,0.2926876548510738,0.389195971614884,-0.3175579136808402,1.4084081969357058,1.0,1.261201982049982e-101,-1206.8583222148804,619.5732591111714,-375.6426013668205
0.710025,1.408401112636879,0.8484168711942461,0.292684788899987,0.3892107239978204,-0.3175588009521918,1.4084011126368787,1.0,3.780771980903847e-87,-1207.609897710002,619.9716733354992,-375.65533887308374
0.7100285714285713,1.4083940284093197,0.8484259206688098,0.292681923070159,0.3892254780050103,-0.3175596784831092,1.4083940284093197,1.0,2.7243072992043798e-76,-1208.3614507284437,620.3701276905979,-375.6680772464227
0.7100321428571428,1.408386944253027,0.8484349698932555,0.2926790573616291,0.3892402336355188,-0.3175605473780066,1.4083869442530268,1.0,7.589008368830579e-68,-1209.1129812695904,620.7686200553883,-375.6808164863497
0.7100357142857142,1.4083798601679998,0.8484440188674451,0.2926761917744369,0.3892549908884095,-0.3175614047657527,1.4083798601679998,1.0,4.3270452427365604e-61,-1209.8644893328092,621.1671560796435,-375.69355659237596
0.7100392857142857,1.408372776154237,0.8484530675913314,0.2926733263085932,0.389269749763476,-0.3175622799552106,1.408372776154237,1.0,1.4584470544636752e-55,-1210.6159749162523,621.5656784420822,-375.70629756438336
0.7100428571428571,1.4083656922117378,0.8484621160653197,0.2926704609639641,0.3892845102642082,-0.317563172992257,1.408365692211738,1.0,5.893314713808991e-51,-1211.3674380120478,621.9641869911496,-375.7190394041305
0.7100464285714285,1.4083586083405009,0.8484711642893642,0.2926675957405599,0.3892992723904154,-0.3175640546430014,1.408358608340501,1.0,4.657898707562051e-47,-1212.11887861834,622.3627389545261,-375.7317821115072
0.71005,1.4083515245405254,0.8484802122633277,0.2926647306384202,0.3893140361411619,-0.3175649276328697,1.4083515245405254,1.0,1.021487612915032e-43,-1212.870296734471,622.761329031495,-375.7445256860248
0.7100535714285714,1.40834444081181,0.8484892599870725,0.2926618656575843,0.3893288015155118,-0.3175657908677868,1.40834444081181,1.0,8.032419613776531e-41,-1213.6216923598352,623.1599594027583,-375.7572701271952
0.7100571428571428,1.4083373571543538,0.8484983074604615,0.2926590007980914,0.3893435685125294,-0.3175666460112851,1.408337357154354,1.0,2.745036103763497e-38,-1214.373065493783,623.5586268397628,-375.77001543452985
0.7100607142857143,1.4083302735681558,0.8485073546833573,0.2926561360599811,0.3893583371312787,-0.3175674875990272,1.4083302735681558,1.0,4.722858779721721e-36,-1215.124416135695,623.9573421105077,-375.78276160754035
0.7100642857142857,1.4083231900532145,0.84851640165563,0.2926532714432902,0.3893731073708865,-0.3175683372382849,1.4083231900532147,1.0,4.586604482155684e-34,-1215.8757442848748,624.3560627861805,-375.7955086457702
0.7100678571428571,1.408316106609529,0.8485254483775948,0.2926504069479141,0.3893878792340988,-0.3175692093870152,1.4083161066095295,1.0,2.7518422481259385e-32,-1216.627049934635,624.7547603978057,-375.80825655060005
0.7100714285714286,1.408309023237099,0.8485344948493783,0.2926475425738079,0.3894026527221328,-0.3175700786091403,1.4083090232370992,1.0,1.0964147554910531e-30,-1217.378333080768,625.1534849363302,-375.8210053226344
0.710075,1.4083019399359222,0.8485435410708433,0.2926446783210109,0.3894174278340531,-0.317570936862505,1.4083019399359225,1.0,3.0756905852052905e-29,-1218.129593722725,625.5522522555394,-375.8337549613853
0.7100785714285714,1.4082948567059983,0.8485525870418523,0.2926418141895625,0.3894322045689237,-0.3175717862116012,1.4082948567059983,1.0,6.372450786356833e-28,-1218.8808318598424,625.9510583286382,-375.8465054663642
0.7100821428571428,1.4082877735473265,0.848561632762268,0.2926389501795022,0.3894469829258087,-0.3175726264429979,1.4082877735473265,1.0,1.0144536359963336e-26,-1219.6320474914592,626.349903611268,-375.85925683708217
0.7100857142857142,1.4082806904599043,0.8485706782319534,0.2926360862908692,0.3894617629037735,-0.317573456213177,1.4082806904599046,1.0,1.282403244016617e-25,-1220.3832406171118,626.748790790529,-375.8720090730523
0.7100892857142856,1.408273607443732,0.8485797234507709,0.2926332225237029,0.3894765445018817,-0.31757428117173,1.408273607443732,1.0,1.3234262928074546e-24,-1221.1344112360528,627.1477087500651,-375.8847621737852
0.7100928571428571,1.4082665244988082,0.8485887684188114,0.2926303588779701,0.3894913277210544,-0.3175751281672596,1.4082665244988084,1.0,1.1413664051632403e-23,-1221.8855593446663,627.5466044564623,-375.89751613973533
0.7100964285714285,1.4082594416251315,0.8485978131364179,0.2926274953535568,0.3895061125642676,-0.3175759852525344,1.4082594416251315,1.0,8.391927687557663e-23,-1222.6366849358938,627.9455014550052,-375.91027097240044
0.7101,1.4082523588227012,0.8486068576034688,0.2926246319504977,0.3895208990307116,-0.3175768287115196,1.4082523588227012,1.0,5.35098260820611e-22,-1223.3877880088958,628.3444466328029,-375.92302667135596
0.7101035714285714,1.4082452760915158,0.8486159018198267,0.292621768668832,0.3895356871194507,-0.3175776640902385,1.4082452760915158,1.0,3.002896513533945e-21,-1224.1388685630927,628.7434290622408,-375.93578323611354
0.7101071428571428,1.4082381934315749,0.8486249457853542,0.292618905508599,0.3895504768295496,-0.3175784896489365,1.4082381934315749,1.0,1.5022034598187826e-20,-1224.8899265978378,629.1424522214905,-375.948540666185
0.7101107142857143,1.4082311108428769,0.8486339894999142,0.2926160424698381,0.3895652681600728,-0.3175793067768951,1.4082311108428769,1.0,6.77375647092801e-20,-1225.640962112559,629.5415133947436,-375.9612989610821
0.7101142857142857,1.4082240283254206,0.8486430329633691,0.2926131795525888,0.389580061110085,-0.3175801116226231,1.4082240283254204,1.0,2.780160277338989e-19,-1226.3919751066915,629.940620254652,-375.97405812031667
0.7101178571428571,1.408216945879205,0.8486520761756524,0.2926103167568677,0.3895948556792256,-0.3175809330711037,1.408216945879205,1.0,1.0475244388725516e-18,-1227.142965578671,630.3397155177379,-375.9868181436924
0.7101214285714286,1.4082098635042295,0.8486611191371676,0.2926074540825421,0.389609651870957,-0.3175817734882684,1.40820986350423,1.0,3.6508180873686274e-18,-1227.8939335205982,630.7387944278006,-375.9995790329537
0.710125,1.408202781200493,0.84867016184789,0.2926045915296152,0.3896244496852613,-0.3175826033589065,1.4082027812004927,1.0,1.1848161401447537e-17,-1228.6448789303356,631.1379155718338,-376.01234078807806
0.7101285714285714,1.4081956989679938,0.8486792043076824,0.2926017290981265,0.3896392491212032,-0.3175834243332141,1.4081956989679938,1.0,3.601860991229017e-17,-1229.3958018073395,631.5370757092339,-376.0251034085775
0.7101321428571428,1.4081886168067312,0.8486882465164073,0.2925988667881153,0.389654050177847,-0.3175842356444173,1.408188616806731,1.0,1.0311448104937159e-16,-1230.1467021510023,631.9362764004445,-376.0378668939636
0.7101357142857142,1.4081815347167042,0.8486972884739278,0.2925960045996209,0.3896688528542584,-0.317585038732562,1.4081815347167037,0.9999999999999996,2.7931119585707753e-16,-1230.8975799607383,632.3355148158228,-376.0506312437484
0.7101392857142856,1.4081744526979114,0.8487063301801063,0.2925931425326827,0.3896836571495016,-0.3175858285700872,1.4081744526979103,0.9999999999999992,7.189207843449167e-16,-1231.648435235973,632.7348010041057,-376.0633964574439
0.7101428571428571,1.408167370750352,0.8487153716348086,0.2925902805873391,0.3896984630626651,-0.3175866244147034,1.40816737075035,0.9999999999999982,1.7650661344185805e-15,-1232.3992679760913,633.1340966246244,-376.0761625345735
0.7101464285714285,1.408160288874025,0.8487244128383186,0.2925874187634951,0.3897132705962393,-0.3175874430416323,1.4081602888740197,0.999999999999996,4.1479082605817055e-15,-1233.1500781747743,633.5333681952782,-376.08892947638793
0.71015,1.408153207068929,0.848733453790799,0.2925845570610946,0.3897280797517264,-0.3175882607178652,1.4081532070689162,0.9999999999999908,9.359303699330872e-15,-1233.900865827436,633.932663006963,-376.1016972836363
0.7101535714285714,1.4081461253350631,0.8487424944921126,0.292581695480177,0.3897428905281911,-0.3175890668696575,1.408146125335035,0.9999999999999796,2.0334610928541006e-14,-1234.6516309334982,634.3320021838674,-376.11446595582896
0.7101571428571428,1.4081390436724266,0.8487515349421222,0.2925788340207814,0.3897577029246984,-0.317589864257745,1.4081390436723669,0.9999999999999574,4.265066877310754e-14,-1235.4023734923153,634.7313802529779,-376.12723549247596
0.7101607142857143,1.408131962081018,0.84876057514069,0.2925759726829474,0.3897725169403133,-0.3175906523685361,1.4081319620808963,0.9999999999999134,8.656327209959526e-14,-1236.1530935033659,635.1307982756446,-376.14000589308523
0.7101642857142857,1.408124880560836,0.8487696150876795,0.2925731114667141,0.3897873325741004,-0.3175914304590315,1.4081248805605964,0.9999999999998296,1.7036908950634277e-13,-1236.9037909661113,635.5302577748454,-376.15277715716206
0.7101678571428571,1.40811779911188,0.8487786547829526,0.292570250372121,0.3898021498251248,-0.317592202100286,1.4081177991114215,0.999999999999674,3.257987868196446e-13,-1237.654465879917,635.9297516389972,-376.16554928420595
0.7101714285714286,1.4081107177341488,0.8487876942265697,0.2925673893991444,0.3898169686940543,-0.3175929952840433,1.408110717733295,0.9999999999993936,6.064441793652824e-13,-1238.4051182415972,636.3292238107564,-376.1783222745229
0.710175,1.4081036364276411,0.8487967334188957,0.2925645285476639,0.3898317891840325,-0.3175938003059617,1.4081036364260917,0.9999999999988994,1.1006071417209214e-12,-1239.155748043749,636.7286936696619,-376.1910961296623
0.7101785714285714,1.408096555192356,0.8488057723598182,0.2925616678177107,0.3898466112943259,-0.3175945917313036,1.40809655518961,0.9999999999980496,1.950446172805812e-12,-1239.9063552854718,637.1282121973652,-376.2038708491848
0.7101821428571429,1.4080894740282923,0.8488148110491998,0.2925588072093243,0.389861435024,-0.3175953750604592,1.4080894740235337,0.99999999999662,3.379901293076956e-12,-1240.6569399662294,637.5277684048875,-376.2166464325184
0.7101857142857142,1.4080823929354496,0.8488238494869031,0.292555946722544,0.3898762603721192,-0.3175961485336742,1.408082392927375,0.9999999999942654,5.734610663565915e-12,-1241.407502085369,637.9273658583577,-376.2294228790444
0.7101892857142856,1.4080753119138258,0.8488328876727913,0.2925530863574089,0.3898910873377495,-0.3175969137127049,1.4080753119003957,0.999999999990462,9.537901308691723e-12,-1242.158041642435,638.327001456926,-376.24220018807887
0.7101928571428571,1.4080682309634205,0.8488419256067268,0.2925502261139585,0.3899059159199556,-0.317597666029335,1.4080682309414998,0.999999999984432,1.5567946061122225e-11,-1242.9085586368312,638.7266844197841,-376.25497835884033
0.7101964285714285,1.4080611500842324,0.8488509632886264,0.292547365992215,0.3899207461182413,-0.3175984336212148,1.4080611500490838,0.9999999999750376,2.4962329155260335e-11,-1243.6590530672795,639.1263581728161,-376.2677573906355
0.7101999999999999,1.4080540692762604,0.848860000718887,0.2925445059920473,0.3899355779360057,-0.3175992210882148,1.4080540692208428,0.9999999999606424,3.9357548356482435e-11,-1244.4095249259603,639.526013400143,-376.28053728456103
0.7102035714285714,1.4080469885395033,0.8488690378975073,0.2925416461134517,0.389950411373421,-0.317599999123279,1.4080469884535105,0.9999999999389276,6.107239113467575e-11,-1245.1599742104922,639.9257090779842,-376.2933180398182
0.7102071428571428,1.4080399078739605,0.8488780748243503,0.2925387863564671,0.3899652464295524,-0.3176007679615654,1.408039907742526,0.9999999999066544,9.334563947782317e-11,-1245.910400920253,640.3254447668781,-376.30609965469995
0.7102107142857143,1.4080328272796303,0.8488871114992789,0.2925359267211332,0.389980083103465,-0.317601527211341,1.408032827081604,0.9999999998593598,1.4064016028475034e-10,-1246.660805054774,640.7252212901542,-376.3188821270384
0.7102142857142857,1.4080257467565125,0.8488961479221555,0.292533067207489,0.3899949213942245,-0.3176022781000709,1.408025746462196,0.9999999997909728,2.0902709857010158e-10,-1247.4111866134178,641.1250362034083,-376.33166545406027
0.7102178571428571,1.4080186663046048,0.8489051840928431,0.292530207815574,0.3900097613008956,-0.3176030161352346,1.4080186658728138,0.9999999996933344,3.066655772290194e-10,-1248.1615455957722,641.524898608615,-376.34444963220665
0.7102214285714286,1.408011585923907,0.8489142200112048,0.2925273485454273,0.3900246028225475,-0.3176037580699685,1.4080115852981936,0.999999999555605,4.443949845605619e-10,-1248.9118820012038,641.9247746877988,-376.3572346569102
0.710225,1.408004505614418,0.8489232556774896,0.2925244893969652,0.3900394459613791,-0.3176045229551362,1.4080045047182812,0.9999999993635414,6.364585613313502e-10,-1249.6621958239273,642.324625892568,-376.37002052391205
0.7102285714285714,1.4079974253761365,0.8489322910918979,0.2925216303701195,0.3900542907191947,-0.3176052889531428,1.4079974241069977,0.9999999990986216,9.013785436822708e-10,-1250.4124870587689,642.7244963200822,-376.3828072271412
0.7102321428571429,1.4079903452090614,0.8489413262542926,0.2925187714649293,0.3900691370950597,-0.317606042854075,1.4079903434307628,0.9999999987369954,1.2630045372529918e-09,-1251.1627557052163,643.1244127009517,-376.3955947571305
0.7102357142857143,1.4079832651131918,0.8489503611645365,0.2925159126814342,0.3900839850880394,-0.3176067881484142,1.4079832626467454,0.999999998248242,1.7517580531260582e-09,-1251.9130017627176,643.5243679899891,-376.408383101937
0.7102392857142856,1.4079761850885266,0.8489593958224919,0.2925130540196733,0.3900988346971989,-0.3176075240397559,1.407976181700799,0.9999999975939028,2.4060971912867277e-09,-1252.6632252307454,643.9243638106118,-376.4211722465915
0.7102428571428571,1.407969105135065,0.8489684302280223,0.2925101954796857,0.3901136859216046,-0.3176082502698255,1.407969100525055,0.9999999967257736,3.274226279371185e-09,-1253.4134261087536,644.3244006921933,-376.4339621724545
0.7102464285714285,1.407962025252805,0.8489774643809899,0.2925073370615111,0.3901285387603215,-0.3176089685743112,1.4079620190351376,0.9999999955839242,4.416075833753526e-09,-1254.163604396298,644.7244751102115,-376.44675285646935
0.7102499999999999,1.407954945441746,0.8489864982814262,0.2925044787651349,0.3901433932137834,-0.3176097078596658,1.4079549371269575,0.9999999940944216,5.905578484121804e-09,-1254.9137600905012,645.1245283345421,-376.4595442709996
0.7102535714285714,1.4079478657018871,0.8489955319297139,0.292501620590431,0.3901582492852644,-0.3176104605473174,1.4079478546730564,0.9999999921667336,7.833266470335427e-09,-1255.6638931836985,645.5245756352865,-376.4723363835979
