u,x,v5,c3,e3
0.71,1.4084507042253522,-3873.2463227621683,337.2044016680053,323.0873587661293
0.7100035714285714,1.4084436194988958,-3875.7017961419424,337.4115142170638,323.0873587661293
0.7100071428571428,1.4084365348437138,-3878.157244818971,337.6186246825125,323.0873587661293
0.7100107142857143,1.408429450259805,-3880.6126687936394,337.82573306438366,323.0873587661293
0.7100142857142857,1.4084223657471682,-3883.068068066331,338.03283936271004,323.0873587661293
0.7100178571428571,1.4084152813058022,-3885.523442637509,338.23994357753025,323.0873587661293
0.7100214285714286,1.408408196935706,-3887.97879250748,338.4470457088704,323.0873587661293
0.710025,1.408401112636879,-3890.434117676553,338.6541457567565,323.0873587661293
0.7100285714285713,1.4083940284093197,-3892.889418145112,338.861243721221,323.0873587661293
0.7100321428571428,1.408386944253027,-3895.344693913619,339.06833960230273,323.0873587661293
0.7100357142857142,1.4083798601679998,-3897.799944982459,339.2754334000343,323.0873587661293
0.7100392857142857,1.408372776154237,-3900.2551713519388,339.48252511444156,323.0873587661293
0.7100428571428571,1.4083656922117378,-3902.710373022445,339.689614745557,323.0873587661293
0.7100464285714285,1.4083586083405009,-3905.165549994361,339.89670229341306,323.0873587661293
0.71005,1.4083515245405254,-3907.620702267995,340.10378775803576,323.0873587661293
0.7100535714285714,1.40834444081181,-3910.075829843808,340.31087113946404,323.0873587661293
0.7100571428571428,1.4083373571543538,-3912.53093272211,340.5179524377238,323.0873587661293
0.7100607142857143,1.4083302735681558,-3914.9860109032834,340.7250316528475,323.0873587661293
0.7100642857142857,1.4083231900532145,-3917.441064387792,340.93210878487423,323.0873587661293
0.7100678571428571,1.408316106609529,-3919.896093175941,341.13918383382975,323.0873587661293
0.7100714285714286,1.408309023237099,-3922.351097267964,341.3462567997337,323.0873587661293
0.710075,1.4083019399359222,-3924.8060766644744,341.55332768263787,323.0873587661293
0.7100785714285714,1.4082948567059983,-3927.261031365705,341.7603964825618,323.0873587661293
0.7100821428571428,1.4082877735473265,-3929.715961371886,341.967463199525,323.0873587661293
0.7100857142857142,1.4082806904599043,-3932.1708666838636,342.17452783359886,323.0873587661293
0.7100892857142856,1.408273607443732,-3934.6257473015608,342.38159038477687,323.0873587661293
0.7100928571428571,1.4082665244988082,-3937.0806032255164,342.58865085310447,323.0873587661293
0.7100964285714285,1.4082594416251315,-3939.5354344561156,342.79570923861405,323.0873587661293
0.7101,1.4082523588227012,-3941.9902409936662,343.00276554133166,323.0873587661293
0.7101035714285714,1.4082452760915158,-3944.445022838628,343.2098197612963,323.0873587661293
0.7101071428571428,1.4082381934315749,-3946.8997799912363,343.41687189852723,323.0873587661293
0.7101107142857143,1.4082311108428769,-3949.3545124519483,343.62392195306364,323.0873587661293
0.7101142857142857,1.4082240283254206,-3951.809220221228,343.8309699249443,323.0873587661293
0.7101178571428571,1.408216945879205,-3954.2639032993825,344.0380158141953,323.0873587661293
0.7101214285714286,1.4082098635042295,-3956.71856168672,344.2450596208426,323.0873587661293
0.710125,1.408202781200493,-3959.1731953835483,344.452101344912,323.0873587661293
0.7101285714285714,1.4081956989679938,-3961.627804390406,344.65914098644913,323.0873587661293
0.7101321428571428,1.4081886168067312,-3964.0823887076012,344.8661785454799,323.0873587661293
0.7101357142857142,1.4081815347167042,-3966.536948335516,345.0732140220365,323.0873587661291
0.7101392857142856,1.4081744526979114,-3968.991483274539,345.2802474161517,323.08735876612906
0.7101428571428571,1.408167370750352,-3971.4459935250507,345.4872787278577,323.0873587661287
0.7101464285714285,1.408160288874025,-3973.90047908728,345.69430795717375,323.087358766128
0.71015,1.408153207068929,-3976.354939961759,345.9013351041446,323.08735876612633
0.7101535714285714,1.4081461253350631,-3978.80937614886,346.10836016880177,323.0873587661227
0.7101571428571428,1.4081390436724266,-3981.2637876487165,346.3153831511564,323.0873587661155
0.7101607142857143,1.408131962081018,-3983.7181744618247,346.5224040512503,323.0873587661013
0.7101642857142857,1.408124880560836,-3986.1725365885745,346.7294228691161,323.0873587660742
0.7101678571428571,1.40811779911188,-3988.6268740289925,346.9364396047557,323.08735876602395
0.7101714285714286,1.4081107177341488,-3991.081186783404,347.143454258196,323.08735876593335
0.710175,1.4081036364276411,-3993.5354748517616,347.350466829432,323.08735876577373
0.7101785714285714,1.408096555192356,-3995.989738233881,347.5574773184468,323.0873587654991
0.7101821428571429,1.4080894740282923,-3998.443976929325,347.7644857252012,323.08735876503727
0.7101857142857142,1.4080823929354496,-4000.8981909367853,347.971492049581,323.0873587642765
0.7101892857142856,1.4080753119138258,-4003.352380254852,348.17849629146184,323.0873587630477
0.7101928571428571,1.4080682309634205,-4005.8065448806287,348.38549845059134,323.08735876109944
0.7101964285714285,1.4080611500842324,-4008.2606848099226,348.5924985266039,323.0873587580643
0.7101999999999999,1.4080540692762604,-4010.71480003653,348.7994965189591,323.08735875341335
0.7102035714285714,1.4080469885395033,-4013.168890551572,349.0064924268835,323.08735874639757
0.7102071428571428,1.4080399078739605,-4015.6229563421425,349.2134862492544,323.0873587359705
0.7102107142857143,1.4080328272796303,-4018.0769973908446,349.4204779845579,323.08735872069025
0.7102142857142857,1.4080257467565125,-4020.5310136732382,349.62746763066855,323.0873586985952
0.7102178571428571,1.4080186663046048,-4022.985005157114,349.83445518478374,323.0873586670495
0.7102214285714286,1.408011585923907,-4025.4389717986996,350.0414406430976,323.0873586225509
0.710225,1.408004505614418,-4027.8929135407893,350.24842400063545,323.0873585604976
0.7102285714285714,1.4079974253761365,-4030.346830308643,350.4554052508984,323.08735847490533
0.7102321428571429,1.4079903452090614,-4032.800722006002,350.6623843855169,323.08735835806846
0.7102357142857143,1.4079832651131918,-4035.2545885097074,350.869361393783,323.0873582001584
0.7102392857142856,1.4079761850885266,-4037.7084296639227,351.07633626214835,323.0873579887497
0.7102428571428571,1.407969105135065,-4040.1622452729857,351.28330897360274,323.0873577082681
0.7102464285714285,1.407962025252805,-4042.6160350936616,351.4902795070006,323.087357339351
0.7102499999999999,1.407954945441746,-4045.069798825103,351.6972478361894,323.08735685811155
0.7102535714285714,1.4079478657018871,-4047.523536098627,351.90421392912043,323.0873562352999
0.7102571428571428,1.4079407860332276,-4049.9772464655102,352.1111777467886,323.0873554353519
0.7102607142857142,1.4079337064357655,-4052.430929383622,352.31813924206995,323.0873544153177
0.7102642857142857,1.4079266269095003,-4054.884584201395,352.52509835833087,323.0873531236627
0.7102678571428571,1.4079195474544313,-4057.33821014115,352.7320550279776,323.08735149893425
0.7102714285714286,1.4079124680705566,-4059.791806280556,352.9390091708452,323.0873494682861
0.710275,1.4079053887578754,-4062.245371531107,353.14596069232897,323.08734694585587
0.7102785714285714,1.4078983095163868,-4064.698904615596,353.3529094814267,323.0873438309893
0.7102821428571429,1.4078912303460898,-4067.1524040433,353.55985540858296,323.0873400063076
0.7102857142857143,1.407884151246983,-4069.6058680828864,353.76679832333537,323.08733533561286
0.7102892857142857,1.4078770722190657,-4072.0592947332443,353.9737380517812,323.0873296616306
0.7102928571428571,1.4078699932623366,-4074.5126816920388,354.1806743938462,323.0873228035857
0.7102964285714285,1.4078629143767944,-4076.9660263224464,354.38760712039414,323.0873145546128
0.7102999999999999,1.4078558355624389,-4079.419325616671,354.59453597006046,323.0873046789996
0.7103035714285714,1.4078487568192677,-4081.872576159092,354.8014606460486,323.087292909266
0.7103071428571428,1.4078416781472805,-4084.3257740847703,355.0083808125298,323.08727894308
0.7103107142857142,1.4078345995464765,-4086.778915037801,355.2152960910248,323.0872624400152
0.7103142857142857,1.4078275210168538,-4089.2319941272435,355.4222060565763,323.0872430181531
0.7103178571428571,1.407820442558412,-4091.6850058796285,355.6291102336277,323.0872202505359
0.7103214285714285,1.40781336417115,-4094.137944191188,355.83600809187357,323.08719366147704
0.710325,1.4078062858550664,-4096.590802277652,356.0428990419012,323.08716272273574
0.7103285714285714,1.4077992076101602,-4099.043572621408,356.24978243060485,323.087126849564
0.7103321428571429,1.4077921294364306,-4101.496246918146,356.4566575365528,323.0870853966359
0.7103357142857143,1.4077850513338763,-4103.948816021535,356.66352356518536,323.0870376538673
